ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,4,6,0,1500,-9.4,,LN,1,,,
1975,arroz,,5,10,0,2000,56.5,33.3,LN,0,,,
1976,arroz,,3,2,0,667,-31.1,-66.7,LN,1,,,
1977,arroz,,3,2,0,667,-7.4,0,EN,0,,,
1979,arroz,,4,2,0,500,24.1,,N,0,,,
1984,arroz,,10,7,0,700,-25.5,,LN,0,303,100,127
1985,arroz,,12,14,0,1167,29.6,66.7,LN,0,893,45,83
1986,arroz,,20,24,0,1200,51.4,2.9,N,0,719,38,24
1987,arroz,,20,1,0,50,-93,-95.8,EN,0,486,53,45
1988,arroz,20,20,7,0,350,-40.9,200,EN,0,275,71,112
1989,arroz,15,15,15,0,1000,118,185.7,LN,1,197,63,64
1990,arroz,15,0,0,0,,,,N,0,183,36,53
1991,arroz,15,15,4,2e-04,267,-47,,N,0,408,95,57
1994,arroz,15,15,15,3,1000,33,,N,0,658,42,68
1995,arroz,8,8,6,1,750,-6.5,-25,EN,0,426,27,106
1996,arroz,5,5,4,1,800,-2.7,6.7,LN,0,409,29,112
1997,arroz,5,5,4,1,800,-0.8,0,N,0,394,30,118
1998,arroz,4,0,0,0,,,,EN,1,251,24,163
1999,arroz,4,0,0,0,,,,LN,1,310,58,141
2000,arroz,4,,,0,,,,LN,1,576,25,71
1974,cana,,4,90,0,22500,,,LN,1,,,
1975,cana,,4,90,0,22500,,0,LN,0,,,
1974,feijao,,600,360,0,600,94.2,,LN,1,,,
1975,feijao,,650,130,0,200,-28.6,-66.7,LN,0,,,
1976,feijao,,600,96,0,160,-37.1,-20,LN,1,,,
1977,feijao,,530,53,0,100,-57.1,-37.5,EN,0,,,
1978,feijao,,700,140,0,200,-6.5,100,EN,0,,,
1979,feijao,,740,200,0,270,36,35.1,N,0,,,
1981,feijao,,780,47,0,60,-66.5,,N,0,493,45,79
1984,feijao,,800,240,0,300,82.6,,LN,0,303,100,127
1985,feijao,,775,217,0,280,78,-6.7,LN,0,893,45,83
1986,feijao,,802,120,0,150,-1.2,-46.6,N,0,719,38,24
1987,feijao,,802,24,0,30,-79.5,-80,EN,0,486,53,45
1988,feijao,400,400,32,0,80,-42.9,167.3,EN,0,275,71,112
1989,feijao,400,400,80,1e-04,200,44.8,150,LN,1,197,63,64
1990,feijao,700,0,0,0,,,,N,0,183,36,53
1991,feijao,350,350,21,0.0016,60,-58.4,,N,0,408,95,57
1992,feijao,403,403,32,0.0756,79,-47.6,32.3,EN,1,354,61,13
