ano,cultura,area_plantada_ha,area_colhida_ha,producao_t,valor_mil_reais,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico,chuva_out_mar_mm,veranico_max_out_mar,dias_tmax34_out_mar
1974,arroz,,1460,1752,0,1200,25.2,,971,LN,1,-1.9,,,
1975,arroz,,1460,1226,0,840,-17.2,-30,1001,N,0,-0.2,,,
1976,arroz,,1137,858,0,755,-29,-10.1,1032,LN,0,-1.1,,,
1977,arroz,,1510,1812,0,1200,8.7,59,1066,EN,0,1.1,,,
1978,arroz,,1510,1812,0,1200,5.4,0,1101,EN,0,1.1,,,
1979,arroz,,608,730,0,1201,3,0.1,1137,N,0,0.2,,,
1980,arroz,,668,801,0,1199,1.1,-0.1,1170,EN,0,0.7,,,
1981,arroz,,763,916,0,1201,0,0.1,1195,N,0,0.2,924,18,4
1982,arroz,,843,1012,0,1200,-0.6,0,1208,N,0,0,1299,8,0
1983,arroz,,1095,1314,0,1200,-0.3,0,1206,EN,1,2.5,884,14,11
1984,arroz,,2000,2400,0,1200,1,0,1187,LN,0,-1,876,11,16
1985,arroz,,2215,2658,0,1200,2.6,0,1154,LN,0,-1,1327,15,2
1986,arroz,,2437,2924,0,1200,6,0,1114,N,0,-0.2,759,11,3
1987,arroz,,2563,3076,0,1200,11.2,0,1071,EN,1,1.5,630,13,7
1988,arroz,2691,2691,3229,0,1200,14.6,0,1035,EN,0,0.9,971,20,9
1989,arroz,2690,2690,2260,7e-04,840,-17.5,-30,1011,LN,1,-1.9,693,25,4
1990,arroz,2690,2690,2260,0.0106,840,-14.5,0,1002,N,0,0,591,19,13
1991,arroz,2690,2690,2260,0.0638,840,-14.5,0,1013,EN,0,0.5,1039,14,3
1992,arroz,2702,2702,2707,0.8785,1002,-1.5,19.2,1043,EN,1,2.1,1002,10,0
1993,arroz,2412,2412,2899,17.12,1202,12.5,20,1094,N,0,0.3,820,29,9
1994,arroz,2290,2290,2750,344,1201,4.5,-0.1,1163,N,0,0.3,806,17,15
1995,arroz,2052,2052,2462,443,1200,-5.9,-0.1,1247,EN,0,1.4,535,25,20
1996,arroz,834,834,1200,216,1439,1.2,19.9,1344,LN,0,-0.9,923,17,14
1997,arroz,888,888,1063,255,1197,-23.6,-16.8,1452,N,0,-0.3,1166,10,1
1998,arroz,888,888,1954,469,2200,26.9,83.8,1571,EN,1,2.3,953,19,33
1999,arroz,622,622,1369,342,2201,13.9,0,1703,LN,1,-1.6,757,12,33
2000,arroz,322,322,704,169,2186,0.9,-0.7,1856,LN,1,-1.6,882,8,3
2001,arroz,322,322,352,92,1093,-55,-50,2040,LN,0,-0.7,573,22,19
2002,arroz,322,322,708,234,2199,-19.2,101.1,2267,N,0,-0.3,1051,8,3
2003,arroz,250,250,550,385,2200,-29.6,0.1,2551,EN,0,1.2,799,20,8
2004,arroz,300,300,660,462,2200,-39.1,0,2902,N,0,0.3,905,22,3
2005,arroz,150,150,750,600,5000,24.4,127.3,3325,EN,0,0.7,954,18,9
2006,arroz,220,123,492,541,4000,-9.4,-20,3810,LN,0,-0.8,771,27,17
2007,arroz,50,50,250,125,5000,2.9,25,4333,EN,0,0.9,998,12,3
2008,arroz,140,140,560,241,4000,-23.3,-20,4851,LN,1,-1.5,579,22,21
2009,arroz,100,100,600,300,6000,9.2,50,5308,LN,0,-0.8,913,15,16
2010,arroz,100,100,600,390,6000,4.2,0,5651,EN,1,1.6,737,11,28
2011,arroz,100,100,600,300,6000,1.2,0,5846,LN,1,-1.6,1174,15,14
2012,arroz,100,100,600,318,6000,-0.1,0,5885,LN,0,-1,856,25,14
2013,arroz,10,10,60,36,6000,-0.4,0,5790,N,0,-0.4,843,22,25
2014,arroz,25,25,150,99,6000,0.5,0,5600,N,0,-0.3,1018,16,6
