code_muni,pct_acum
4322400,6.05
4317301,11.46
4310603,15.77
4300406,19.84
1711902,22.7
4306601,25.4
4318002,27.91
4301305,30.34
4303509,32.75
4312500,34.83
4318309,36.78
4301875,38.55
4303004,40.21
4315602,41.75
4311007,43.21
4321105,44.57
1708205,45.86
4311718,47.12
4316402,48.31
4323002,49.44
4319604,50.44
4300851,51.43
4218806,52.38
4315503,53.32
4313656,54.25
4317608,55.1
4301909,55.95
4210803,56.79
4315305,57.58
4205456,58.37
4306767,59.16
4302907,59.9
4319802,60.61
1717503,61.3
4211603,61.98
4304671,62.64
4314407,63.27
4318804,63.88
5207907,64.48
4208708,65.08
4300109,65.69
4317103,66.27
4301602,66.84
4304663,67.38
4300034,67.89
4315701,68.4
1707306,68.9
4308409,69.41
4322004,69.9
4210605,70.34
1400159,70.74
4201406,71.14
4316972,71.54
4304200,71.93
1502004,72.31
4121000,72.67
4313953,73.02
4316907,73.38
4216404,73.71
4306056,74.04
3147006,74.36
4213807,74.68
4206504,74.98
4305439,75.26
4208807,75.53
4313508,75.8
4319406,76.07
4205191,76.33
4309308,76.6
4218707,76.86
2111508,77.11
4305355,77.36
4314209,77.61
4211256,77.84
4314027,78.07
4313375,78.29
5107941,78.51
4318101,78.73
4321501,78.95
4311502,79.16
4123709,79.38
4207106,79.58
4209102,79.79
4205902,79.99
5106307,80.19
1400407,80.38
5007208,80.57
4306700,80.76
4218103,80.94
4306379,81.13
4123956,81.31
5220207,81.49
1100320,81.67
4207205,81.85
1100205,82.03
1101468,82.21
5103700,82.38
4302808,82.55
4201307,82.72
4321303,82.89
4311759,83.06
4320354,83.22
4217808,83.39
2101004,83.55
4311106,83.71
5106240,83.87
1718899,84.02
5220009,84.18
2802700,84.33
4321352,84.47
5106422,84.62
4213708,84.76
4123303,84.91
4210407,85.05
1706100,85.19
4216354,85.33
4207304,85.47
4317707,85.6
4318432,85.74
3518404,85.88
4208203,86.01
5107925,86.14
4308003,86.26
4218004,86.39
5107248,86.51
4308805,86.63
4304689,86.75
4207007,86.86
4210852,86.98
5103056,87.09
5106802,87.2
2804409,87.32
4312104,87.43
4217709,87.54
4322608,87.65
1500602,87.76
3170404,87.87
4322327,87.98
4316808,88.08
2201150,88.19
4312252,88.29
5100201,88.39
4214607,88.5
5005608,88.6
2202000,88.7
2104800,88.8
5107909,88.89
5105580,88.99
4313391,89.09
4119707,89.18
4203956,89.28
5101902,89.37
2206209,89.47
5106265,89.56
5105101,89.65
4309050,89.74
5104104,89.83
4320552,89.91
4214508,90
4312443,90.09
5108501,90.17
4318507,90.25
4305454,90.34
1100809,90.42
2703205,90.5
4311734,90.57
2707503,90.65
4212304,90.73
4203204,90.8
2805703,90.88
4111555,90.95
5105606,91.02
4318408,91.09
1100338,91.17
5108055,91.24
3520301,91.3
4205803,91.37
5106190,91.44
1505502,91.51
1508126,91.58
5103502,91.64
4218400,91.71
5004502,91.77
5107065,91.84
4205159,91.9
5106273,91.97
3544301,92.03
5104559,92.09
1100072,92.15
4306908,92.21
4208906,92.27
5108907,92.33
1400027,92.39
5300108,92.45
4214706,92.51
4322533,92.57
5108303,92.63
4215653,92.69
4305132,92.75
5100250,92.8
4211306,92.86
5103205,92.92
1100940,92.98
4321204,93.03
5208004,93.09
