code_muni,pct_acum
3170107,1.21
3531902,2.09
5218508,2.97
3505500,3.82
5006002,4.67
5007208,5.46
3517406,6.16
3524303,6.84
5213103,7.48
3127107,8.1
3556305,8.67
3542206,9.24
5209101,9.77
5101704,10.28
5006200,10.8
5211503,11.32
3505906,11.83
3117306,12.33
5003256,12.82
5103452,13.29
5004700,13.76
3533502,14.22
3522703,14.67
3533908,15.1
3136306,15.54
3524105,15.97
5000856,16.4
3525300,16.82
3111408,17.24
3535507,17.66
3529203,18.08
5102637,18.49
3518206,18.9
3536604,19.31
3517901,19.72
2702306,20.12
3543402,20.53
3506102,20.93
3503208,21.33
3538709,21.73
3548906,22.13
3527603,22.52
5211909,22.91
3529708,23.31
3550100,23.69
3525102,24.08
3512100,24.46
3502101,24.84
3503307,25.22
5100607,25.59
3525706,25.96
3134202,26.32
3134400,26.69
3536703,27.05
3511003,27.41
5205471,27.77
5203500,28.12
3526803,28.48
3539509,28.83
3138625,29.18
3508801,29.53
5208608,29.87
1716505,30.2
3514106,30.54
3545506,30.88
3502804,31.21
3513702,31.54
3506706,31.87
3149804,32.2
5207402,32.52
3519600,32.85
3553708,33.17
3159803,33.49
3535002,33.81
5200134,34.12
3551702,34.43
3507407,34.74
5209150,35.05
3554300,35.35
3521903,35.65
3540200,35.94
3537404,36.23
2918407,36.51
5218805,36.79
5218052,37.07
3507902,37.35
3521309,37.63
3549508,37.9
3512001,38.17
3537305,38.43
3147006,38.69
5219308,38.95
3550902,39.21
3553401,39.47
3530102,39.72
3545605,39.98
5222302,40.22
5201504,40.47
3541703,40.72
3526506,40.97
3539301,41.21
3170404,41.45
3548054,41.7
3549409,41.94
3100708,42.18
3510005,42.42
3546405,42.65
3518859,42.89
3517802,43.12
3535309,43.36
3544202,43.59
5106232,43.82
3519105,44.05
5005103,44.28
3526704,44.51
3510807,44.74
3501004,44.97
3518602,45.19
3552601,45.42
5002951,45.64
3520103,45.86
3509403,46.08
3527108,46.3
5213806,46.52
3171105,46.74
3517703,46.96
3553955,47.18
2607208,47.4
3526001,47.61
2614204,47.82
3507506,48.04
3133402,48.25
3530508,48.46
5209937,48.67
3111804,48.88
3541604,49.09
3530201,49.3
3533601,49.5
3532207,49.71
3114550,49.92
5007935,50.12
3513108,50.33
5204300,50.54
3118205,50.74
3505203,50.94
5222054,51.14
4111803,51.34
3556008,51.54
3552908,51.74
5006606,51.93
3529302,52.13
3536307,52.32
3524204,52.52
5003702,52.71
3301009,52.9
3538907,53.09
5002407,53.28
5216304,53.48
3553302,53.67
3510401,53.85
3519907,54.04
3544905,54.23
3543709,54.41
3152006,54.59
2708600,54.77
3156908,54.96
3515509,55.13
4105508,55.31
5220157,55.49
3542909,55.67
3547502,55.85
5221551,56.03
3504404,56.21
5005152,56.39
3534708,56.56
3528809,56.74
2111607,56.92
3552700,57.09
3533007,57.26
3520905,57.44
3546306,57.61
5204250,57.78
4126801,57.96
3551405,58.13
3531407,58.3
3534302,58.47
3512902,58.63
3500907,58.8
3517000,58.97
4105904,59.13
3516002,59.3
3169604,59.46
4122602,59.62
5006275,59.79
3554409,59.95
3511102,60.1
3556800,60.26
3161304,60.42
5216403,60.58
5001003,60.74
3506201,60.89
3544806,61.05
3519303,61.21
3510708,61.36
3540606,61.52
3138807,61.68
3520442,61.83
3555604,61.98
3528007,62.14
3506805,62.29
3517505,62.44
5220504,62.59
1508126,62.74
5005707,62.88
3519402,63.03
3540804,63.18
3554508,63.32
3511607,63.47
2511202,63.61
3555356,63.75
2706703,63.9
