code_muni,pct_acum
3147006,2.45
5106240,4.79
3170404,6.84
5107925,8.72
5206206,10.31
5300108,11.68
3522406,12.83
4110706,13.98
4120606,15
3128600,15.99
4105706,16.79
1711902,17.58
5220009,18.35
5212204,19.07
5212501,19.76
3535804,20.43
4104907,21.1
4117701,21.75
3521804,22.41
4127502,23.06
2911105,23.7
2928901,24.32
3521705,24.91
5204805,25.49
5107040,26.04
5102637,26.58
2903201,27.13
2910701,27.66
4118501,28.19
3109303,28.72
3149804,29.21
4128708,29.71
5200175,30.2
3162500,30.67
4114401,31.14
4115309,31.61
2613206,32.07
4109401,32.52
5216403,32.96
4121604,33.39
4200101,33.81
3108206,34.23
5107065,34.65
4127007,35.06
5105259,35.47
5205109,35.88
4103222,36.28
3510203,36.67
5217609,37.06
5208004,37.45
4109658,37.83
4111407,38.2
4128609,38.56
4110102,38.91
5108501,39.27
4113205,39.61
4122156,39.95
3139102,40.29
5102686,40.62
4105409,40.96
4125605,41.29
5204003,41.61
3528601,41.93
4119905,42.24
4104659,42.55
5211909,42.85
2919553,43.15
4119400,43.46
4104428,43.75
4128534,44.05
5200605,44.35
5210109,44.64
4107207,44.94
3523206,45.22
4121505,45.5
4322509,45.78
5218805,46.06
4120903,46.34
3109451,46.61
4312617,46.88
5220603,47.14
4107736,47.4
5101902,47.67
3508009,47.93
3141306,48.17
5103502,48.4
2926202,48.64
3517406,48.87
4105201,49.1
3119302,49.33
4124806,49.56
3113206,49.78
3166808,50
5207907,50.23
4106506,50.45
3553807,50.67
5213806,50.88
5203807,51.1
2201150,51.31
5210406,51.52
5107958,51.73
4106803,51.93
4121208,52.13
4122008,52.33
4119301,52.52
3105103,52.72
3129509,52.91
4104808,53.1
4110508,53.29
4111209,53.47
5104542,53.66
5104526,53.85
4104204,54.03
5213103,54.21
3137403,54.39
5103056,54.57
4216107,54.75
4108650,54.93
3510807,55.1
3529708,55.27
4127858,55.45
5106224,55.62
3148004,55.78
3512605,55.94
4119608,56.1
3504503,56.26
3148103,56.42
2101400,56.58
3168903,56.73
4211850,56.89
1717503,57.04
4210100,57.19
4101606,57.34
5213707,57.49
5219258,57.64
5222005,57.79
4101804,57.94
1708205,58.09
5102678,58.23
3104502,58.38
3109402,58.53
3108552,58.67
3114402,58.81
5108006,58.96
4114500,59.1
4203501,59.24
3153400,59.38
5107248,59.52
5107909,59.66
4117255,59.8
4108957,59.93
2900355,60.07
4125209,60.21
2909307,60.34
5204409,60.48
5002209,60.61
3145000,60.74
5215603,60.87
4113304,61
3550209,61.13
2902906,61.26
4121703,61.39
4101309,61.52
3552304,61.65
5107941,61.77
3137536,61.9
5216452,62.03
4114005,62.15
4106209,62.28
1100379,62.4
5213756,62.53
2917359,62.65
4122503,62.78
4117305,62.9
4113908,63.02
4108452,63.14
1718899,63.26
4125100,63.38
3137502,63.5
5212956,63.62
4104402,63.74
4207684,63.85
3170529,63.96
5107768,64.08
4102307,64.19
3156908,64.3
4112009,64.41
3553856,64.52
2603207,64.63
4203600,64.74
5108907,64.85
3126208,64.96
3114907,65.06
5103304,65.17
5107875,65.27
2608305,65.38
2312205,65.48
4203808,65.59
2208205,65.69
4120150,65.79
4219507,65.9
2309458,66
4302303,66.1
4122305,66.2
3111606,66.3
5107792,66.4
4123006,66.49
4108403,66.59
4216800,66.69
1707306,66.79
2313203,66.88
5107305,66.98
2308104,67.08
4123808,67.17
4104055,67.27
4205506,67.37
4120358,67.46
3204559,67.56
2921500,67.65
5207253,67.75
3114600,67.84
2608255,67.93
4115408,68.03
3162203,68.12
5205471,68.21
5219308,68.3
1701903,68.39
3511409,68.48
5208905,68.57
3141900,68.66
5213905,68.74
3147204,68.83
4204806,68.92
3101607,69
4103040,69.09
4123857,69.18
2921906,69.26
4121406,69.34
2613008,69.43
4104451,69.51
4109302,69.59
3137106,69.67
4107546,69.75
5107008,69.83
4128500,69.9
3147907,69.98
3129400,70.06
2302800,70.13
4127965,70.21
3171006,70.29
2603306,70.36
4128658,70.44
4105003,70.51
1502202,70.58
4106308,70.65
4126306,70.73
3100708,70.8
4208500,70.87
5214606,70.94
2902500,71.01
2300309,71.08
