code_muni,pct_acum
5107925,3.19
5218805,5.25
5106240,7.19
5106224,8.96
5211909,10.46
5103502,11.77
5107065,13.01
5005400,14.25
5102637,15.42
5107040,16.48
5104526,17.44
5105259,18.39
5107941,19.27
5101902,20.14
5107859,20.99
5106802,21.82
5007901,22.64
5102686,23.45
5107875,24.23
5107909,24.99
5108501,25.73
5003702,26.46
5108006,27.15
5102702,27.84
5213756,28.52
5006606,29.19
5108907,29.85
5104609,30.48
5103700,31.09
5102678,31.69
2101400,32.28
5213103,32.87
5107768,33.46
5107248,34.05
5106307,34.62
5103858,35.12
5206206,35.62
2211209,36.11
5103056,36.57
5007695,37.02
5107354,37.45
2201150,37.88
5107792,38.29
5205471,38.7
5007208,39.11
2928901,39.51
5001243,39.89
5004502,40.27
5107305,40.65
5002407,41
5101852,41.36
2909307,41.69
5104542,42.03
5107958,42.35
4127700,42.68
5300108,43
5105580,43.32
5003256,43.64
4102000,43.96
1703842,44.26
5103304,44.56
5005251,44.84
4128005,45.11
3170404,45.39
5100201,45.67
5100607,45.94
2112001,46.21
5005707,46.48
4104808,46.74
5000609,47.01
3149804,47.27
5002951,47.53
5216403,47.79
5204409,48.05
5100409,48.3
3170107,48.56
5108303,48.81
5107602,49.06
5219308,49.31
2911105,49.57
3522406,49.81
4125704,50.06
5105606,50.28
5107008,50.5
5220603,50.71
4127403,50.92
4117909,51.13
5105101,51.33
5216452,51.54
5104559,51.74
3147006,51.94
5106281,52.14
5106265,52.34
2201903,52.53
5106372,52.72
5002704,52.9
5104203,53.08
2917359,53.25
2208908,53.43
2923803,53.6
5103353,53.77
5103908,53.94
5100250,54.1
1100304,54.27
1506708,54.43
5107180,54.6
3103504,54.76
5106422,54.92
5203500,55.08
5108600,55.24
5106778,55.4
5007935,55.56
5106216,55.72
2903201,55.87
1101468,56.03
5107743,56.18
4113700,56.34
5210109,56.49
3170206,56.64
4114005,56.8
4109401,56.95
3109303,57.1
4127502,57.25
5212501,57.4
2203230,57.55
4103701,57.7
2111607,57.84
5200175,57.99
2807105,58.13
4112959,58.27
2900355,58.41
2209203,58.55
5200134,58.68
2801405,58.82
4120655,58.96
1100072,59.1
4103909,59.23
3162500,59.36
5220504,59.5
4107504,59.63
5105903,59.76
4126504,59.89
4108809,60.02
3156908,60.15
4116703,60.28
4126405,60.4
4108601,60.53
5104807,60.66
4127957,60.78
5106190,60.91
4106308,61.03
5209101,61.16
1100924,61.28
1100056,61.41
5204003,61.53
5002209,61.65
2919553,61.77
2109700,61.88
1703909,62
1506583,62.11
3119302,62.23
1504752,62.34
5215603,62.45
5207253,62.57
4104907,62.68
4114609,62.79
5103007,62.9
5006002,63.01
4123501,63.12
4125308,63.23
5220009,63.34
4313706,63.45
5004601,63.56
3129509,63.67
4203600,63.77
3153400,63.88
3148004,63.98
5106000,64.09
5205109,64.19
5210406,64.29
4312617,64.39
3108206,64.49
4123907,64.59
2109502,64.69
4120507,64.79
5100359,64.89
4103453,64.99
4104303,65.08
5103601,65.18
4100707,65.27
5102694,65.37
5108055,65.46
3143104,65.55
3169307,65.64
5107800,65.74
5108105,65.83
2926202,65.92
5001508,66.01
1100031,66.1
3145000,66.19
4318903,66.28
4106407,66.37
4104428,66.46
5105507,66.54
2908101,66.63
1506807,66.72
5000906,66.81
4115200,66.89
4113734,66.98
3510203,67.07
4115358,67.15
3521705,67.24
4120606,67.33
4121356,67.41
5218102,67.5
3139102,67.58
3535309,67.67
2106102,67.75
3528809,67.84
5004304,67.92
4100806,68.01
4103370,68.09
4118808,68.17
4103008,68.25
4125001,68.34
3109451,68.42
3510005,68.5
4322509,68.58
3510807,68.66
2102804,68.74
4124053,68.82
2100501,68.9
3521804,68.98
5204805,69.06
5215306,69.14
3117306,69.22
3508009,69.3
3148103,69.38
3155504,69.45
3517406,69.53
2802304,69.61
4121109,69.69
4118501,69.76
5107776,69.84
5005103,69.92
1718204,69.99
3151503,70.07
5208152,70.14
4102109,70.22
5107198,70.29
4117701,70.37
5105150,70.44
4111100,70.51
2110005,70.59
5105200,70.66
1100205,70.73
3128600,70.81
4119301,70.88
3126208,70.95
4127007,71.02
5007703,71.09
4114807,71.16
4108205,71.24
5100300,71.31
1506187,71.38
4103602,71.45
4114401,71.52
4119400,71.59
5211503,71.66
4113403,71.73
4124020,71.8
1716505,71.87
4107702,71.94
4112207,72
2204402,72.07
4306106,72.14
3546405,72.21
1701101,72.27
5217104,72.34
3522307,72.41
4109807,72.48
4117305,72.54
4116802,72.61
2210631,72.68
5002100,72.74
4117222,72.81
5222005,72.87
3130705,72.94
5106299,73
4116059,73.06
4200101,73.13
1502939,73.19
3523206,73.25
5102793,73.32
5103205,73.38
3112604,73.44
5213053,73.5
5106257,73.56
3166808,73.63
1701903,73.69
4102802,73.75
3535804,73.81
1505502,73.87
2916500,73.93
5106752,73.99
3126109,74.05
4319158,74.11
5208004,74.17
5101803,74.23
3542206,74.29
4126355,74.35
1501451,74.4
4108320,74.46
5104104,74.52
4110706,74.58
4117453,74.64
4115101,74.69
5204508,74.75
5107701,74.81
5108808,74.86
4110607,74.92
3537909,74.98
5102603,75.03
3101607,75.09
5003504,75.14
1507953,75.2
3550209,75.25
2207405,75.31
4112751,75.36
4318002,75.41
5004106,75.47
4110102,75.52
3109402,75.57
4107801,75.63
2100055,75.68
1713601,75.73
5213806,75.79
4105300,75.84
3137502,75.89
4107900,75.95
4310603,76
5219209,76.05
2104107,76.1
5006200,76.15
4102406,76.2
4117404,76.26
5203302,76.31
4115804,76.36
3143500,76.41
1712504,76.46
4107553,76.51
3111408,76.56
1100320,76.61
4121307,76.66
5217609,76.71
5005004,76.76
4101408,76.81
4103222,76.86
4108304,76.91
4122404,76.96
3504503,77
4122503,77.05
4302303,77.1
4110953,77.15
3147907,77.2
4111001,77.25
3156403,77.29
5000252,77.34
4101101,77.39
1502764,77.44
3529708,77.48
2105427,77.53
3117702,77.58
5215702,77.63
4210100,77.67
5220264,77.72
3502200,77.77
4208104,77.81
4104659,77.86
1100262,77.91
4119905,77.95
4125803,78
5218508,78.04
5209952,78.09
2805505,78.13
5004700,78.18
5212105,78.22
5007406,78.27
5106182,78.31
5214606,78.36
4101606,78.4
4121604,78.45
5107263,78.49
4128559,78.54
3171006,78.58
5002001,78.63
4128534,78.67
1707009,78.71
4318804,78.76
4103354,78.8
4122156,78.84
3545407,78.89
2918100,78.93
3105103,78.97
3137403,79.01
1500602,79.06
5008008,79.1
5003488,79.14
4128401,79.18
5108956,79.23
4105706,79.27
3170750,79.31
4121901,79.35
5221502,79.39
4107306,79.43
5002902,79.47
4124103,79.52
4322608,79.56
1400159,79.6
4101903,79.64
3550506,79.68
4205506,79.72
5003306,79.76
4128708,79.8
5222054,79.84
4113205,79.88
3553807,79.92
4316709,79.96
5003801,80
4317707,80.04
5221551,80.07
3169604,80.11
2910701,80.15
4104501,80.19
3543204,80.23
2913705,80.27
3519907,80.31
