code_muni,pct_acum
2211209,1.85
2928901,3.5
2909307,4.92
2101400,6.3
2201150,7.42
2911105,8.48
3149804,9.48
2201903,10.29
2917359,11.03
3170107,11.68
4109401,12.33
2203230,12.92
2903201,13.49
5300108,14.05
2209203,14.59
3162500,15.08
2919553,15.57
4127502,16.06
3156908,16.54
4313706,17
2111607,17.46
4203600,17.91
2112001,18.35
4312617,18.78
4104907,19.21
3103504,19.61
3147006,20.01
2926202,20.4
5206206,20.78
4318903,21.16
2908101,21.53
4104428,21.89
3108206,22.25
3170404,22.61
3153400,22.95
4322509,23.29
3510807,23.63
2109700,23.97
5210109,24.3
3170206,24.62
2208908,24.94
2110005,25.25
4117701,25.55
3143104,25.86
4119301,26.17
1506187,26.47
5215603,26.77
4120606,27.06
3109303,27.35
3148004,27.65
4306106,27.93
2106102,28.21
3155504,28.49
3139102,28.76
4200101,29.02
4319158,29.27
4127007,29.52
3151503,29.77
3169307,30.02
4117305,30.26
5212501,30.5
2207405,30.73
4318002,30.95
3521804,31.18
4310603,31.4
2204402,31.62
2100055,31.84
5220603,32.06
4114401,32.27
3130705,32.48
3145000,32.69
4119400,32.9
5205109,33.11
4302303,33.31
3522406,33.51
2105427,33.71
4110706,33.92
4210100,34.11
3126208,34.31
4208104,34.51
3523206,34.7
3109402,34.89
4110102,35.09
3166808,35.28
4104808,35.47
4318804,35.65
3156403,35.83
2210631,36.01
1500602,36.19
1703842,36.37
1703909,36.54
4104659,36.72
4119905,36.89
5204805,37.07
4322608,37.24
1400159,37.41
4205506,37.58
5002951,37.75
4113205,37.92
4316709,38.09
2109502,38.25
5208152,38.42
4317707,38.59
5215306,38.75
4113734,38.91
4203808,39.07
3502200,39.23
2206605,39.39
1507953,39.54
4121752,39.7
4101804,39.85
1505502,40
4306734,40.15
3129509,40.3
5105259,40.45
4304507,40.6
4200408,40.75
3521705,40.9
5210406,41.05
3137403,41.19
4128534,41.34
4305108,41.48
3170750,41.63
2102325,41.77
3543006,41.91
4122156,42.05
4101606,42.19
3537909,42.33
3500303,42.46
5222005,42.6
4311304,42.74
1711902,42.87
3104502,43.01
5211909,43.14
2102036,43.27
3112000,43.41
1100379,43.54
3130309,43.67
5204003,43.81
4204301,43.94
4317806,44.07
4219309,44.2
1508126,44.33
3530508,44.46
3550209,44.58
4100301,44.71
4309001,44.84
3113206,44.97
4305900,45.09
3117702,45.22
2100501,45.34
4118501,45.47
3119302,45.59
4111407,45.71
3504503,45.84
4322202,45.96
3141900,46.08
3502705,46.2
2205607,46.33
4105201,46.45
4108452,46.57
1502939,46.69
3104007,46.81
3137502,46.93
4212205,47.05
3107109,47.17
4106803,47.29
5213103,47.4
4307401,47.52
4217907,47.64
5103502,47.76
3114600,47.88
4106209,47.99
4122503,48.11
3539301,48.22
3109451,48.34
2104800,48.45
4204202,48.57
3509452,48.68
4119608,48.79
5106224,48.9
5217609,49.01
3508009,49.11
3162203,49.22
4104204,49.33
4105706,49.44
4209300,49.54
3138203,49.65
4310405,49.76
4309803,49.86
4313425,49.97
4125605,50.08
4108650,50.18
3104205,50.29
3101607,50.39
3517406,50.49
4305405,50.6
3128600,50.7
4212106,50.8
3126109,50.9
5218805,51.01
3105103,51.11
1504208,51.21
5106257,51.31
5001243,51.41
4314407,51.51
3147204,51.61
4122008,51.71
4204905,51.81
3535804,51.91
2104107,52.01
3549102,52.11
5220264,52.21
5208004,52.31
4104451,52.41
3522307,52.51
4311155,52.61
4121604,52.7
4214201,52.8
1507300,52.9
3141306,52.99
4219507,53.09
3120805,53.18
4121703,53.28
4306932,53.37
4303004,53.46
4127601,53.56
4203501,53.65
4203402,53.75
1712702,53.84
4318200,53.93
5222302,54.02
4209003,54.11
3148103,54.2
4120903,54.29
