code_muni,pct_acum
5107925,1.59
2928901,2.93
2911105,4.26
5218805,5.42
5106240,6.48
5102637,7.48
5106224,8.48
5103502,9.43
5107875,10.38
5107065,11.32
5211909,12.17
5206206,13.01
5005400,13.81
5102702,14.56
5107040,15.29
5107859,16.01
5106307,16.71
5101902,17.41
5006606,18.08
2903201,18.71
5102678,19.33
2201150,19.94
2919553,20.54
5007901,21.14
5105259,21.74
5104526,22.3
5102686,22.85
2909307,23.39
5104609,23.93
5107941,24.44
1505502,24.94
5106802,25.43
5108907,25.91
5100201,26.38
5103858,26.85
5108006,27.32
5003702,27.79
2112001,28.25
3170404,28.71
2101400,29.16
5107909,29.6
2211209,30.04
5107768,30.46
5108501,30.86
5213756,31.25
5007695,31.62
2926202,32
5103700,32.36
5216403,32.72
5101852,33.07
5107958,33.4
5205109,33.73
5107305,34.04
5107354,34.36
5002951,34.67
5107248,34.98
5213103,35.29
3147006,35.6
5007208,35.9
1502939,36.19
5107792,36.49
4127502,36.78
5210109,37.06
2917359,37.34
5103056,37.62
5001243,37.9
5100409,38.17
5002704,38.44
5005251,38.71
5104542,38.97
5003256,39.23
5103304,39.48
5205471,39.73
3170107,39.98
3109303,40.22
5105580,40.47
1506708,40.71
4322202,40.94
5002407,41.18
5000609,41.42
5220603,41.65
5107602,41.89
5107180,42.12
4104808,42.35
2208908,42.58
3522406,42.81
4109401,43.03
5006275,43.25
5005707,43.48
5300108,43.7
1703842,43.92
5209101,44.12
3128600,44.33
5001508,44.54
5204805,44.74
5106281,44.94
5105101,45.14
4313706,45.34
2209203,45.54
2201903,45.74
5004502,45.94
4119905,46.13
4306601,46.32
5204409,46.51
5212501,46.7
5217104,46.88
5104203,47.06
3119302,47.24
4306106,47.42
5107008,47.6
2100055,47.77
3170206,47.95
5215603,48.12
4104907,48.3
5106372,48.47
4311205,48.64
4113700,48.81
4203600,48.98
5108303,49.15
5203500,49.32
4318309,49.49
5104559,49.65
4113205,49.82
5007935,49.98
5219308,50.14
5100607,50.3
5103908,50.46
5106216,50.62
5106265,50.78
4316709,50.94
4117701,51.1
4127700,51.25
5214606,51.41
5107743,51.56
5104807,51.71
4114005,51.87
5106257,52.02
4102000,52.17
4303004,52.32
5006002,52.47
4119608,52.62
1506583,52.76
5100250,52.9
5200134,53.05
4104428,53.19
4322509,53.33
5105507,53.47
5103353,53.61
3129509,53.75
5002209,53.89
4200101,54.02
1508126,54.16
1506187,54.3
5108600,54.43
4312617,54.57
4114401,54.7
4113734,54.84
1718204,54.97
2100501,55.1
5105606,55.23
4104303,55.36
3156908,55.49
1101468,55.62
5106422,55.74
2203230,55.87
1716604,55.99
5105903,56.12
5002100,56.24
3149804,56.36
1100304,56.48
1100072,56.6
5106778,56.72
4128005,56.84
5213707,56.96
1703909,57.08
2109502,57.2
5101803,57.31
1712702,57.43
4318903,57.55
1504752,57.66
5216452,57.77
4318002,57.89
4311155,58
5211503,58.12
4127007,58.23
5222005,58.34
3169604,58.45
4119301,58.57
1711902,58.68
3521705,58.79
4315701,58.9
5100300,59.01
5004601,59.12
5106752,59.23
1100924,59.33
4119400,59.44
5200175,59.55
5215306,59.65
5106182,59.76
4120606,59.86
5215702,59.97
5220009,60.07
4311304,60.17
5220504,60.27
5000906,60.37
5106455,60.48
1100056,60.58
2109700,60.67
5207253,60.77
3103504,60.87
4101606,60.97
3142809,61.07
4319158,61.17
4127403,61.27
5103601,61.36
2204402,61.46
4309001,61.56
5107701,61.65
4110706,61.75
4122503,61.85
3148103,61.94
5105200,62.04
5103007,62.13
4106308,62.23
4125704,62.32
4105706,62.42
4103701,62.51
4117909,62.6
2102325,62.69
5213806,62.79
2210631,62.88
5102603,62.97
3117306,63.06
3112604,63.15
5106190,63.24
5004908,63.33
5217203,63.42
1713601,63.51
4319604,63.6
5204508,63.69
4125605,63.77
4117602,63.86
4314100,63.95
4103909,64.03
4117305,64.12
4300406,64.21
4310009,64.29
5006200,64.38
4110508,64.47
5008008,64.55
4317103,64.64
4307500,64.72
1718907,64.81
5204003,64.89
4305306,64.97
5002605,65.06
3145000,65.14
4304705,65.22
