code_muni,pct_acum
4127502,1.35
3522406,2.65
4313706,3.75
4113700,4.8
4104808,5.83
4318903,6.83
4306106,7.78
4109401,8.7
3521705,9.62
4104907,10.54
4309001,11.4
4311155,12.26
4319158,13.11
4322202,13.9
4113734,14.66
4311718,15.42
4316709,16.14
4312617,16.86
4101606,17.54
4318002,18.21
4307500,18.84
4119905,19.43
3156908,19.98
4305306,20.53
4203600,21.07
4307831,21.6
4310009,22.11
4314308,22.63
4122404,23.15
4104303,23.66
4310207,24.16
4317707,24.66
4106001,25.15
4311759,25.63
4317806,26.11
4114500,26.6
4122503,27.04
4114005,27.49
4124806,27.93
4119608,28.36
4306932,28.79
4300406,29.21
4310603,29.64
4114401,30.06
4304655,30.47
4124707,30.87
4119400,31.27
4117701,31.66
4114906,32.05
4305009,32.44
4105409,32.82
4321808,33.19
3149804,33.57
5006606,33.93
4107207,34.29
4317202,34.65
3169307,35.01
4104428,35.37
4322509,35.72
4300208,36.07
4305702,36.42
4117305,36.76
4112009,37.11
3523206,37.45
4101903,37.79
4311205,38.13
4117255,38.47
4320107,38.8
4121406,39.13
3535804,39.45
4111506,39.77
5206206,40.09
4124103,40.41
4317509,40.73
4104659,41.04
4119301,41.36
4312658,41.67
4305405,41.98
4302220,42.29
4118501,42.6
4307401,42.91
4106506,43.21
4311304,43.51
4313334,43.81
4305900,44.1
4311130,44.4
4120606,44.68
4109302,44.97
3521804,45.26
4320503,45.55
4300471,45.83
4105300,46.12
4302501,46.4
3510203,46.68
4128559,46.96
4126009,47.23
4310405,47.5
4128534,47.77
4119806,48.04
4117008,48.31
4320800,48.58
3162500,48.84
4120358,49.1
4316105,49.36
3170404,49.62
4303806,49.88
4110508,50.14
4103453,50.39
4113205,50.65
4121604,50.9
4106407,51.16
4308458,51.41
4101853,51.66
3170107,51.9
4305603,52.15
4101507,52.39
4101408,52.63
4106308,52.87
4318309,53.1
3139102,53.34
4302154,53.57
5212501,53.8
4101655,54.03
4321402,54.26
3553807,54.49
4104055,54.72
4105003,54.95
4104402,55.17
4123808,55.39
4128609,55.62
4103222,55.84
4319109,56.06
4319208,56.28
4314100,56.49
3508009,56.71
4317400,56.91
4320909,57.12
4116703,57.33
4307302,57.54
3129509,57.74
4304705,57.95
4116802,58.15
4107603,58.35
4302584,58.55
4103040,58.75
4303301,58.95
4301503,59.15
4117271,59.35
4128500,59.54
4200101,59.74
4118808,59.93
4127007,60.12
4121703,60.31
4303004,60.5
4115739,60.69
4304002,60.88
4124400,61.07
4103305,61.25
4210100,61.44
5220009,61.62
4112504,61.8
4315404,61.99
4311700,62.17
4114807,62.35
4125209,62.54
4103354,62.72
4108403,62.9
4316436,63.08
4312708,63.25
4316972,63.43
4306734,63.61
4110805,63.78
5205109,63.96
3512605,64.13
4313904,64.31
4309803,64.48
4311809,64.65
4113304,64.82
4120150,64.99
5300108,65.15
4128708,65.32
4318101,65.49
4315958,65.65
4122156,65.81
4125407,65.97
4203808,66.13
4124301,66.29
4320206,66.44
4115408,66.6
4323200,66.75
3522307,66.9
4109708,67.06
4119004,67.21
4305871,67.36
4305504,67.51
4123006,67.66
4310462,67.82
4306908,67.97
4309506,68.12
4108650,68.26
4122172,68.41
4123204,68.56
4124020,68.71
4104501,68.85
4304622,69
4125753,69.15
4312203,69.29
4310553,69.44
4310900,69.58
4317103,69.72
2926202,69.86
4111209,70
4126207,70.14
4305801,70.28
4110102,70.42
4115606,70.56
4103800,70.7
4306007,70.83
4320305,70.97
4306320,71.1
4319125,71.24
4319604,71.37
4102752,71.51
4108452,71.64
4302238,71.78
4308656,71.91
4315701,72.04
4316451,72.18
3109451,72.31
4305975,72.44
4310876,72.57
4111407,72.7
4318606,72.83
4126678,72.95
4308904,73.08
4303202,73.21
4320230,73.34
3155504,73.46
4120903,73.59
3550209,73.71
5001243,73.83
4123857,73.95
4321907,74.08
4117214,74.2
4317756,74.32
4124004,74.44
4306429,74.56
3553856,74.68
4107553,74.8
4101002,74.91
4310413,75.03
4127858,75.15
4109658,75.26
4309605,75.38
4216107,75.5
4109005,75.61
4309704,75.73
4121505,75.84
4110706,75.96
4304309,76.07
4306130,76.19
4115754,76.3
3504503,76.41
4122107,76.53
4302600,76.64
3147006,76.75
4112702,76.86
4101804,76.97
4321006,77.08
4322301,77.19
4301206,77.3
4320321,77.41
4126306,77.51
4103503,77.62
4219853,77.73
5200175,77.83
4117057,77.94
4306601,78.04
4106852,78.15
4311601,78.25
4102406,78.35
4321857,78.45
4121752,78.55
3522802,78.65
4103024,78.75
4322103,78.85
4204202,78.95
4109757,79.05
3148103,79.15
4319364,79.25
