cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,2182,47.4,,1556,LN,1,-1.5
arroz,1975,1526,-2.5,-30.1,1627,N,0,-0.1
arroz,1976,1068,-35.3,-30,1700,LN,0,-1
arroz,1977,1400,-19.8,31.1,1778,EN,0,1
arroz,1978,1780,-3.6,27.1,1858,EN,0,0.9
arroz,1979,2197,12.6,23.4,1942,N,0,0.2
arroz,1980,2273,10.4,3.5,2030,EN,0,0.6
arroz,1981,2368,8.8,4.2,2122,N,0,0
arroz,1982,2101,-8.7,-11.3,2216,N,0,0.1
arroz,1983,1999,-17.5,-4.9,2314,EN,1,2.5
arroz,1984,2197,-13.9,9.9,2414,LN,0,-0.5
arroz,1985,2815,4.7,28.1,2517,LN,0,-0.8
arroz,1986,3139,11.6,11.5,2621,N,0,-0.3
arroz,1987,2607,-10.9,-16.9,2726,EN,1,1.6
arroz,1988,3346,10.3,28.3,2832,EN,0,0.7
arroz,1989,3110,-0.9,-7.1,2938,LN,1,-1.7
arroz,1990,3405,5.3,9.5,3045,N,0,0.2
arroz,1991,3333,0.6,-2.1,3153,EN,0,0.6
arroz,1992,3420,1.2,2.6,3261,EN,1,2.3
arroz,1993,3636,5.4,6.3,3369,EN,0,0.5
arroz,1994,2527,-28.4,-30.5,3477,N,0,0.3
arroz,1995,2997,-16.9,18.6,3586,EN,0,1.3
arroz,1996,3539,-3.9,18.1,3695,LN,0,-0.9
arroz,1997,3869,2.9,9.3,3803,N,0,-0.2
arroz,1998,4032,4.9,4.2,3911,EN,1,2.2
arroz,1999,4292,9.6,6.4,4017,LN,1,-1.5
arroz,2000,6328,60.3,47.4,4123,LN,1,-1.7
arroz,2001,5781,46.6,-8.6,4228,LN,0,-0.6
arroz,2002,3900,-1.3,-32.5,4332,N,0,-0.1
arroz,2003,4438,10.5,13.8,4436,EN,0,0.9
arroz,2004,4263,3.3,-3.9,4540,N,0,0.3
arroz,2005,3818,-10.3,-10.4,4645,EN,0,0.6
arroz,2006,3938,-10.6,3.1,4752,LN,0,-0.9
arroz,2007,4091,-11.3,3.9,4862,EN,0,0.6
arroz,2008,4138,-15,1.1,4975,LN,1,-1.6
arroz,2009,5805,14,40.3,5092,LN,0,-0.9
arroz,2010,5770,9,-0.6,5213,EN,1,1.5
arroz,2011,5888,6.8,2,5338,LN,0,-1.4
arroz,2012,6407,12.2,8.8,5467,LN,0,-0.8
arroz,2013,4100,-30.2,-36,5599,LN,0,-0.6
arroz,2014,6110,1.6,49,5736,LN,0,-0.5
arroz,2015,5689,-7.6,-6.9,5876,EN,0,0.5
arroz,2016,5580,-11.4,-1.9,6019,EN,1,2.2
arroz,2017,6369,-0.9,14.1,6166,LN,0,-0.7
arroz,2018,6417,-2,0.8,6316,LN,0,-1.1
arroz,2019,6708,0.6,4.5,6471,EN,0,0.6
arroz,2020,6857,1.2,2.2,6629,N,0,0.1
arroz,2021,7103,3.3,3.6,6793,LN,0,-1.2
arroz,2022,6784,-2.8,-4.5,6961,LN,0,-1.2
arroz,2023,7023,-0.7,3.5,7133,LN,0,-0.8
arroz,2024,7295,1.8,3.9,7310,EN,0,1.2
cana,1974,45177,-1,,45034,LN,1,-1.5
cana,1975,46084,-1.7,2,46439,N,0,-0.1
cana,1976,46080,-4,0,47842,LN,0,-1
cana,1977,50201,2.5,8.9,49174,EN,0,1
cana,1978,50515,1.7,0.6,50350,EN,0,0.9
cana,1979,52000,3.5,2.9,51286,N,0,0.2
cana,1980,49000,-3.2,-5.8,51912,EN,0,0.6
cana,1981,55699,9.5,13.7,52185,N,0,0
cana,1982,56015,10,0.6,52098,N,0,0.1
cana,1983,51585,1.4,-7.9,51675,EN,1,2.5
cana,1984,46558,-7.9,-9.7,50969,LN,0,-0.5
cana,1985,50340,1,8.1,50058,LN,0,-0.8
cana,1986,51509,4.5,2.3,49032,N,0,-0.3
cana,1987,50185,3.3,-2.6,47992,EN,1,1.6
cana,1988,42396,-11,-15.5,47040,EN,0,0.7
cana,1989,46691,-0.2,10.1,46278,LN,1,-1.7
cana,1990,46819,0.8,0.3,45802,N,0,0.2
cana,1991,45917,-1.7,-1.9,45693,EN,0,0.6
cana,1992,50608,7.3,10.2,46016,EN,1,2.3
cana,1993,40066,-16.4,-20.8,46811,EN,0,0.5
cana,1994,49576,0.6,23.7,48080,N,0,0.3
cana,1995,47967,-6.4,-3.2,49783,EN,0,1.3
cana,1996,48016,-9.2,0.1,51828,LN,0,-0.9
cana,1997,55165,1.1,14.9,54067,N,0,-0.2
cana,1998,61881,9.4,12.2,56308,EN,1,2.2
cana,1999,59499,2.4,-3.8,58343,LN,1,-1.5
cana,2000,62028,4.8,4.3,59988,LN,1,-1.7
cana,2001,62972,4.7,1.5,61125,LN,0,-0.6
cana,2002,57470,-5.8,-8.7,61734,N,0,-0.1
cana,2003,65487,6.2,13.9,61893,EN,0,0.9
cana,2004,62104,0.4,-5.2,61761,N,0,0.3
cana,2005,58320,-5.5,-6.1,61527,EN,0,0.6
cana,2006,58414,-5.4,0.2,61367,LN,0,-0.9
cana,2007,60837,-2,4.1,61400,EN,0,0.6
cana,2008,67327,7.9,10.7,61670,LN,1,-1.6
cana,2009,61760,-1.4,-8.3,62137,LN,0,-0.9
cana,2010,56147,-10.8,-9.1,62684,EN,1,1.5
cana,2011,67307,6.4,19.9,63151,LN,0,-1.4
cana,2012,63869,0.8,-5.1,63374,LN,0,-0.8
cana,2013,63301,0.5,-0.9,63234,LN,0,-0.6
cana,2014,63999,2.5,1.1,62702,LN,0,-0.5
cana,2015,67253,8.3,5.1,61852,EN,0,0.5
cana,2016,60982,-1.7,-9.3,60852,EN,1,2.2
cana,2017,54343,-12.2,-10.9,59919,LN,0,-0.7
