cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,1465,-5.4,,1522,LN,0,-0.9
arroz,1975,1355,-8.7,-7.5,1472,N,0,-0.3
arroz,1976,1501,5.4,10.8,1423,N,0,-0.3
arroz,1977,1501,9.6,0,1375,EN,0,0.5
arroz,1978,1501,13.7,0,1328,N,0,0.1
arroz,1979,1462,14.7,-2.6,1282,N,0,0.2
arroz,1980,1048,-15.2,-28.3,1239,N,0,0.3
arroz,1981,1107,-7.7,5.6,1199,N,0,-0.3
arroz,1982,1052,-10,-5,1165,N,0,0.4
arroz,1983,1125,-1.6,6.9,1137,EN,1,1.7
arroz,1984,1230,9.7,9.3,1116,N,0,-0.3
arroz,1985,1004,-8.9,-18.4,1103,LN,0,-0.6
arroz,1986,1218,11.5,21.3,1098,N,0,-0.2
arroz,1987,1216,11.2,-0.2,1099,EN,0,1.3
arroz,1988,979,-11.1,-19.5,1107,N,0,-0.2
arroz,1989,1140,2.2,16.4,1121,LN,0,-1.1
arroz,1990,1045,-8.2,-8.3,1143,N,0,0.3
arroz,1991,1305,11.8,24.9,1172,N,0,0.4
arroz,1992,1141,-5,-12.6,1210,EN,1,2
arroz,1993,1323,6.2,16,1258,EN,0,0.9
arroz,1994,1249,-5.3,-5.6,1317,N,0,0.4
arroz,1995,1285,-9,2.9,1386,EN,0,0.7
arroz,1996,1425,-4.5,10.9,1462,LN,0,-0.6
arroz,1997,1288,-17.8,-9.6,1543,N,0,0.2
arroz,1998,1866,13,44.9,1622,EN,0,1.3
arroz,1999,1917,11.7,2.7,1692,LN,0,-1.1
arroz,2000,1940,10.6,1.2,1747,LN,0,-1.1
arroz,2001,1808,1.5,-6.8,1784,LN,0,-0.5
arroz,2002,2270,26,25.6,1801,N,0,0
arroz,2003,1681,-7.9,-25.9,1803,N,0,0.2
arroz,2004,1909,4.5,13.6,1797,N,0,0.1
arroz,2005,1379,-23.7,-27.8,1791,N,0,0.3
arroz,2006,1458,-19.4,5.7,1794,LN,0,-0.6
arroz,2007,1888,2.3,29.5,1811,N,0,-0.2
arroz,2008,2027,7.3,7.4,1845,LN,0,-1.3
arroz,2009,1797,-7.1,-11.3,1898,LN,0,-0.7
arroz,2010,1943,-2.5,8.1,1965,EN,0,0.6
arroz,2011,2016,-2.6,3.8,2041,LN,0,-0.9
arroz,2012,2189,2.7,8.6,2116,LN,0,-0.6
arroz,2013,2409,11.2,10.1,2182,LN,0,-0.5
arroz,2014,2583,17.9,7.2,2234,N,0,-0.3
arroz,2015,2098,-5.8,-18.8,2269,EN,0,0.5
arroz,2016,2294,0.8,9.3,2290,EN,0,1.3
arroz,2017,2354,1.2,2.6,2305,N,0,-0.3
arroz,2018,2246,-5.6,-4.6,2324,LN,0,-0.9
arroz,2019,2254,-7.5,0.4,2356,EN,0,0.6
arroz,2020,2199,-11.9,-2.4,2407,N,0,0
arroz,2021,2267,-11.4,3.1,2482,LN,0,-1
arroz,2022,2801,6.6,23.6,2581,LN,0,-1.3
arroz,2023,2915,8,4.1,2699,N,0,-0.4
arroz,2024,2814,1.4,-3.5,2830,EN,0,0.5
cana,1974,31482,13.1,,30170,LN,1,-1.5
cana,1975,32199,0,2.3,32776,N,0,-0.1
cana,1976,37371,3.6,16.1,35576,LN,0,-1
cana,1977,35971,-8.9,-3.7,38532,EN,0,1
cana,1978,36367,-14.3,1.1,41580,EN,0,0.9
cana,1979,37576,-16.3,3.3,44625,N,0,0.2
cana,1980,47597,1.4,26.7,47546,EN,0,0.6
cana,1981,51988,7.2,9.2,50187,N,0,0
cana,1982,67000,35.1,28.9,52363,N,0,0.1
cana,1983,65000,29.3,-3,53861,EN,1,2.5
cana,1984,58506,15.8,-10,54473,LN,0,-0.5
cana,1985,49000,-2.6,-16.2,54034,LN,0,-0.8
cana,1986,49308,-0.7,0.6,52480,N,0,-0.3
cana,1987,48017,1,-2.6,49892,EN,1,1.6
cana,1988,35887,-18.3,-25.3,46506,EN,0,0.7
cana,1989,60955,51.3,69.9,42680,LN,1,-1.7
cana,1990,48387,27.4,-20.6,38821,N,0,0.2
cana,1991,34580,-5.6,-28.5,35301,EN,0,0.6
cana,1992,24965,-29.4,-27.8,32409,EN,1,2.3
cana,1993,34514,-1.3,38.2,30336,EN,0,0.5
cana,1994,36264,0.1,5.1,29192,N,0,0.3
cana,1995,34092,-11.6,-6,29039,EN,0,1.3
cana,1996,13039,-68,-61.8,29913,LN,0,-0.9
cana,1997,14954,-65.8,14.7,31829,N,0,-0.2
cana,1998,48154,0.9,200,34764,EN,1,2.2
cana,1999,51532,1.2,7,38615,LN,1,-1.5
cana,2000,53237,0.4,3.3,43152,LN,1,-1.7
cana,2001,57644,4.7,8.3,48002,LN,0,-0.6
cana,2002,57627,1.3,0,52683,N,0,-0.1
cana,2003,61288,5,6.4,56707,EN,0,0.9
cana,2004,61518,3.7,0.4,59723,N,0,0.3
cana,2005,59238,-1,-3.7,61613,EN,0,0.6
cana,2006,58630,-3,-1,62510,LN,0,-0.9
cana,2007,57649,-5.7,-1.7,62722,EN,0,0.6
cana,2008,60493,-1.9,4.9,62618,LN,1,-1.6
cana,2009,60835,-2.2,0.6,62523,LN,0,-0.9
cana,2010,64889,3.7,6.7,62653,EN,1,1.5
cana,2011,59602,-5.2,-8.1,63091,LN,0,-1.4
cana,2012,68762,8.7,15.4,63803,LN,0,-0.8
cana,2013,69952,9.7,1.7,64659,LN,0,-0.6
cana,2014,65255,1.6,-6.7,65478,LN,0,-0.5
cana,2015,61544,-5.2,-5.7,66081,EN,0,0.5
cana,2016,62341,-5.3,1.3,66332,EN,1,2.2
cana,2017,62341,-6.7,0,66172,LN,0,-0.7
cana,2018,63935,-5.9,2.6,65626,LN,0,-1.1
cana,2019,71963,4,12.6,64777,EN,0,0.6
cana,2020,71497,1.3,-0.6,63737,N,0,0.1
cana,2021,49351,-31.5,-31,62609,LN,0,-1.2
cana,2022,75581,2.5,53.1,61467,LN,0,-1.2
cana,2023,75546,0,0,60346,LN,0,-0.8
cana,2024,44901,-42.1,-40.6,59253,EN,0,1.2
feijao,1974,959,-16,,1085,LN,1,-1.9
feijao,1975,1130,2.9,17.8,1053,N,0,-0.2
feijao,1976,1000,-5.3,-11.5,1022,LN,0,-1.1
feijao,1977,1100,8.2,10,991,EN,0,1.1
feijao,1978,1000,2.3,-9.1,960,EN,0,1.1
feijao,1979,1000,6.2,0,929,N,0,0.2
feijao,1980,1000,10.1,0,899,EN,0,0.7
feijao,1981,1103,25.7,10.3,870,N,0,0.2
feijao,1982,842,-0.7,-23.7,844,N,0,0
feijao,1983,560,-32,-33.5,821,EN,1,2.5
feijao,1984,686,-14,22.5,801,LN,0,-1
feijao,1985,776,0.5,13.1,787,LN,0,-1
feijao,1986,755,0.1,-2.7,777,N,0,-0.2
feijao,1987,672,-10.6,-11,772,EN,1,1.5
feijao,1988,863,13.6,28.4,771,EN,0,0.9
feijao,1989,786,1.8,-8.9,774,LN,1,-1.9
feijao,1990,747,-4.6,-5,780,N,0,0
feijao,1991,778,-2.6,4.1,789,EN,0,0.5
feijao,1992,703,-14.4,-9.6,798,EN,1,2.1
feijao,1993,945,12.8,34.4,808,N,0,0.3
feijao,1994,922,9,-2.4,819,N,0,0.3
