cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,881,-6,,LN,1,-1.9
arroz,1975,984,5.5,11.7,N,0,-0.4
arroz,1976,947,2.1,-3.8,LN,0,-1.1
arroz,1977,898,-2.5,-5.2,EN,0,1.1
arroz,1978,905,-0.8,0.8,EN,0,1.1
arroz,1979,901,-0.2,-0.4,N,0,0.2
arroz,1980,909,1.8,0.9,EN,0,0.7
arroz,1981,564,-36,-38,N,0,-0.3
arroz,1982,998,15,77,N,0,0.4
arroz,1983,837,-2.1,-16.1,EN,1,2.5
arroz,1984,1227,46.1,46.6,LN,0,-1.1
arroz,1985,1119,36.5,-8.8,LN,0,-1
arroz,1986,498,-38.1,-55.5,N,0,-0.3
arroz,1987,680,-14.2,36.5,EN,1,1.6
arroz,1988,971,24.3,42.8,EN,0,1.3
arroz,1989,699,-9.4,-28,LN,1,-1.9
arroz,1990,676,-11.6,-3.3,N,0,0.3
arroz,1991,877,14.9,29.7,EN,0,0.6
arroz,1992,800,4.6,-8.8,EN,1,2.3
arroz,1993,704,-8.4,-12,EN,0,0.9
arroz,1994,807,4.9,14.6,N,0,0.4
arroz,1995,825,7.2,2.2,EN,0,1.4
arroz,1996,758,-2.5,-8.1,LN,0,-0.9
arroz,1997,800,0.6,5.5,N,0,-0.3
arroz,1998,800,-2.1,0,EN,1,2.4
arroz,1999,796,-5.4,-0.5,LN,1,-1.6
arroz,2000,800,-8.1,0.5,LN,1,-1.7
arroz,2001,832,-8.4,4,LN,0,-0.7
arroz,2002,1037,9.6,24.6,N,0,-0.3
arroz,2003,1307,33.7,26,EN,1,1.5
arroz,2004,1209,19.2,-7.5,N,0,0.3
arroz,2005,1227,15.9,1.5,EN,0,0.8
arroz,2006,900,-17.4,-26.7,LN,0,-0.9
arroz,2007,840,-24,-6.7,EN,0,0.9
arroz,2008,1083,-3,28.9,LN,1,-1.6
arroz,2009,1115,-0.6,3,LN,0,-0.9
arroz,2010,1202,7.8,7.8,EN,1,1.6
arroz,2011,1069,-2.7,-11.1,LN,1,-1.7
arroz,2012,1089,0.5,1.9,LN,0,-1
arroz,2013,1112,3.8,2.1,LN,0,-0.6
arroz,2014,1144,8.4,2.9,N,0,-0.5
arroz,2015,970,-7,-15.2,EN,0,0.6
arroz,2016,960,-7.2,-1,EN,1,2.4
arroz,2017,956,-6.7,-0.4,LN,0,-1.1
arroz,2018,1031,1.4,7.8,LN,0,-1.3
arroz,2019,994,-1.6,-3.6,EN,0,0.8
arroz,2020,989,-1.5,-0.5,N,0,0.2
arroz,2021,994,-0.5,0.5,LN,1,-1.5
arroz,2022,1035,3.9,4.1,LN,0,-1.3
arroz,2023,1036,4.2,0.1,LN,0,-1.1
arroz,2024,966,-2.8,-6.8,EN,1,1.5
cana,1974,13591,10.1,,LN,1,-1.9
cana,1975,13250,2.9,-2.5,N,0,-0.4
cana,1976,13774,2.9,4,LN,0,-1.1
cana,1977,13579,-2.5,-1.4,EN,0,1.1
cana,1978,13522,-6.7,-0.4,EN,0,1.1
cana,1979,13875,-7.8,2.6,N,0,0.2
cana,1980,14426,-7.5,4,EN,0,0.7
cana,1981,14493,-10.3,0.5,N,0,-0.3
cana,1982,15412,-7.9,6.3,N,0,0.4
cana,1983,16294,-5.6,5.7,EN,1,2.5
cana,1984,20000,11.6,22.7,LN,0,-1.1
cana,1985,27805,48.4,39,LN,0,-1
cana,1986,27949,44.7,0.5,N,0,-0.3
cana,1987,18000,-7.4,-35.6,EN,1,1.6
cana,1988,20000,3.5,11.1,EN,0,1.3
cana,1989,25000,30.6,25,LN,1,-1.9
cana,1990,20000,4.8,-20,N,0,0.3
cana,1991,20000,5.6,0,EN,0,0.6
cana,1992,18000,-3.4,-10,EN,1,2.3
cana,1993,16000,-13.6,-11.1,EN,0,0.9
cana,1994,15000,-19.6,-6.2,N,0,0.4
cana,1995,18000,-4.7,20,EN,0,1.4
cana,1996,18778,-2,4.3,LN,0,-0.9
cana,1997,19260,-1.5,2.6,N,0,-0.3
cana,1998,23476,16.9,21.9,EN,1,2.4
cana,1999,25871,25.1,10.2,LN,1,-1.6
cana,2000,22385,4.6,-13.5,LN,1,-1.7
cana,2001,22389,0.5,0,LN,0,-0.7
cana,2002,20588,-11.3,-8,N,0,-0.3
cana,2003,21505,-10.5,4.5,EN,1,1.5
cana,2004,23667,-4.3,10.1,N,0,0.3
cana,2005,24375,-4.2,3,EN,0,0.8
cana,2006,27562,5.5,13.1,LN,0,-0.9
cana,2007,30375,12.7,10.2,EN,0,0.9
cana,2008,29091,4.2,-4.2,LN,1,-1.6
cana,2009,19929,-30.6,-31.5,LN,0,-0.9
cana,2010,31892,8.3,60,EN,1,1.6
cana,2011,26369,-12.8,-17.3,LN,1,-1.7
cana,2012,28038,-8.7,6.3,LN,0,-1
cana,2013,29211,-5.3,4.2,LN,0,-0.6
cana,2014,31071,0.8,6.4,N,0,-0.5
cana,2015,33185,8.3,6.8,EN,0,0.6
cana,2016,34545,14,4.1,EN,1,2.4
cana,2017,36128,21.1,4.6,LN,0,-1.1
cana,2018,27981,-4.2,-22.6,LN,0,-1.3
cana,2019,26856,-5.5,-4,EN,0,0.8
cana,2020,26749,-2.7,-0.4,N,0,0.2
cana,2021,25965,-1.6,-2.9,LN,1,-1.5
cana,2022,24989,-0.6,-3.8,LN,0,-1.3
cana,2023,23834,0.4,-4.6,LN,0,-1.1
cana,2024,22746,2.6,-4.6,EN,1,1.5
feijao,1974,536,-2.2,,LN,1,-1.9
feijao,1975,550,1.9,2.6,N,0,-0.4
feijao,1976,523,-1.8,-4.9,LN,0,-1.1
feijao,1977,539,2.4,3.1,EN,0,1.1
feijao,1978,552,5.9,2.4,EN,0,1.1
feijao,1979,544,5.2,-1.4,N,0,0.2
feijao,1980,542,5.7,-0.4,EN,0,0.7
feijao,1981,434,-14.9,-19.9,N,0,-0.3
feijao,1982,425,-16.3,-2.1,N,0,0.4
feijao,1983,449,-11.1,5.6,EN,1,2.5
feijao,1984,381,-24.3,-15.1,LN,0,-1.1
feijao,1985,614,21.8,61.2,LN,0,-1
feijao,1986,547,8.7,-10.9,N,0,-0.3
feijao,1987,466,-7.1,-14.8,EN,1,1.6
feijao,1988,655,30.8,40.6,EN,0,1.3
feijao,1989,537,7.7,-18,LN,1,-1.9
feijao,1990,513,4,-4.5,N,0,0.3
feijao,1991,210,-55.6,-59.1,EN,0,0.6
