cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1372,-9.2,,LN,1,-1.9
arroz,1975,1466,5.5,6.9,N,0,-0.4
arroz,1976,1200,-6.2,-18.1,LN,0,-1.1
arroz,1977,1200,1.5,0,EN,0,1.1
arroz,1978,1200,9.4,0,EN,0,1.1
arroz,1979,1700,66.2,41.7,N,0,0.2
arroz,1980,1400,45.5,-17.6,EN,0,0.7
arroz,1981,790,-13.6,-43.6,N,0,-0.3
arroz,1982,685,-21.9,-13.3,N,0,0.4
arroz,1983,699,-18.1,2,EN,1,2.5
arroz,1984,605,-27.8,-13.4,LN,0,-1.1
arroz,1985,1378,65.8,127.8,LN,0,-1
arroz,1986,1296,53.8,-6,N,0,-0.3
arroz,1987,500,-44,-61.4,EN,1,1.6
arroz,1988,896,-8.1,79.2,EN,0,1.3
arroz,1989,1103,3.4,23.1,LN,1,-1.9
arroz,1990,829,-27.4,-24.8,N,0,0.3
arroz,1991,1485,22.4,79.1,EN,0,0.6
arroz,1992,1256,-3.1,-15.4,EN,1,2.3
arroz,1993,1293,-5.2,2.9,EN,0,0.9
arroz,1994,1704,20.5,31.8,N,0,0.4
arroz,1995,1655,13.3,-2.9,EN,0,1.4
arroz,1996,1272,-15.4,-23.1,LN,0,-0.9
arroz,1997,1575,2.7,23.8,N,0,-0.3
arroz,1998,1584,2,0.6,EN,1,2.4
arroz,1999,1458,-7.3,-8,LN,1,-1.6
arroz,2000,1711,7.3,17.4,LN,1,-1.7
arroz,2001,1130,-29.9,-34,LN,0,-0.7
arroz,2002,1468,-9.8,29.9,N,0,-0.3
arroz,2003,1728,5.2,17.7,EN,1,1.5
arroz,2004,2144,27.6,24.1,N,0,0.3
arroz,2005,2376,37.3,10.8,EN,0,0.8
arroz,2006,1130,-35.7,-52.4,LN,0,-0.9
arroz,2007,1663,-5,47.2,EN,0,0.9
arroz,2008,1566,-9.7,-5.8,LN,1,-1.6
arroz,2009,1768,3.3,12.9,LN,0,-0.9
arroz,2010,1816,9,2.7,EN,1,1.6
arroz,2011,1952,22,7.5,LN,1,-1.7
arroz,2012,1696,9.5,-13.1,LN,0,-1
arroz,2013,1480,-2.6,-12.7,LN,0,-0.6
arroz,2014,1101,-26.2,-25.6,N,0,-0.5
arroz,2015,1108,-24.7,0.6,EN,0,0.6
arroz,2016,1024,-29.6,-7.6,EN,1,2.4
arroz,2017,1700,17.9,66,LN,0,-1.1
arroz,2018,1414,-1.4,-16.8,LN,0,-1.3
arroz,2019,1486,3.8,5.1,EN,0,0.8
arroz,2020,1550,8.1,4.3,N,0,0.2
arroz,2021,1535,6.5,-1,LN,1,-1.5
arroz,2022,1470,1.1,-4.2,LN,0,-1.3
arroz,2023,1459,-1,-0.7,LN,0,-1.1
arroz,2024,1405,-6.2,-3.7,EN,1,1.5
cana,1974,42000,2.3,,LN,1,-1.9
cana,1975,42000,3.3,0,N,0,-0.4
cana,1976,38000,-5.8,-9.5,LN,0,-1.1
cana,1977,38000,-5.2,0,EN,0,1.1
cana,1978,38000,-4.9,0,EN,0,1.1
cana,1979,41323,3.6,8.7,N,0,0.2
cana,1980,41992,5.3,1.6,EN,0,0.7
cana,1981,43036,7.5,2.5,N,0,-0.3
cana,1982,41717,3.7,-3.1,N,0,0.4
cana,1983,36262,-10.5,-13.1,EN,1,2.5
cana,1984,30000,-26.6,-17.3,LN,0,-1.1
cana,1985,40586,-1.6,35.3,LN,0,-1
cana,1986,39000,-6.6,-3.9,N,0,-0.3
cana,1987,44150,4,13.2,EN,1,1.6
cana,1988,45862,5.9,3.9,EN,0,1.3
cana,1989,44895,1.5,-2.1,LN,1,-1.9
cana,1990,43082,-4.7,-4,N,0,0.3
cana,1991,44739,-3.5,3.8,EN,0,0.6
cana,1992,45912,-3.8,2.6,EN,1,2.3
cana,1993,49095,0.4,6.9,EN,0,0.9
cana,1994,50461,1.3,2.8,N,0,0.4
cana,1995,53485,5.5,6,EN,0,1.4
cana,1996,53459,3.7,0,LN,0,-0.9
cana,1997,53336,1.7,-0.2,N,0,-0.3
cana,1998,52007,-2.5,-2.5,EN,1,2.4
cana,1999,53267,-1.6,2.4,LN,1,-1.6
cana,2000,53169,-3.1,-0.2,LN,1,-1.7
cana,2001,54692,-1.4,2.9,LN,0,-0.7
cana,2002,55322,-1.2,1.2,N,0,-0.3
cana,2003,56692,0.3,2.5,EN,1,1.5
cana,2004,57650,1,1.7,N,0,0.3
cana,2005,61443,6.5,6.6,EN,0,0.8
cana,2006,58996,1.5,-4,LN,0,-0.9
cana,2007,58661,0.6,-0.6,EN,0,0.9
cana,2008,56117,-3.7,-4.3,LN,1,-1.6
cana,2009,56435,-3.2,0.6,LN,0,-0.9
cana,2010,60663,4.1,7.5,EN,1,1.6
cana,2011,60191,3.9,-0.8,LN,1,-1.7
cana,2012,58471,0.7,-2.9,LN,0,-1
cana,2013,57455,-2.2,-1.7,LN,0,-0.6
cana,2014,56515,-5.3,-1.6,N,0,-0.5
cana,2015,59477,-1.9,5.2,EN,0,0.6
cana,2016,59225,-4.1,-0.4,EN,1,2.4
cana,2017,61992,-1.6,4.7,LN,0,-1.1
cana,2018,66069,2.6,6.6,LN,0,-1.3
cana,2019,67968,3,2.9,EN,0,0.8
cana,2020,72764,7.5,7.1,N,0,0.2
cana,2021,75110,8,3.2,LN,1,-1.5
cana,2022,69025,-3.5,-8.1,LN,0,-1.3
cana,2023,73139,-0.8,6,LN,0,-1.1
cana,2024,74768,-1.7,2.2,EN,1,1.5
feijao,1974,644,2.8,,LN,1,-1.9
feijao,1975,579,2,-10.1,N,0,-0.4
feijao,1976,290,-43.6,-49.9,LN,0,-1.1
feijao,1977,370,-20.8,27.6,EN,0,1.1
feijao,1978,420,-1.4,13.5,EN,0,1.1
feijao,1979,481,23.1,14.5,N,0,0.2
feijao,1980,593,64,23.3,EN,0,0.7
feijao,1981,359,6.1,-39.5,N,0,-0.3
feijao,1982,326,1.3,-9.2,N,0,0.4
feijao,1983,229,-26.2,-29.8,EN,1,2.5
feijao,1984,237,-22.3,3.5,LN,0,-1.1
feijao,1985,483,57.6,103.8,LN,0,-1
feijao,1986,504,61.4,4.3,N,0,-0.3
feijao,1987,205,-37.5,-59.3,EN,1,1.6
feijao,1988,334,-5.9,62.9,EN,0,1.3
feijao,1989,305,-20.7,-8.7,LN,1,-1.9
