cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1376,22.7,,LN,1,-1.9
arroz,1975,1500,24,9,N,0,-0.4
arroz,1976,1000,-22.9,-33.3,LN,0,-1.1
arroz,1977,1400,1,40,EN,0,1.1
arroz,1978,1200,-18.7,-14.3,EN,0,1.1
arroz,1979,1112,-28.9,-7.3,N,0,0.2
arroz,1980,720,-56.4,-35.3,EN,0,0.7
arroz,1981,2040,17.5,183.3,N,0,-0.3
arroz,1982,1219,-33.1,-40.2,N,0,0.4
arroz,1983,1846,-2.9,51.4,EN,1,2.5
arroz,1984,2037,2.5,10.3,LN,0,-1.1
arroz,1985,2407,15.6,18.2,LN,0,-1
arroz,1986,2489,15.2,3.4,N,0,-0.3
arroz,1987,2214,0.5,-11,EN,1,1.6
arroz,1988,2304,3.6,4.1,EN,0,1.3
arroz,1989,2200,-1.6,-4.5,LN,1,-1.9
arroz,1990,2010,-10.7,-8.6,N,0,0.3
arroz,1991,2173,-3.7,8.1,EN,0,0.6
arroz,1992,1954,-13,-10.1,EN,1,2.3
arroz,1993,2348,4.5,20.2,EN,0,0.9
arroz,1994,2432,7.5,3.6,N,0,0.4
arroz,1995,2556,12,5.1,EN,0,1.4
arroz,1996,2173,-5.7,-15,LN,0,-0.9
arroz,1997,2304,-0.8,6,N,0,-0.3
arroz,1998,2189,-6.6,-5,EN,1,2.4
arroz,1999,2414,2.1,10.3,LN,1,-1.6
arroz,2000,2532,5.9,4.9,LN,1,-1.7
arroz,2001,1250,-48.3,-50.6,LN,0,-0.7
arroz,2002,2134,-12.8,70.7,N,0,-0.3
arroz,2003,2643,6.8,23.9,EN,1,1.5
arroz,2004,2256,-9.9,-14.6,N,0,0.3
arroz,2005,2602,2.6,15.3,EN,0,0.8
arroz,2006,3131,22.1,20.3,LN,0,-0.9
arroz,2007,2181,-15.5,-30.3,EN,0,0.9
arroz,2008,2980,14.9,36.6,LN,1,-1.6
arroz,2009,2685,2.9,-9.9,LN,0,-0.9
arroz,2010,2317,-11.4,-13.7,EN,1,1.6
arroz,2011,2943,12.7,27,LN,1,-1.7
arroz,2012,2056,-21.5,-30.1,LN,0,-1
arroz,2013,2527,-4.4,22.9,LN,0,-0.6
arroz,2014,3015,13.1,19.3,N,0,-0.5
arroz,2015,2795,3.2,-7.3,EN,0,0.6
arroz,2016,2376,-14.2,-15,EN,1,2.4
arroz,2017,2948,3.9,24.1,LN,0,-1.1
arroz,2018,2730,-6.5,-7.4,LN,0,-1.3
arroz,2019,3024,0.3,10.8,EN,0,0.8
arroz,2020,3111,-0.3,2.9,N,0,0.2
arroz,2021,3440,6.2,10.6,LN,1,-1.5
