cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,960,-11,,964,LN,1,-1.9
arroz,1975,1041,-2.3,8.4,970,N,0,-0.2
arroz,1976,1059,0.6,1.7,976,LN,0,-1.1
arroz,1977,1245,19.6,17.6,982,EN,0,1.1
arroz,1978,1248,21.1,0.2,989,EN,0,1.1
arroz,1979,1032,1,-17.3,996,N,0,0.2
arroz,1980,950,-6.3,-7.9,1004,EN,0,0.7
arroz,1981,740,-26.6,-22.1,1013,N,0,0.2
arroz,1982,878,-11.8,18.6,1023,N,0,0
arroz,1983,1090,10.6,24.1,1035,EN,1,2.5
arroz,1984,974,-1.6,-10.6,1050,LN,0,-1
arroz,1985,1269,26.5,30.3,1066,LN,0,-1
arroz,1986,866,-15.2,-31.8,1085,N,0,-0.2
arroz,1987,1124,7,29.8,1106,EN,1,1.5
arroz,1988,1248,15.3,11,1130,EN,0,0.9
arroz,1989,835,-24.6,-33.1,1158,LN,1,-1.9
arroz,1990,837,-25.9,0.2,1188,N,0,0
arroz,1991,1430,23.1,70.8,1221,EN,0,0.5
arroz,1992,1347,12.1,-5.8,1258,EN,1,2.1
arroz,1993,1140,-8.9,-15.4,1299,N,0,0.3
arroz,1994,1605,21.2,40.8,1342,N,0,0.3
arroz,1995,1314,-6.7,-18.1,1389,EN,0,1.4
arroz,1996,1245,-16.1,-5.3,1439,LN,0,-0.9
arroz,1997,1204,-22.2,-3.3,1492,N,0,-0.3
arroz,1998,1881,16.8,56.2,1548,EN,1,2.3
arroz,1999,2473,45.4,31.5,1607,LN,1,-1.6
arroz,2000,2975,64.7,20.3,1668,LN,1,-1.6
arroz,2001,1103,-41.3,-62.9,1732,LN,0,-0.7
arroz,2002,1593,-16.5,44.4,1799,N,0,-0.3
arroz,2003,2331,20.7,46.3,1869,EN,0,1.2
arroz,2004,1980,1.8,-15.1,1942,N,0,0.3
arroz,2005,3333,71.2,68.3,2019,EN,0,0.7
arroz,2006,1000,-49.6,-70,2101,LN,0,-0.8
arroz,2007,3653,79.6,200,2189,EN,0,0.9
arroz,2009,1508,-30.4,-58.7,2385,LN,0,-0.8
arroz,2010,2000,-12.7,32.6,2494,EN,1,1.6
arroz,2011,2700,10.9,35,2613,LN,1,-1.6
arroz,2012,2480,-5,-8.1,2742,LN,0,-1
arroz,2013,3000,6.5,21,2882,N,0,-0.4
arroz,2024,6540,-0.2,118,5308,EN,1,1.5
cana,1974,12000,-26.4,,13708,LN,1,-1.5
cana,1975,13204,-18.6,10,14341,N,0,-0.1
cana,1976,13111,-19.2,-0.7,15000,LN,0,-1
cana,1977,22201,36.7,69.3,15686,EN,0,1
cana,1978,22200,36.8,0,16396,EN,0,0.9
cana,1979,20000,22.9,-9.9,17132,N,0,0.2
cana,1980,21906,33.1,9.5,17897,EN,0,0.6
cana,1981,19500,16.8,-11,18697,N,0,0
cana,1982,18000,6.1,-7.7,19540,N,0,0.1
cana,1983,18000,2.9,0,20438,EN,1,2.5
cana,1984,18000,1.1,0,21405,LN,0,-0.5
cana,1985,18000,0.5,0,22452,LN,0,-0.8
cana,1986,18000,-3.6,0,23591,N,0,-0.3
cana,1987,17000,-16.7,-5.6,24831,EN,1,1.6
cana,1988,18000,-20.1,5.9,26175,EN,0,0.7
cana,1989,18000,-27.1,0,27623,LN,1,-1.7
cana,1991,48467,54.3,169.3,30799,EN,0,0.6
cana,1992,50000,41.8,3.2,32501,EN,1,2.3
cana,1993,38712,1.6,-22.6,34256,EN,0,0.5
cana,1994,46420,15.6,19.9,36047,N,0,0.3
cana,1995,69616,64.9,50,37862,EN,0,1.3
cana,1996,21651,-50.7,-68.9,39689,LN,0,-0.9
cana,1997,66490,50.1,200,41525,N,0,-0.2
cana,1998,47415,8.5,-28.7,43372,EN,1,2.2
cana,1999,46920,7.2,-1,45236,LN,1,-1.5
cana,2000,44461,0,-5.2,47128,LN,1,-1.7
cana,2001,44179,-1.4,-0.6,49058,LN,0,-0.6
cana,2002,41385,-8.9,-6.3,51038,N,0,-0.1
cana,2003,45072,-3.6,8.9,53075,EN,0,0.9
cana,2004,46600,-5,3.4,55173,N,0,0.3
cana,2005,51482,-0.9,10.5,57331,EN,0,0.6
cana,2006,53711,-2.5,4.3,59539,LN,0,-0.9
cana,2007,53407,-10,-0.6,61787,EN,0,0.6
cana,2008,72207,11.8,35.2,64056,LN,1,-1.6
cana,2009,84608,22.6,17.2,66328,LN,0,-0.9
cana,2010,75271,3.2,-11,68582,EN,1,1.5
cana,2011,74000,-4.1,-1.7,70800,LN,0,-1.4
cana,2012,80000,-0.7,8.1,72967,LN,0,-0.8
cana,2013,89707,8.6,12.1,75072,LN,0,-0.6
cana,2014,87313,3.8,-2.7,77108,LN,0,-0.5
cana,2015,87000,1.8,-0.4,79077,EN,0,0.5
cana,2016,70000,-19.2,-19.5,80982,EN,1,2.2
cana,2017,83000,-5.1,18.6,82833,LN,0,-0.7
cana,2018,85000,-3.3,2.4,84642,LN,0,-1.1
cana,2019,85000,-3.4,0,86422,EN,0,0.6
cana,2020,85000,-3.2,0,88188,N,0,0.1
cana,2021,85000,-2.6,0,89953,LN,0,-1.2
cana,2022,94397,9.3,11.1,91730,LN,0,-1.2
cana,2023,85000,-0.3,-10,93529,LN,0,-0.8
cana,2024,85000,1.5,0,95358,EN,0,1.2
feijao,1974,340,-19.1,,356,LN,1,-1.9
feijao,1975,349,-15.3,2.6,379,N,0,-0.2
feijao,1976,358,-12.6,2.6,403,LN,0,-1.1
feijao,1977,506,22.5,41.3,428,EN,0,1.1
feijao,1978,500,18.7,-1.2,452,EN,0,1.1
feijao,1979,649,49.1,29.8,477,N,0,0.2
feijao,1980,570,24.8,-12.2,501,EN,0,0.7
feijao,1981,404,-16.5,-29.1,526,N,0,0.2
feijao,1982,524,1.5,29.7,553,N,0,0
feijao,1983,596,7,13.7,583,EN,1,2.5
feijao,1984,601,0.3,0.8,619,LN,0,-1
feijao,1985,627,-2.3,4.3,662,LN,0,-1
feijao,1986,480,-31.4,-23.4,715,N,0,-0.2
feijao,1987,849,8.2,76.9,779,EN,1,1.5
feijao,1988,747,-16.1,-12,856,EN,0,0.9
feijao,1989,983,-1.9,31.6,945,LN,1,-1.9
feijao,1990,1186,6.9,20.7,1045,N,0,0
feijao,1991,1362,11.4,14.8,1156,EN,0,0.5
feijao,1992,1057,-21.6,-22.4,1273,EN,1,2.1
feijao,1993,1545,5.5,46.2,1393,N,0,0.3
feijao,1994,1733,10.4,12.2,1513,N,0,0.3
feijao,1995,1742,3.9,0.5,1629,EN,0,1.4
feijao,1996,1642,-7.6,-5.7,1737,LN,0,-0.9
feijao,1997,1933,3.4,17.7,1838,N,0,-0.3
feijao,1998,1879,-3.9,-2.8,1929,EN,1,2.3
feijao,1999,1916,-6,2,2013,LN,1,-1.6
feijao,2000,2209,4.7,15.3,2089,LN,1,-1.6
feijao,2001,2089,-3.9,-5.4,2159,LN,0,-0.7
feijao,2002,2387,6.8,14.3,2222,N,0,-0.3
feijao,2003,2483,8.1,4,2279,EN,0,1.2
feijao,2004,1999,-15.5,-19.5,2328,N,0,0.3
feijao,2005,2523,3.7,26.2,2369,EN,0,0.7
feijao,2006,1905,-23.6,-24.5,2400,LN,0,-0.8
feijao,2007,2447,-4.2,28.5,2421,EN,0,0.9
feijao,2008,2474,-5.4,1.1,2431,LN,1,-1.5
feijao,2009,2581,-3,4.3,2432,LN,0,-0.8
feijao,2010,2851,5.7,10.5,2426,EN,1,1.6
feijao,2011,3011,10.2,5.6,2414,LN,1,-1.6
feijao,2012,2923,6.1,-2.9,2400,LN,0,-1
feijao,2013,1531,-44.4,-47.6,2388,N,0,-0.4
