cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1500,40,,LN,1,-1.9
arroz,1975,1512,20.7,0.8,N,0,-0.4
arroz,1976,1130,-20.8,-25.3,LN,0,-1.1
arroz,1977,1400,-12.4,23.9,EN,0,1.1
arroz,1978,1800,1.9,28.6,EN,0,1.1
arroz,1979,1400,-27.4,-22.2,N,0,0.2
arroz,1980,1753,-15.8,25.2,EN,0,0.7
arroz,1981,1858,-16.7,6,N,0,-0.3
arroz,1982,2361,-0.6,27.1,N,0,0.4
arroz,1983,2672,6.7,13.2,EN,1,2.5
arroz,1984,2699,2.3,1,LN,0,-1.1
arroz,1985,2787,0.2,3.3,LN,0,-1
arroz,1986,3075,6.3,10.3,N,0,-0.3
arroz,1987,3037,2.8,-1.2,EN,1,1.6
arroz,1988,3087,3.5,1.6,EN,0,1.3
arroz,1989,2993,0,-3,LN,1,-1.9
arroz,1990,2794,-6.5,-6.6,N,0,0.3
arroz,1991,3059,4.2,9.5,EN,0,0.6
arroz,1992,2554,-10.2,-16.5,EN,1,2.3
arroz,1993,3104,11.8,21.5,EN,0,0.9
arroz,1994,3196,17,3,N,0,0.4
arroz,1995,2431,-9.1,-23.9,EN,0,1.4
arroz,1996,2435,-7.7,0.2,LN,0,-0.9
arroz,1997,2385,-9.4,-2.1,N,0,-0.3
arroz,1998,2420,-8.1,1.5,EN,1,2.4
arroz,1999,2684,1.5,10.9,LN,1,-1.6
arroz,2000,2806,4.8,4.5,LN,1,-1.7
arroz,2001,2955,7.9,5.3,LN,0,-0.7
arroz,2002,2934,4.8,-0.7,N,0,-0.3
arroz,2003,2412,-15.1,-17.8,EN,1,1.5
arroz,2004,2902,1.1,20.3,N,0,0.3
arroz,2005,2912,0.5,0.3,EN,0,0.8
arroz,2006,2948,1.3,1.2,LN,0,-0.9
arroz,2007,2983,3.3,1.2,EN,0,0.9
arroz,2008,2926,2.8,-1.9,LN,1,-1.6
arroz,2009,2969,5.5,1.5,LN,0,-0.9
