cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,950,3.1,,893,LN,1,-1.9
arroz,1975,876,-6,-7.8,910,N,0,-0.2
arroz,1976,1151,21.8,31.4,927,LN,0,-1.1
arroz,1977,718,-25.2,-37.6,944,EN,0,1.1
arroz,1978,776,-20.6,8.1,962,EN,0,1.1
arroz,1979,1245,24.9,60.4,981,N,0,0.2
arroz,1980,1215,19.4,-2.4,1001,EN,0,0.7
arroz,1981,776,-25.5,-36.1,1024,N,0,0.2
arroz,1982,1183,10.8,52.4,1048,N,0,0
arroz,1983,1122,2.5,-5.2,1075,EN,1,2.5
arroz,1984,931,-17.2,-17,1104,LN,0,-1
arroz,1985,1237,7,32.9,1136,LN,0,-1
arroz,1986,1096,-7.8,-11.4,1169,N,0,-0.2
arroz,1987,1198,-2,9.3,1204,EN,1,1.5
arroz,1988,1366,8.5,14,1240,EN,0,0.9
arroz,1989,1419,9.5,3.9,1277,LN,1,-1.9
arroz,1990,1040,-22.1,-26.7,1314,N,0,0
arroz,1991,1597,16.4,53.6,1352,EN,0,0.5
arroz,1992,1420,0.8,-11.1,1391,EN,1,2.1
arroz,1993,1262,-12.9,-11.1,1431,N,0,0.3
arroz,1994,1565,5.1,24,1473,N,0,0.3
arroz,1995,1596,4.3,2,1518,EN,0,1.4
arroz,1996,1461,-7.3,-8.5,1565,LN,0,-0.9
arroz,1997,1625,-0.3,11.2,1615,N,0,-0.3
arroz,1998,1637,-3.2,0.7,1667,EN,1,2.3
arroz,1999,1792,2.4,9.5,1721,LN,1,-1.6
arroz,2000,1960,8.9,9.4,1777,LN,1,-1.6
arroz,2001,1677,-9.1,-14.4,1835,LN,0,-0.7
arroz,2002,1909,0.9,13.8,1896,N,0,-0.3
arroz,2003,2125,8.8,11.3,1961,EN,0,1.2
arroz,2004,2234,11.4,5.1,2034,N,0,0.3
arroz,2005,2026,-1.3,-9.3,2116,EN,0,0.7
arroz,2006,2000,-6.1,-1.3,2211,LN,0,-0.8
arroz,2007,2112,-5.7,5.6,2323,EN,0,0.9
arroz,2008,2365,0.2,12,2455,LN,1,-1.5
arroz,2009,2454,-2,3.8,2608,LN,0,-0.8
arroz,2010,2450,-8.7,-0.2,2785,EN,1,1.6
arroz,2011,2788,-3.4,13.8,2983,LN,1,-1.6
arroz,2012,3115,1.1,11.7,3199,LN,0,-1
arroz,2013,3450,5.3,10.8,3427,N,0,-0.4
arroz,2014,3940,13.1,14.2,3660,N,0,-0.3
arroz,2015,4313,17.5,9.5,3889,EN,0,0.6
arroz,2016,4765,24,10.5,4105,EN,1,2.4
arroz,2017,5710,42.3,19.8,4301,LN,0,-1
arroz,2018,4401,5.5,-22.9,4473,LN,0,-1.3
arroz,2019,4099,-5,-6.9,4618,EN,0,0.7
arroz,2020,5074,13.9,23.8,4739,N,0,0.2
arroz,2021,4880,6.5,-3.8,4838,LN,0,-1.4
arroz,2022,4437,-5.5,-9.1,4923,LN,0,-1.2
arroz,2023,4831,0.8,8.9,5000,LN,0,-1
arroz,2024,4748,-2.8,-1.7,5074,EN,1,1.5
cana,1974,48232,29.8,,41795,LN,1,-1.5
cana,1975,41537,-0.1,-13.9,44146,N,0,-0.1
cana,1976,41446,-9.2,-0.2,46639,LN,0,-1
cana,1977,44024,-10.9,6.2,49288,EN,0,1
cana,1978,52898,0.1,20.2,52087,EN,0,0.9
cana,1979,56328,0.7,6.5,54999,N,0,0.2
cana,1980,61332,4.4,8.9,57947,EN,0,0.6
cana,1981,64834,5.9,5.7,60814,N,0,0
cana,1982,62850,-0.9,-3.1,63461,N,0,0.1
cana,1983,67548,3.4,7.5,65754,EN,1,2.5
cana,1984,70386,5.2,4.2,67593,LN,0,-0.5
cana,1985,68449,0.7,-2.8,68940,LN,0,-0.8
cana,1986,69212,0.3,1.1,69831,N,0,-0.3
cana,1987,69416,-0.5,0.3,70370,EN,1,1.6
cana,1988,69216,-1.3,-0.3,70697,EN,0,0.7
cana,1989,70451,0,1.8,70965,LN,1,-1.7
cana,1990,70407,-0.8,-0.1,71300,N,0,0.2
cana,1991,70017,-2.5,-0.6,71781,EN,0,0.6
cana,1992,72869,0.2,4.1,72433,EN,1,2.3
cana,1993,73273,-0.4,0.6,73224,EN,0,0.5
cana,1994,74757,0.3,2,74086,N,0,0.3
cana,1995,73594,-2.6,-1.6,74928,EN,0,1.3
cana,1996,78753,3,7,75672,LN,0,-0.9
cana,1997,78659,1.9,-0.1,76270,N,0,-0.2
cana,1998,79530,2.1,1.1,76717,EN,1,2.2
cana,1999,71881,-8.5,-9.6,77057,LN,1,-1.5
cana,2000,73017,-7.6,1.6,77360,LN,1,-1.7
cana,2001,78921,-0.6,8.1,77706,LN,0,-0.6
cana,2002,80473,1,2,78157,N,0,-0.1
cana,2003,78294,-2.1,-2.7,78740,EN,0,0.9
cana,2004,79404,-1.2,1.4,79431,N,0,0.3
cana,2005,79565,-1.4,0.2,80163,EN,0,0.6
cana,2006,81906,1.2,2.9,80835,LN,0,-0.9
cana,2007,80532,-0.7,-1.7,81340,EN,0,0.6
cana,2008,82554,1.7,2.5,81588,LN,1,-1.6
cana,2009,83364,2.7,1,81535,LN,0,-0.9
cana,2010,82950,2.6,-0.5,81195,EN,1,1.5
cana,2011,78709,-2.1,-5.1,80639,LN,0,-1.4
cana,2012,79617,-0.6,1.2,79975,LN,0,-0.8
cana,2013,80625,1.1,1.3,79324,LN,0,-0.6
cana,2014,78396,-1.3,-2.8,78796,LN,0,-0.5
cana,2015,77487,-2.2,-1.2,78463,EN,0,0.5
cana,2016,76301,-3.6,-1.5,78357,EN,1,2.2
cana,2017,77360,-2.2,1.4,78463,LN,0,-0.7
cana,2018,79939,1.1,3.3,78731,LN,0,-1.1
cana,2019,79533,0.5,-0.5,79095,EN,0,0.6
cana,2020,81757,3.1,2.8,79487,N,0,0.1
cana,2021,77716,-2.2,-4.9,79856,LN,0,-1.2
cana,2022,78967,-0.9,1.6,80178,LN,0,-1.2
cana,2023,83407,4.2,5.6,80457,LN,0,-0.8
cana,2024,79735,-0.9,-4.4,80713,EN,0,1.2
feijao,1974,496,-7.9,,517,LN,1,-1.9
feijao,1975,507,4.5,2.2,471,N,0,-0.2
feijao,1976,486,10.7,-4.1,430,LN,0,-1.1
feijao,1977,402,0.3,-17.3,395,EN,0,1.1
feijao,1978,370,0.1,-8,367,EN,0,1.1
feijao,1979,357,3.1,-3.5,347,N,0,0.2
feijao,1980,220,-33.5,-38.4,334,EN,0,0.7
feijao,1981,288,-10.7,30.9,328,N,0,0.2
feijao,1982,407,26.6,41.3,328,N,0,0
feijao,1983,402,22.2,-1.2,335,EN,1,2.5
feijao,1984,396,14.9,-1.5,348,LN,0,-1
