cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,1320,-8.7,,1447,LN,1,-1.5
arroz,1975,1469,2.9,11.3,1390,N,0,-0.1
arroz,1976,1427,1.1,-2.9,1336,LN,0,-1
arroz,1977,1510,8.4,5.8,1284,EN,0,1
arroz,1978,1474,7.3,-2.4,1236,EN,0,0.9
arroz,1979,1253,-7.5,-15,1192,N,0,0.2
arroz,1980,1296,-3,3.4,1151,EN,0,0.6
arroz,1981,672,-48.9,-48.1,1115,N,0,0
arroz,1982,1349,4.3,100.7,1083,N,0,0.1
arroz,1983,596,-53.2,-55.8,1056,EN,1,2.5
arroz,1984,1396,11.6,134.2,1033,LN,0,-0.5
arroz,1985,970,-20.9,-30.5,1015,LN,0,-0.8
arroz,1986,1379,14.2,42.2,1002,N,0,-0.3
arroz,1987,640,-46.3,-53.6,993,EN,1,1.6
arroz,1988,1354,15,111.6,990,EN,0,0.7
arroz,1989,1176,0.9,-13.1,992,LN,1,-1.7
arroz,1990,684,-41.2,-41.8,1000,N,0,0.2
arroz,1991,1278,9,86.8,1012,EN,0,0.6
arroz,1992,527,-55.8,-58.8,1030,EN,1,2.3
arroz,1993,857,-29.2,62.6,1052,EN,0,0.5
arroz,1994,1362,10.3,58.9,1077,N,0,0.3
arroz,1995,1223,-3.5,-10.2,1106,EN,0,1.3
arroz,1996,1355,4.6,10.8,1136,LN,0,-0.9
arroz,1997,1348,2.3,-0.5,1167,N,0,-0.2
arroz,1998,895,-33.4,-33.6,1197,EN,1,2.2
arroz,1999,1437,5.3,60.6,1226,LN,1,-1.5
arroz,2000,1519,10.3,5.7,1252,LN,1,-1.7
arroz,2001,1360,-1.8,-10.5,1274,LN,0,-0.6
arroz,2002,1315,-5.3,-3.3,1293,N,0,-0.1
arroz,2003,1389,-0.1,5.6,1306,EN,0,0.9
arroz,2004,1419,2.4,2.2,1316,N,0,0.3
arroz,2005,1278,-7.1,-9.9,1321,EN,0,0.6
arroz,2006,1395,2.1,9.2,1324,LN,0,-0.9
arroz,2007,1355,0.3,-2.9,1324,EN,0,0.6
arroz,2008,1467,10.2,8.3,1324,LN,1,-1.6
arroz,2009,1326,0.4,-9.6,1324,LN,0,-0.9
arroz,2010,1239,-5.8,-6.6,1326,EN,1,1.5
arroz,2011,1509,15.3,21.8,1331,LN,0,-1.4
arroz,2012,1047,-20.4,-30.6,1340,LN,0,-0.8
arroz,2013,1193,-10.5,13.9,1355,LN,0,-0.6
arroz,2014,1507,11.2,26.3,1377,LN,0,-0.5
arroz,2015,1316,-5.3,-12.7,1405,EN,0,0.5
arroz,2016,955,-33.5,-27.4,1442,EN,1,2.2
arroz,2017,1572,5.4,64.6,1487,LN,0,-0.7
arroz,2018,1588,2,1,1540,LN,0,-1.1
arroz,2019,1696,3.7,6.8,1601,EN,0,0.6
arroz,2020,1702,-1.2,0.4,1670,N,0,0.1
arroz,2021,1740,-4.4,2.2,1746,LN,0,-1.2
arroz,2022,1814,-6,4.3,1829,LN,0,-1.2
arroz,2023,2036,-0.7,12.2,1917,LN,0,-0.8
arroz,2024,2301,5.6,13,2010,EN,0,1.2
cana,1974,27427,-5.7,,28975,LN,1,-1.5
cana,1975,28387,-10.7,3.5,31231,N,0,-0.1
cana,1976,24786,-27.8,-12.7,33607,LN,0,-1
cana,1977,41147,12.3,66,36030,EN,0,1
cana,1978,47675,23,15.9,38399,EN,0,0.9
cana,1979,48081,18.1,0.9,40615,N,0,0.2
cana,1980,48917,15.2,1.7,42594,EN,0,0.6
cana,1981,48966,11.1,0.1,44293,N,0,0
cana,1982,42734,-6.1,-12.7,45709,N,0,0.1
cana,1983,41394,-11.5,-3.1,46876,EN,1,2.5
cana,1984,43520,-8.7,5.1,47855,LN,0,-0.5
cana,1985,46788,-3,7.5,48708,LN,0,-0.8
cana,1986,48492,-0.6,3.6,49489,N,0,-0.3
cana,1987,50372,1.4,3.9,50230,EN,1,1.6
cana,1988,51870,2.4,3,50936,EN,0,0.7
cana,1989,54768,6.1,5.6,51592,LN,1,-1.7
cana,1990,54636,4.2,-0.2,52167,N,0,0.2
cana,1991,53945,1.9,-1.3,52630,EN,0,0.6
cana,1992,48239,-9.4,-10.6,52963,EN,1,2.3
cana,1993,52686,-1.7,9.2,53164,EN,0,0.5
cana,1994,52772,-1.8,0.2,53257,N,0,0.3
cana,1995,55745,3.8,5.6,53285,EN,0,1.3
cana,1996,53130,-1.5,-4.7,53305,LN,0,-0.9
cana,1997,59651,9.3,12.3,53374,N,0,-0.2
cana,1998,51841,-6.4,-13.1,53545,EN,1,2.2
cana,1999,52475,-6.5,1.2,53852,LN,1,-1.5
cana,2000,55735,-2,6.2,54309,LN,1,-1.7
cana,2001,35813,-38.1,-35.7,54906,LN,0,-0.6
cana,2002,60893,3.7,70,55613,N,0,-0.1
cana,2003,60999,2.7,0.2,56386,EN,0,0.9
cana,2004,61678,2.9,1.1,57170,N,0,0.3
cana,2005,62040,2.6,0.6,57909,EN,0,0.6
cana,2006,58687,-3.5,-5.4,58555,LN,0,-0.9
cana,2007,57677,-5.3,-1.7,59070,EN,0,0.6
cana,2008,61862,1.9,7.3,59437,LN,1,-1.6
cana,2009,61311,1.3,-0.9,59652,LN,0,-0.9
cana,2010,62930,4.6,2.6,59728,EN,1,1.5
cana,2011,55044,-7.7,-12.5,59687,LN,0,-1.4
cana,2012,60801,2.7,10.5,59561,LN,0,-0.8
cana,2013,59196,0.4,-2.6,59383,LN,0,-0.6
cana,2014,57653,-1.7,-2.6,59184,LN,0,-0.5
cana,2015,65516,12,13.6,58992,EN,0,0.5
cana,2016,55234,-5.5,-15.7,58832,EN,1,2.2
cana,2017,54577,-6.5,-1.2,58718,LN,0,-0.7
cana,2018,55634,-4.7,1.9,58659,LN,0,-1.1
cana,2019,61327,4.9,10.2,58659,EN,0,0.6
cana,2020,60078,2.5,-2,58711,N,0,0.1
cana,2021,57905,-1.5,-3.6,58807,LN,0,-1.2
cana,2022,58968,-0.1,1.8,58933,LN,0,-1.2
cana,2023,60791,2.5,3.1,59077,LN,0,-0.8
cana,2024,58793,-1.5,-3.3,59228,EN,0,1.2
feijao,1974,466,-5.9,,492,LN,0,-1.2
feijao,1975,470,-4.3,0.9,482,N,0,-0.1
feijao,1976,512,5.3,8.9,472,LN,0,-0.6
feijao,1977,512,6.3,0,462,EN,0,0.9
feijao,1978,504,5.7,-1.6,453,EN,0,0.6
feijao,1979,502,6.5,-0.4,444,N,0,0.2
feijao,1980,433,-7,-13.7,435,EN,0,0.5
feijao,1981,343,-25.4,-20.8,427,N,0,-0.3
