cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,1065,11.1,,977,LN,1,-1.9
arroz,1975,949,-6.1,-10.9,1010,N,0,-0.2
arroz,1976,1128,6.3,18.9,1045,LN,0,-1.1
arroz,1977,897,-19.3,-20.5,1080,EN,0,1.1
arroz,1978,1019,-12.2,13.6,1117,EN,0,1.1
arroz,1979,1294,7,27,1156,N,0,0.2
arroz,1980,1405,11.9,8.6,1196,EN,0,0.7
arroz,1981,1084,-16.8,-22.8,1238,N,0,0.2
arroz,1982,1299,-3.7,19.8,1281,N,0,0
arroz,1983,1475,5.9,13.5,1326,EN,1,2.5
arroz,1984,1083,-24.6,-26.6,1371,LN,0,-1
arroz,1985,1581,6.7,46,1416,LN,0,-1
arroz,1986,1586,4.2,0.3,1459,N,0,-0.2
arroz,1987,1489,-4.3,-6.1,1501,EN,1,1.5
arroz,1988,1547,-2.5,3.9,1539,EN,0,0.9
arroz,1989,1625,0.7,5,1573,LN,1,-1.9
arroz,1990,1373,-16.4,-15.5,1604,N,0,0
arroz,1991,1787,7.5,30.2,1633,EN,0,0.5
arroz,1992,1687,0.6,-5.6,1659,EN,1,2.1
arroz,1993,1749,3.1,3.7,1685,N,0,0.3
arroz,1994,1762,2.2,0.7,1714,N,0,0.3
arroz,1995,1761,0.6,-0.1,1745,EN,0,1.4
arroz,1996,1567,-12.1,-11,1781,LN,0,-0.9
arroz,1997,1794,-1.7,14.5,1822,N,0,-0.3
arroz,1998,1841,-1.8,2.6,1868,EN,1,2.3
arroz,1999,1890,-1.6,2.7,1917,LN,1,-1.6
arroz,2000,2012,2.1,6.5,1967,LN,1,-1.6
arroz,2001,1884,-7.2,-6.4,2016,LN,0,-0.7
arroz,2002,2169,3.9,15.1,2062,N,0,-0.3
arroz,2003,2175,2,0.3,2102,EN,0,1.2
arroz,2004,2280,5.5,4.8,2133,N,0,0.3
arroz,2005,2265,3.8,-0.7,2156,EN,0,0.7
arroz,2006,2161,-1.8,-4.6,2171,LN,0,-0.8
arroz,2007,2184,-0.8,1.1,2178,EN,0,0.9
arroz,2008,2184,-0.1,0,2180,LN,1,-1.5
arroz,2009,2247,2.8,2.9,2180,LN,0,-0.8
arroz,2010,2236,2.5,-0.5,2181,EN,1,1.6
arroz,2011,2125,-2,-5,2187,LN,1,-1.6
arroz,2012,2044,-6.4,-3.8,2201,LN,0,-1
arroz,2013,2198,-1.3,7.5,2226,N,0,-0.4
arroz,2014,2179,-4.5,-0.9,2266,N,0,-0.3
arroz,2015,2423,2.7,11.2,2326,EN,0,0.6
arroz,2016,2488,1.2,2.7,2409,EN,1,2.4
arroz,2017,2503,-2.9,0.6,2519,LN,0,-1
arroz,2018,2445,-9.9,-2.3,2660,LN,0,-1.3
arroz,2019,2765,-3.7,13.1,2834,EN,0,0.7
arroz,2020,3119,2.3,12.8,3046,N,0,0.2
arroz,2021,3192,-1.7,2.3,3296,LN,0,-1.4
arroz,2022,3608,4.1,13,3584,LN,0,-1.2
arroz,2023,3229,-12.9,-10.5,3908,LN,0,-1
arroz,2024,5507,38.8,70.5,4268,EN,1,1.5
cana,1974,38000,28.4,,34500,LN,1,-1.5
cana,1975,32637,-0.2,-14.1,35905,N,0,-0.1
cana,1976,36153,1.4,10.8,37394,LN,0,-1
cana,1977,40560,5.4,12.2,39006,EN,0,1
cana,1978,40136,-2.4,-1,40777,EN,0,0.9
cana,1979,41876,-4,4.3,42730,N,0,0.2
cana,1980,43645,-5.1,4.2,44858,EN,0,0.6
cana,1981,46417,-3.6,6.4,47124,N,0,0
cana,1982,50168,-0.1,8.1,49459,N,0,0.1
cana,1983,55087,5.8,9.8,51767,EN,1,2.5
cana,1984,55089,2.3,0,53939,LN,0,-0.5
cana,1985,57834,4.2,5,55871,LN,0,-0.8
cana,1986,57508,1,-0.6,57483,N,0,-0.3
cana,1987,55715,-4.1,-3.1,58729,EN,1,1.6
cana,1988,59028,0,5.9,59607,EN,0,0.7
cana,1989,57953,-3,-1.8,60149,LN,1,-1.7
cana,1990,58824,-2.6,1.5,60412,N,0,0.2
cana,1991,63775,5,8.4,60469,EN,0,0.6
cana,1992,63688,4.7,-0.1,60395,EN,1,2.3
cana,1993,60390,-1.1,-5.2,60263,EN,0,0.5
cana,1994,61852,1.1,2.4,60138,N,0,0.3
cana,1995,62517,2.4,1.1,60085,EN,0,1.3
cana,1996,53916,-12,-13.8,60167,LN,0,-0.9
cana,1997,58282,-5.5,8.1,60444,N,0,-0.2
cana,1998,60541,-2.3,3.9,60978,EN,1,2.2
cana,1999,62629,0,3.4,61820,LN,1,-1.5
cana,2000,64265,0.6,2.6,63011,LN,1,-1.7
cana,2001,64501,-1.6,0.4,64564,LN,0,-0.6
cana,2002,65602,-2.6,1.7,66460,N,0,-0.1
cana,2003,68596,-0.7,4.6,68638,EN,0,0.9
cana,2004,72707,2.2,6,70991,N,0,0.3
cana,2005,72718,-1.2,0,73373,EN,0,0.6
cana,2006,74753,-1.1,2.8,75615,LN,0,-0.9
cana,2007,77967,1.2,4.3,77545,EN,0,0.6
cana,2008,78775,0.4,1,79027,LN,1,-1.6
cana,2009,81584,2.7,3.6,79980,LN,0,-0.9
cana,2010,81180,1.6,-0.5,80394,EN,1,1.5
cana,2011,81475,1.8,0.4,80333,LN,0,-1.4
cana,2012,80914,1,-0.7,79912,LN,0,-0.8
cana,2013,80020,0.1,-1.1,79271,LN,0,-0.6
cana,2014,76206,-4.1,-4.8,78546,LN,0,-0.5
cana,2015,75767,-4.2,-0.6,77847,EN,0,0.5
cana,2016,76932,-2.3,1.5,77245,EN,1,2.2
cana,2017,76871,-1.9,-0.1,76770,LN,0,-0.7
cana,2018,77149,-1,0.4,76417,LN,0,-1.1
cana,2019,77354,-0.1,0.3,76159,EN,0,0.6
cana,2020,77985,1.4,0.8,75959,N,0,0.1
cana,2021,71520,-6.3,-8.3,75784,LN,0,-1.2
cana,2022,74990,-1,4.9,75612,LN,0,-1.2
cana,2023,78004,3.9,4,75434,LN,0,-0.8
cana,2024,74869,0.6,-4,75251,EN,0,1.2
feijao,1974,494,-5.3,,493,LN,1,-1.9
feijao,1975,502,-0.5,1.6,494,N,0,-0.2
feijao,1976,479,-2.1,-4.6,493,LN,0,-1.1
feijao,1977,473,-0.7,-1.3,490,EN,0,1.1
feijao,1978,496,6.6,4.9,486,EN,0,1.1
feijao,1979,469,2.7,-5.4,478,N,0,0.2
feijao,1980,497,10.3,6,469,EN,0,0.7
feijao,1981,522,16.9,5,459,N,0,0.2
feijao,1982,450,1.2,-13.8,451,N,0,0
feijao,1983,434,-2.7,-3.6,446,EN,1,2.5
feijao,1984,438,-2.3,0.9,444,LN,0,-1
feijao,1985,381,-15.5,-13,448,LN,0,-1
feijao,1986,435,-5.1,14.2,457,N,0,-0.2
feijao,1987,476,0.5,9.4,472,EN,1,1.5
feijao,1988,518,4.8,8.8,491,EN,0,0.9
feijao,1989,489,-5.7,-5.6,513,LN,1,-1.9
feijao,1990,561,3.3,14.7,538,N,0,0
feijao,1991,606,6.4,8,565,EN,0,0.5
feijao,1992,565,-5.7,-6.8,592,EN,1,2.1
feijao,1993,694,10.1,22.8,619,N,0,0.3
feijao,1994,698,5.6,0.6,648,N,0,0.3
feijao,1995,659,-4.7,-5.6,678,EN,0,1.4
feijao,1996,578,-20.6,-12.3,713,LN,0,-0.9
feijao,1997,776,0.6,34.3,753,N,0,-0.3
feijao,1998,784,-4.3,1,799,EN,1,2.3
feijao,1999,839,-3.3,7,853,LN,1,-1.6
