cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,1651,0.5,,1658,LN,1,-1.5
arroz,1975,1588,2.1,-3.8,1561,N,0,-0.1
arroz,1976,1428,-3.4,-10.1,1473,LN,0,-1
arroz,1977,1525,8,6.8,1395,EN,0,1
arroz,1978,1252,-7.7,-17.9,1330,EN,0,0.9
arroz,1979,1316,0.4,5.1,1280,N,0,0.2
arroz,1980,1311,2.9,-0.4,1244,EN,0,0.6
arroz,1981,1091,-12.6,-16.8,1223,N,0,0
arroz,1982,1260,2.2,15.5,1215,N,0,0.1
arroz,1983,1123,-8.4,-10.9,1218,EN,1,2.5
arroz,1984,1179,-4.2,5,1230,LN,0,-0.5
arroz,1985,1283,2.7,8.8,1248,LN,0,-0.8
arroz,1986,1347,5.9,5,1269,N,0,-0.3
arroz,1987,1360,4.5,1,1291,EN,1,1.6
arroz,1988,1330,-0.6,-2.2,1314,EN,0,0.7
arroz,1989,1454,5.2,9.3,1338,LN,1,-1.7
arroz,1990,1184,-17.4,-18.6,1365,N,0,0.2
arroz,1991,1535,3.3,29.6,1400,EN,0,0.6
arroz,1992,1488,-3.4,-3.1,1446,EN,1,2.3
arroz,1993,1196,-25.7,-19.6,1510,EN,0,0.5
arroz,1994,1705,0,42.6,1593,N,0,0.3
arroz,1995,1828,0.8,7.2,1700,EN,0,1.3
arroz,1996,1682,-12.5,-8,1830,LN,0,-0.9
arroz,1997,1956,-4.5,16.3,1979,N,0,-0.2
arroz,1998,2132,-2.9,9,2140,EN,1,2.2
arroz,1999,2377,2.5,11.5,2303,LN,1,-1.5
arroz,2000,2651,9.6,11.5,2453,LN,1,-1.7
arroz,2001,2557,1.6,-3.5,2579,LN,0,-0.6
arroz,2002,2717,4.3,6.3,2672,N,0,-0.1
arroz,2003,2852,6.3,5,2731,EN,0,0.9
arroz,2004,2949,7.8,3.4,2761,N,0,0.3
arroz,2005,2651,-4.3,-10.1,2773,EN,0,0.6
arroz,2006,2576,-8.3,-2.8,2779,LN,0,-0.9
arroz,2007,2572,-10,-0.2,2792,EN,0,0.6
arroz,2008,2846,-1.7,10.7,2818,LN,1,-1.6
