cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,1050,-6.8,,1169,LN,1,-1.9
arroz,1975,1067,-8,1.6,1186,N,0,-0.2
arroz,1976,1185,-0.4,11.1,1204,LN,0,-1.1
arroz,1977,1325,9.1,11.8,1220,EN,0,1.1
arroz,1978,1379,11.6,4.1,1235,EN,0,1.1
arroz,1979,1537,22.7,11.5,1247,N,0,0.2
arroz,1980,1267,0,-17.6,1257,EN,0,0.7
arroz,1981,1110,-13.1,-12.4,1265,N,0,0.2
arroz,1982,1322,3.1,19.1,1270,N,0,0
arroz,1983,1292,0.4,-2.3,1274,EN,1,2.5
arroz,1984,1297,1.1,0.4,1277,LN,0,-1
arroz,1985,1356,6.8,4.5,1280,LN,0,-1
arroz,1986,1371,8.5,1.1,1284,N,0,-0.2
arroz,1987,1252,-1.2,-8.7,1289,EN,1,1.5
arroz,1988,1173,-8.1,-6.3,1295,EN,0,0.9
arroz,1989,1236,-3.9,5.4,1304,LN,1,-1.9
arroz,1990,1163,-10.5,-5.9,1315,N,0,0
arroz,1991,1349,2.8,16,1328,EN,0,0.5
arroz,1992,1262,-4.9,-6.4,1344,EN,1,2.1
arroz,1993,1476,9.8,17,1363,N,0,0.3
arroz,1994,1436,5.3,-2.7,1385,N,0,0.3
arroz,1995,1459,5.3,1.6,1411,EN,0,1.4
arroz,1996,1493,5.4,2.3,1441,LN,0,-0.9
arroz,1997,1454,-0.3,-2.6,1475,N,0,-0.3
arroz,1998,1355,-10.1,-6.8,1513,EN,1,2.3
arroz,1999,1382,-11.1,2,1555,LN,1,-1.6
arroz,2000,1379,-14.1,-0.2,1600,LN,1,-1.6
arroz,2001,1661,-0.2,20.4,1647,LN,0,-0.7
arroz,2002,1759,2,5.9,1695,N,0,-0.3
arroz,2003,2020,13.7,14.8,1745,EN,0,1.2
arroz,2004,2143,17.5,6.1,1796,N,0,0.3
arroz,2005,2116,13.3,-1.3,1846,EN,0,0.7
arroz,2006,1909,-0.3,-9.8,1897,LN,0,-0.8
arroz,2007,1901,-2.5,-0.4,1947,EN,0,0.9
arroz,2008,1844,-6.6,-3,1999,LN,1,-1.5
arroz,2009,1938,-3.7,5.1,2051,LN,0,-0.8
arroz,2010,2079,0.6,7.3,2105,EN,1,1.6
arroz,2011,2038,-4.1,-2,2161,LN,1,-1.6
arroz,2012,2151,-1.6,5.5,2220,LN,0,-1
arroz,2013,2243,-0.4,4.3,2281,N,0,-0.4
arroz,2014,2400,3.4,7,2344,N,0,-0.3
arroz,2015,2541,6.2,5.9,2411,EN,0,0.6
arroz,2016,2496,1.2,-1.8,2480,EN,1,2.4
arroz,2017,2741,7.6,9.8,2553,LN,0,-1
arroz,2018,2922,11,6.6,2628,LN,0,-1.3
arroz,2019,2471,-9.1,-15.4,2707,EN,0,0.7
arroz,2020,2584,-8.1,4.6,2789,N,0,0.2
arroz,2021,2545,-12.5,-1.5,2873,LN,0,-1.4
arroz,2022,2879,-4.2,13.1,2961,LN,0,-1.2
arroz,2023,3383,8.9,17.5,3052,LN,0,-1
arroz,2024,3276,2,-3.2,3146,EN,1,1.5
cana,1974,30597,3.1,,35292,LN,1,-1.5
cana,1975,30368,-7.5,-0.7,36779,N,0,-0.1
cana,1976,28570,-20.1,-5.9,38314,LN,0,-1
cana,1977,51417,33.7,80,39880,EN,0,1
cana,1978,59741,45.9,16.2,41453,EN,0,0.9
cana,1979,43504,0.7,-27.2,43006,N,0,0.2
cana,1980,50603,11.8,16.3,44519,EN,0,0.6
cana,1981,48851,3.6,-3.5,45973,N,0,0
cana,1982,49197,0.8,0.7,47356,N,0,0.1
cana,1983,33354,-33.6,-32.2,48663,EN,1,2.5
cana,1984,48156,-6.3,44.4,49896,LN,0,-0.5
cana,1985,68703,31.6,42.7,51059,LN,0,-0.8
cana,1986,56053,5.9,-18.4,52158,N,0,-0.3
cana,1987,53198,-0.5,-5.1,53201,EN,1,1.6
cana,1988,54907,2.1,3.2,54195,EN,0,0.7
cana,1989,55274,2.2,0.7,55148,LN,1,-1.7
cana,1990,55061,0.9,-0.4,56066,N,0,0.2
cana,1991,54562,-1.1,-0.9,56958,EN,0,0.6
cana,1992,52813,-5.2,-3.2,57832,EN,1,2.3
cana,1993,53890,-4.5,2,58697,EN,0,0.5
cana,1994,56841,-1.1,5.5,59560,N,0,0.3
cana,1995,59759,1.9,5.1,60427,EN,0,1.3
cana,1996,57778,-3.4,-3.3,61298,LN,0,-0.9
cana,1997,63218,3.2,9.4,62167,N,0,-0.2
cana,1998,65886,4.6,4.2,63024,EN,1,2.2
cana,1999,57597,-10.6,-12.6,63851,LN,1,-1.5
cana,2000,72556,10.5,26,64627,LN,1,-1.7
cana,2001,65690,-1.9,-9.5,65329,LN,0,-0.6
cana,2002,69307,1.7,5.5,65937,N,0,-0.1
cana,2003,69316,0.3,0,66434,EN,0,0.9
cana,2004,69405,-0.6,0.1,66815,N,0,0.3
cana,2005,69216,-1.7,-0.3,67081,EN,0,0.6
cana,2006,70576,-0.3,2,67244,LN,0,-0.9
cana,2007,71692,0.9,1.6,67324,EN,0,0.6
cana,2008,72843,2.5,1.6,67343,LN,1,-1.6
cana,2009,71508,0.6,-1.8,67329,LN,0,-0.9
cana,2010,61403,-13.3,-14.1,67305,EN,1,1.5
cana,2011,56794,-19.2,-7.5,67291,LN,0,-1.4
cana,2012,56145,-19.7,-1.1,67301,LN,0,-0.8
cana,2013,67750,-2.7,20.7,67345,LN,0,-0.6
cana,2014,69041,-0.3,1.9,67425,LN,0,-0.5
cana,2015,69040,0,0,67539,EN,0,0.5
cana,2016,68760,-0.2,-0.4,67682,EN,1,2.2
cana,2017,68250,-0.8,-0.7,67847,LN,0,-0.7
cana,2018,68685,-0.1,0.6,68028,LN,0,-1.1
cana,2019,68971,0.3,0.4,68218,EN,0,0.6
cana,2020,68043,-1,-1.3,68411,N,0,0.1
cana,2021,69019,0.3,1.4,68605,LN,0,-1.2
cana,2022,69208,0.4,0.3,68797,LN,0,-1.2
cana,2023,69194,0.2,0,68988,LN,0,-0.8
cana,2024,69271,0,0.1,69179,EN,0,1.2
feijao,1974,702,-7.1,,729,LN,1,-1.5
feijao,1975,709,-3.2,1,726,N,0,-0.1
feijao,1976,722,1.5,1.8,720,LN,0,-1
feijao,1977,749,8.4,3.7,710,EN,0,1
feijao,1978,719,6.9,-4,694,EN,0,0.9
feijao,1979,718,9.7,-0.1,671,N,0,0.2
feijao,1980,672,5.2,-6.4,643,EN,0,0.6
feijao,1981,572,-8.3,-14.9,615,N,0,0
feijao,1982,582,-4.6,1.7,588,N,0,0.1
