cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,1133,11.3,,1015,LN,0,-0.9
arroz,1975,1460,51.6,28.9,937,N,0,-0.3
arroz,1976,688,-25.4,-52.9,870,N,0,-0.3
arroz,1977,1029,14.4,49.6,819,EN,0,0.5
arroz,1978,675,-24.9,-34.4,787,N,0,0.1
arroz,1979,695,-24,3,777,N,0,0.2
arroz,1980,495,-47.3,-28.8,791,N,0,0.3
arroz,1981,636,-35.2,28.5,828,N,0,-0.3
arroz,1982,822,-21.1,29.2,889,N,0,0.4
arroz,1983,581,-47.4,-29.3,972,EN,1,1.7
arroz,1984,1702,41.5,192.9,1076,N,0,-0.3
arroz,1985,1589,18.8,-6.6,1194,LN,0,-0.6
arroz,1986,1747,20.6,9.9,1320,N,0,-0.2
arroz,1987,1399,-8.6,-19.9,1447,EN,0,1.3
arroz,1988,1758,9.1,25.7,1567,N,0,-0.2
arroz,1989,1798,7.2,2.3,1671,LN,0,-1.1
arroz,1990,1199,-30.1,-33.3,1752,N,0,0.3
arroz,1991,2086,22.7,74,1807,N,0,0.4
arroz,1992,1195,-27.5,-42.7,1831,EN,1,2
arroz,1993,4884,203.8,200,1826,EN,0,0.9
arroz,1994,2041,30,-58.2,1792,N,0,0.4
arroz,1995,1607,5.8,-21.3,1736,EN,0,0.7
arroz,1996,1323,-10.3,-17.7,1663,LN,0,-0.6
arroz,1997,1199,-16.5,-9.4,1582,N,0,0.2
arroz,1998,1493,7.3,24.5,1500,EN,0,1.3
arroz,1999,1215,-10,-18.6,1423,LN,0,-1.1
arroz,2000,1499,13.8,23.4,1355,LN,0,-1.1
arroz,2001,1143,-11.3,-23.7,1295,LN,0,-0.5
arroz,2002,1197,-5,4.7,1241,N,0,0
arroz,2003,1226,-0.2,2.4,1190,N,0,0.2
arroz,2004,1482,23.4,20.9,1137,N,0,0.1
arroz,2005,922,-21.9,-37.8,1076,N,0,0.3
arroz,2006,1408,22.9,52.7,1007,LN,0,-0.6
arroz,2007,714,-34.1,-49.3,930,N,0,-0.2
arroz,2008,1297,28.8,81.7,848,LN,0,-1.3
arroz,2009,1238,31.7,-4.5,768,LN,0,-0.7
arroz,2010,234,-72.5,-81.1,697,EN,0,0.6
arroz,2011,1014,36.9,200,638,LN,0,-0.9
arroz,2012,1086,61.2,7.1,597,LN,0,-0.6
arroz,2013,366,-45.1,-66.3,574,LN,0,-0.5
arroz,2014,646,-5.5,76.5,571,N,0,-0.3
arroz,2015,368,-48.2,-43,588,EN,0,0.5
arroz,2016,195,-73.8,-47,625,EN,0,1.3
arroz,2017,616,-22.6,200,683,N,0,-0.3
arroz,2018,1181,37.5,91.7,760,LN,0,-0.9
arroz,2019,948,1.5,-19.7,854,EN,0,0.6
arroz,2020,1445,41.2,52.4,963,N,0,0
arroz,2021,1869,65.8,29.3,1083,LN,0,-1
arroz,2022,1493,19.8,-20.1,1214,LN,0,-1.3
arroz,2023,1037,-24.8,-30.5,1354,N,0,-0.4
arroz,2024,1186,-22.2,14.4,1508,EN,0,0.5
cana,1974,56743,48.4,,47778,LN,1,-1.5
cana,1975,40902,-0.3,-27.9,47629,N,0,-0.1
cana,1976,43479,-0.1,6.3,47550,LN,0,-1
cana,1977,53056,15.6,22,47630,EN,0,1
cana,1978,46534,-3.1,-12.3,47956,EN,0,0.9
cana,1979,49104,-1.8,5.5,48589,N,0,0.2
cana,1980,48549,-6,-1.1,49553,EN,0,0.6
cana,1981,43290,-18.5,-10.8,50809,N,0,0
cana,1982,53990,-0.6,24.7,52256,N,0,0.1
cana,1983,49834,-9.9,-7.7,53723,EN,1,2.5
cana,1984,57491,2.5,15.4,54981,LN,0,-0.5
cana,1985,60420,6.5,5.1,55778,LN,0,-0.8
cana,1986,60147,5.6,-0.5,55887,N,0,-0.3
cana,1987,58637,3.5,-2.5,55168,EN,1,1.6
cana,1988,54910,-1.8,-6.4,53613,EN,0,0.7
cana,1989,54467,-0.7,-0.8,51362,LN,1,-1.7
cana,1990,52942,-1.3,-2.8,48673,N,0,0.2
cana,1991,52384,1.8,-1.1,45858,EN,0,0.6
cana,1992,51917,7.3,-0.9,43222,EN,1,2.3
cana,1993,19817,-57.1,-61.8,41013,EN,0,0.5
cana,1994,40094,-9.9,102.3,39405,N,0,0.3
cana,1995,44754,4.8,11.6,38491,EN,0,1.3
cana,1996,38839,-6.8,-13.2,38301,LN,0,-0.9
cana,1997,40714,-2.6,4.8,38807,N,0,-0.2
cana,1998,32771,-22.9,-19.5,39928,EN,1,2.2
cana,1999,38154,-11.6,16.4,41533,LN,1,-1.5
cana,2000,43828,-1.1,14.9,43440,LN,1,-1.7
cana,2001,49861,7.9,13.8,45438,LN,0,-0.6
cana,2002,50407,4.6,1.1,47307,N,0,-0.1
cana,2003,54371,9.7,7.9,48866,EN,0,0.9
cana,2004,54549,8.4,0.3,50006,N,0,0.3
cana,2005,47207,-7.3,-13.5,50708,EN,0,0.6
cana,2006,52181,1.4,10.5,51037,LN,0,-0.9
cana,2007,51850,0.6,-0.6,51114,EN,0,0.6
cana,2008,51369,0.3,-0.9,51077,LN,1,-1.6
cana,2009,51287,0.3,-0.2,51048,LN,0,-0.9
cana,2010,45647,-11,-11,51112,EN,1,1.5
cana,2011,54340,5.6,19,51308,LN,0,-1.4
cana,2012,46556,-10,-14.3,51637,LN,0,-0.8
cana,2013,49927,-4.1,7.2,52071,LN,0,-0.6
cana,2014,56404,7.7,13,52576,LN,0,-0.5
cana,2015,56446,6.7,0.1,53122,EN,0,0.5
cana,2016,56290,5.1,-0.3,53704,EN,1,2.2
cana,2017,53620,-1.3,-4.7,54337,LN,0,-0.7
cana,2018,53554,-3,-0.1,55060,LN,0,-1.1
cana,2019,55552,-1.2,3.7,55916,EN,0,0.6
cana,2020,56478,-1.5,1.7,56945,N,0,0.1
cana,2021,55654,-5,-1.5,58165,LN,0,-1.2
cana,2022,56277,-6,1.1,59566,LN,0,-1.2
cana,2023,64692,5.4,15,61110,LN,0,-0.8
cana,2024,64723,2.9,0,62748,EN,0,1.2
feijao,1974,320,7.6,,214,LN,1,-1.9
feijao,1975,298,7.4,-6.9,216,N,0,-0.2
feijao,1976,153,-41.2,-48.7,218,LN,0,-1.1
feijao,1977,305,24.1,99.3,221,EN,0,1.1
feijao,1978,324,37.9,6.2,223,EN,0,1.1
feijao,1979,257,13.3,-20.7,225,N,0,0.2
feijao,1980,105,-52.5,-59.1,228,EN,0,0.7
feijao,1981,113,-48.1,7.6,230,N,0,0.2
feijao,1982,134,-38.3,18.6,233,N,0,0
feijao,1983,137,-37.2,2.2,236,EN,1,2.5
feijao,1984,435,94.7,200,240,LN,0,-1
feijao,1985,263,12.6,-39.5,243,LN,0,-1
feijao,1986,321,32.2,22.1,246,N,0,-0.2
feijao,1987,129,-48.7,-59.8,250,EN,1,1.5
feijao,1988,334,27.6,158.9,254,EN,0,0.9
feijao,1989,308,13.3,-7.8,257,LN,1,-1.9
feijao,1990,232,-17.2,-24.7,261,N,0,0
feijao,1991,336,18.7,44.8,265,EN,0,0.5
feijao,1992,226,-20,-32.7,268,EN,1,2.1
feijao,1993,175,-38.6,-22.6,272,N,0,0.3
feijao,1994,361,23.3,106.3,275,N,0,0.3
feijao,1995,335,10.7,-7.2,278,EN,0,1.4
feijao,1996,278,-10.7,-17,281,LN,0,-0.9
feijao,1997,415,29.7,49.3,284,N,0,-0.3
feijao,1998,235,-28.8,-43.4,286,EN,1,2.3
feijao,1999,271,-20.1,15.3,288,LN,1,-1.6
feijao,2000,481,38,77.5,289,LN,1,-1.6
feijao,2001,376,4.4,-21.8,291,LN,0,-0.7
feijao,2002,322,-12.9,-14.4,291,N,0,-0.3
feijao,2003,369,-0.9,14.6,292,EN,0,1.2
feijao,2004,333,-9.4,-9.8,292,N,0,0.3
feijao,2005,314,-12.6,-5.7,291,EN,0,0.7
feijao,2006,501,43.3,59.6,290,LN,0,-0.8
feijao,2007,382,14.6,-23.8,289,EN,0,0.9
feijao,2008,398,28.2,4.2,288,LN,1,-1.5
feijao,2009,270,-7.7,-32.2,287,LN,0,-0.8
feijao,2010,136,-50.4,-49.6,285,EN,1,1.6
feijao,2011,234,-6.8,72.1,284,LN,1,-1.6
feijao,2012,124,-47.6,-47,282,LN,0,-1
feijao,2013,438,85.5,200,281,N,0,-0.4
feijao,2014,271,12.3,-38.1,279,N,0,-0.3
feijao,2015,148,-39.7,-45.4,278,EN,0,0.6
feijao,2016,133,-46.4,-10.1,277,EN,1,2.4
feijao,2017,283,11.7,112.8,276,LN,0,-1
feijao,2018,373,43.7,31.8,275,LN,0,-1.3
feijao,2019,274,2.9,-26.5,274,EN,0,0.7
feijao,2020,388,41.1,41.6,274,N,0,0.2
feijao,2021,340,19.4,-12.4,273,LN,0,-1.4
feijao,2022,343,16.2,0.9,272,LN,0,-1.2
feijao,2023,235,-23.3,-31.5,271,LN,0,-1
feijao,2024,244,-23.5,3.8,270,EN,1,1.5
milho,1974,648,7.9,,343,LN,1,-1.9
milho,1975,552,1.5,-14.8,346,N,0,-0.2
milho,1976,362,-26.6,-34.4,349,LN,0,-1.1
milho,1977,658,45.9,81.8,352,EN,0,1.1
milho,1978,517,24.1,-21.4,354,EN,0,1.1
milho,1979,402,3.1,-22.2,357,N,0,0.2
milho,1980,117,-68.2,-70.9,360,EN,0,0.7
milho,1981,123,-65.1,5.1,363,N,0,0.2
milho,1982,124,-63.9,0.8,366,N,0,0
milho,1983,127,-62.5,2.4,369,EN,1,2.5
milho,1984,666,93.1,200,372,LN,0,-1
milho,1985,564,55.6,-15.3,375,LN,0,-1
milho,1986,583,53.8,3.4,378,N,0,-0.2
milho,1987,209,-47.2,-64.2,381,EN,1,1.5
milho,1988,543,29.7,159.8,384,EN,0,0.9
milho,1989,493,11.7,-9.2,388,LN,1,-1.9
milho,1990,241,-47.4,-51.1,391,N,0,0
milho,1991,499,7.9,107.1,394,EN,0,0.5
milho,1992,338,-26.5,-32.3,397,EN,1,2.1
milho,1993,184,-60.1,-45.6,400,N,0,0.3
milho,1994,870,84.1,200,404,N,0,0.3
milho,1995,634,29.8,-27.1,407,EN,0,1.4
milho,1996,579,15.3,-8.7,410,LN,0,-0.9
milho,1997,604,17.5,4.3,414,N,0,-0.3
milho,1998,257,-51.1,-57.5,417,EN,1,2.3
milho,1999,318,-40.7,23.7,420,LN,1,-1.6
milho,2000,739,35.8,132.4,424,LN,1,-1.6
milho,2001,421,-23.6,-43,427,LN,0,-0.7
milho,2002,616,10.8,46.3,431,N,0,-0.3
milho,2003,739,32.7,20,434,EN,0,1.2
milho,2004,446,-20.1,-39.6,438,N,0,0.3
milho,2005,402,-28.3,-9.9,441,EN,0,0.7
milho,2006,856,53.5,112.9,445,LN,0,-0.8
milho,2007,461,-14.7,-46.1,449,EN,0,0.9
milho,2008,662,28.8,43.6,452,LN,1,-1.5
milho,2009,557,13.3,-15.9,456,LN,0,-0.8
milho,2010,156,-66.2,-72,460,EN,1,1.6
milho,2011,399,-5.7,155.8,463,LN,1,-1.6
milho,2012,426,6.4,6.8,467,LN,0,-1
milho,2013,621,55,45.8,471,N,0,-0.4
milho,2014,421,2.7,-32.2,475,N,0,-0.3
milho,2015,239,-43.2,-43.2,479,EN,0,0.6
milho,2016,185,-57.2,-22.6,483,EN,1,2.4
milho,2017,355,-20.9,91.9,487,LN,0,-1
milho,2018,600,28.2,69,490,LN,0,-1.3
milho,2019,501,2.2,-16.5,494,EN,0,0.7
milho,2020,794,54,58.5,498,N,0,0.2
milho,2021,655,20.1,-17.5,503,LN,0,-1.4
milho,2022,751,29.9,14.7,507,LN,0,-1.2
milho,2023,469,-23.6,-37.5,511,LN,0,-1
milho,2024,497,-24,6,515,EN,1,1.5
milho1,2003,739,22.4,,586,EN,0,1.2
milho1,2004,446,-25.7,-39.6,557,N,0,0.3
milho1,2005,402,-32.5,-9.9,530,EN,0,0.7
milho1,2006,856,44.8,112.9,503,LN,0,-0.8
milho1,2007,461,-20.4,-46.1,478,EN,0,0.9
milho1,2008,662,17.1,43.6,454,LN,1,-1.5
milho1,2009,557,16.7,-15.9,433,LN,0,-0.8
milho1,2010,156,-60.8,-72,415,EN,1,1.6
milho1,2011,399,-1,155.8,402,LN,1,-1.6
milho1,2012,426,-1.9,6.8,393,LN,0,-1
milho1,2013,621,34.8,45.8,389,N,0,-0.4
milho1,2014,421,9.5,-32.2,390,N,0,-0.3
milho1,2015,239,-22.8,-43.2,397,EN,0,0.6
milho1,2016,185,-34.5,-22.6,409,EN,1,2.4
milho1,2017,355,-3,91.9,425,LN,0,-1
milho1,2018,600,23.9,69,446,LN,0,-1.3
milho1,2019,501,-19.1,-16.5,469,EN,0,0.7
milho1,2020,794,16.9,58.5,494,N,0,0.2
milho1,2021,655,-5.6,-17.5,520,LN,0,-1.4
milho1,2022,751,13.7,14.7,548,LN,0,-1.2
milho1,2023,469,-19.4,-37.5,576,LN,0,-1
milho1,2024,497,8.5,6,605,EN,1,1.5
soja,2014,2400,,,,N,0,-0.3
soja,2022,1514,,-36.9,,LN,0,-1.2
