cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1543,25.5,,LN,1,-1.9
arroz,1975,1532,4.7,-0.7,N,0,-0.4
arroz,1976,2036,20.6,32.9,LN,0,-1.1
arroz,1977,1717,-10.1,-15.7,EN,0,1.1
arroz,1978,1538,-27.6,-10.4,EN,0,1.1
arroz,1979,1625,-30.4,5.7,N,0,0.2
arroz,1980,1473,-41.9,-9.4,EN,0,0.7
arroz,1981,2180,-20.1,48,N,0,-0.3
arroz,1982,3492,19.9,60.2,N,0,0.4
arroz,1983,3440,11.5,-1.5,EN,1,2.5
arroz,1984,3761,15.1,9.3,LN,0,-1.1
arroz,1985,3451,-0.2,-8.2,LN,0,-1
arroz,1986,3745,3.5,8.5,N,0,-0.3
arroz,1987,3786,2,1.1,EN,1,1.6
arroz,1988,3428,-8.7,-9.5,EN,0,1.3
arroz,1989,3740,-1.1,9.1,LN,1,-1.9
arroz,1990,3716,-2.8,-0.6,N,0,0.3
arroz,1991,4006,3.7,7.8,EN,0,0.6
arroz,1992,3817,-1.6,-4.7,EN,1,2.3
arroz,1993,5212,32.8,36.5,EN,0,0.9
arroz,1994,4023,0.4,-22.8,N,0,0.4
arroz,1995,3899,-4.8,-3.1,EN,0,1.4
arroz,1996,4064,-3.1,4.2,LN,0,-0.9
arroz,1997,4138,-4.4,1.8,N,0,-0.3
arroz,1998,5304,18.3,28.2,EN,1,2.4
arroz,1999,4277,-7.3,-19.4,LN,1,-1.6
arroz,2000,4138,-12.4,-3.2,LN,1,-1.7
arroz,2001,5118,5.7,23.7,LN,0,-0.7
arroz,2002,5338,7.8,4.3,N,0,-0.3
arroz,2003,5316,5.3,-0.4,EN,1,1.5
arroz,2004,5546,8.6,4.3,N,0,0.3
arroz,2005,5116,-0.5,-7.8,EN,0,0.8
arroz,2006,4301,-17.1,-15.9,LN,0,-0.9
arroz,2007,4394,-16.1,2.2,EN,0,0.9
arroz,2008,5497,4.4,25.1,LN,1,-1.6
arroz,2009,5371,1,-2.3,LN,0,-0.9
arroz,2010,5444,0.8,1.4,EN,1,1.6
arroz,2011,5320,-3.3,-2.3,LN,1,-1.7
arroz,2012,5478,-2,3,LN,0,-1
arroz,2013,5932,4.5,8.3,LN,0,-0.6
arroz,2014,5658,-1.8,-4.6,N,0,-0.5
arroz,2015,5984,2.6,5.8,EN,0,0.6
arroz,2016,6453,9.5,7.8,EN,1,2.4
arroz,2017,5868,-1.4,-9.1,LN,0,-1.1
arroz,2018,5960,-0.6,1.6,LN,0,-1.3
arroz,2019,5996,-0.5,0.6,EN,0,0.8
arroz,2020,5997,-0.9,0,N,0,0.2
arroz,2021,7179,18.4,19.7,LN,1,-1.5
arroz,2022,5961,-1.7,-17,LN,0,-1.3
arroz,2023,2333,-61.4,-60.9,LN,0,-1.1
arroz,2024,2333,-61.3,0,EN,1,1.5
cana,1974,48000,1.6,,LN,1,-1.9
cana,1975,48000,1,0,N,0,-0.4
cana,1976,46888,-1.9,-2.3,LN,0,-1.1
cana,1977,48000,-0.1,2.4,EN,0,1.1
cana,1978,48000,-0.7,0,EN,0,1.1
cana,1979,49017,0.8,2.1,N,0,0.2
cana,1980,48054,-1.7,-2,EN,0,0.7
cana,1981,46069,-6.3,-4.1,N,0,-0.3
cana,1982,49218,-0.5,6.8,N,0,0.4
cana,1983,49375,-0.7,0.3,EN,1,2.5
cana,1984,49900,-0.2,1.1,LN,0,-1.1
cana,1985,50383,0.1,1,LN,0,-1
cana,1986,50467,-0.2,0.2,N,0,-0.3
cana,1987,52834,4.2,4.7,EN,1,1.6
cana,1988,50639,-0.2,-4.2,EN,0,1.3
cana,1989,54141,6.7,6.9,LN,1,-1.9
cana,1990,48831,-3.7,-9.8,N,0,0.3
cana,1991,50317,-0.1,3,EN,0,0.6
cana,1992,51646,3.5,2.6,EN,1,2.3
cana,1993,39487,-20.4,-23.5,EN,0,0.9
cana,1994,48163,-2.3,22,N,0,0.4
cana,1995,49459,1,2.7,EN,0,1.4
cana,1996,46844,-4,-5.3,LN,0,-0.9
cana,1997,49372,1.2,5.4,N,0,-0.3
cana,1998,48806,-0.1,-1.1,EN,1,2.4
cana,1999,37988,-22.6,-22.2,LN,1,-1.6
cana,2000,49808,0.6,31.1,LN,1,-1.7
cana,2001,47081,-6.1,-5.5,LN,0,-0.7
cana,2002,50618,-0.4,7.5,N,0,-0.3
cana,2003,51538,0.3,1.8,EN,1,1.5
cana,2004,52303,0.3,1.5,N,0,0.3
cana,2005,46633,-12,-10.8,EN,0,0.8
cana,2006,52940,-1.2,13.5,LN,0,-0.9
cana,2007,55080,2.2,4,EN,0,0.9
cana,2008,54808,1.2,-0.5,LN,1,-1.6
cana,2009,55199,1.7,0.7,LN,0,-0.9
cana,2010,54544,1.2,-1.2,EN,1,1.6
cana,2011,56689,6.5,3.9,LN,1,-1.7
cana,2012,47490,-10.1,-16.2,LN,0,-1
cana,2013,49976,-4.9,5.2,LN,0,-0.6
cana,2014,50894,-2.6,1.8,N,0,-0.5
cana,2015,51586,-1.4,1.4,EN,0,0.6
cana,2016,51808,-1.6,0.4,EN,1,2.4
cana,2017,48808,-8,-5.8,LN,0,-1.1
cana,2018,51248,-4.6,5,LN,0,-1.3
cana,2019,52879,-3,3.2,EN,0,0.8
cana,2020,57515,3.7,8.8,N,0,0.2
cana,2021,55823,-1.4,-2.9,LN,1,-1.5
cana,2022,61026,5.3,9.3,LN,0,-1.3
cana,2023,62067,4.4,1.7,LN,0,-1.1
cana,2024,59507,-2.7,-4.1,EN,1,1.5
feijao,1974,480,-4,,LN,1,-1.9
feijao,1975,485,4.3,1,N,0,-0.4
feijao,1976,287,-33.7,-40.8,LN,0,-1.1
feijao,1977,471,16.8,64.1,EN,0,1.1
feijao,1978,404,7.3,-14.2,EN,0,1.1
feijao,1979,445,26.1,10.1,N,0,0.2
feijao,1980,276,-16.9,-38,EN,0,0.7
feijao,1981,179,-43,-35.1,N,0,-0.3
feijao,1982,341,14.3,90.5,N,0,0.4
feijao,1983,210,-26.6,-38.4,EN,1,2.5
feijao,1984,445,61.2,111.9,LN,0,-1.1
feijao,1985,293,9.2,-34.2,LN,0,-1
feijao,1986,324,22.4,10.6,N,0,-0.3
feijao,1987,203,-24.4,-37.3,EN,1,1.6
feijao,1988,261,-6.6,28.6,EN,0,1.3
