cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,540,-38.9,,743,LN,0,-1.2
arroz,1975,1300,48.8,140.7,755,N,0,-0.1
arroz,1976,910,4.9,-30,767,LN,0,-0.6
arroz,1977,1183,36.5,30,779,EN,0,0.9
arroz,1978,1008,15.4,-14.8,791,EN,0,0.6
arroz,1979,731,-17.4,-27.5,804,N,0,0.2
arroz,1980,426,-52.5,-41.7,817,EN,0,0.5
arroz,1981,457,-49.9,7.3,829,N,0,-0.3
arroz,1982,922,-1,101.8,843,N,0,0.3
arroz,1983,359,-62.3,-61.1,856,EN,1,2.2
arroz,1984,1267,28.7,200,869,N,0,-0.3
arroz,1985,1284,24.3,1.3,883,LN,0,-0.6
arroz,1986,1535,43.1,19.5,897,N,0,-0.3
arroz,1987,723,-34.3,-52.9,911,EN,1,1.5
arroz,1988,1549,37.6,114.2,926,N,0,0.3
arroz,1989,1375,19.9,-11.2,941,LN,0,-1.4
arroz,1990,605,-47.8,-56,955,N,0,0.3
arroz,1991,1394,21.4,130.4,971,EN,0,0.5
arroz,1992,455,-59.4,-67.4,986,EN,1,2.2
arroz,1993,764,-30.7,67.9,1001,EN,0,0.7
arroz,1994,1495,35.7,95.7,1017,N,0,0.3
arroz,1995,1434,29.9,-4.1,1033,EN,0,1
arroz,1996,1259,13.7,-12.2,1050,LN,0,-0.8
arroz,1997,958,-14,-23.9,1066,N,0,-0.1
arroz,1998,600,-46.6,-37.4,1083,EN,1,1.8
arroz,1999,1436,26.6,139.3,1100,LN,0,-1.3
arroz,2000,1470,28.3,2.4,1118,LN,0,-1.4
arroz,2001,1041,-9.9,-29.2,1136,LN,0,-0.5
arroz,2002,584,-50,-43.9,1154,N,0,0
arroz,2003,1397,18,139.2,1172,EN,0,0.5
arroz,2004,1128,-7.4,-19.3,1190,N,0,0.1
arroz,2005,1294,2.2,14.7,1209,N,0,0.4
arroz,2006,1418,9.2,9.6,1228,LN,0,-0.9
arroz,2007,956,-26.9,-32.6,1248,N,0,0.2
arroz,2008,1686,28.7,76.4,1267,LN,1,-1.5
arroz,2009,1646,25.3,-2.4,1288,LN,0,-0.8
arroz,2010,919,-29.4,-44.2,1308,EN,0,1.1
arroz,2011,1857,45.6,102.1,1329,LN,0,-1.2
arroz,2012,1164,-8.4,-37.3,1350,LN,0,-0.6
arroz,2013,872,-32.6,-25.1,1371,LN,0,-0.6
arroz,2014,1387,4.6,59.1,1393,LN,0,-0.5
arroz,2015,1294,-5.1,-6.7,1415,N,0,0.4
arroz,2016,715,-49.2,-44.7,1437,EN,1,1.8
arroz,2017,1559,7.1,118,1460,LN,0,-0.5
