cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,1344,-17.8,,1280,LN,1,-1.9
arroz,1975,1726,7.3,28.4,1289,N,0,-0.2
arroz,1976,1751,10.5,1.4,1298,LN,0,-1.1
arroz,1977,1604,2.4,-8.4,1309,EN,0,1.1
arroz,1978,548,-64.6,-65.8,1321,EN,0,1.1
arroz,1979,885,-42.4,61.5,1335,N,0,0.2
arroz,1980,1634,7,84.6,1352,EN,0,0.7
arroz,1981,1795,18,9.9,1372,N,0,0.2
arroz,1982,1260,-17,-29.8,1395,N,0,0
arroz,1983,1702,12,35.1,1420,EN,1,2.5
arroz,1984,1233,-19.1,-27.6,1448,LN,0,-1
arroz,1985,1480,-3.1,20,1478,LN,0,-1
arroz,1986,1471,-4.5,-0.6,1511,N,0,-0.2
arroz,1987,1690,7.8,14.9,1546,EN,1,1.5
arroz,1988,1679,4.6,-0.7,1583,EN,0,0.9
arroz,1989,1858,12.6,10.7,1624,LN,1,-1.9
arroz,1990,1679,-1,-9.6,1667,N,0,0
arroz,1991,1350,-22.9,-19.6,1715,EN,0,0.5
arroz,1992,1679,-7.4,24.4,1766,EN,1,2.1
arroz,1993,1825,-2.6,8.7,1822,N,0,0.3
arroz,1994,2065,7.1,13.2,1882,N,0,0.3
arroz,1995,2086,5.1,1,1947,EN,0,1.4
arroz,1996,2195,7.3,5.2,2017,LN,0,-0.9
arroz,1997,2062,-2,-6.1,2093,N,0,-0.3
arroz,1998,2138,-1.1,3.7,2175,EN,1,2.3
arroz,1999,2282,2.1,6.7,2264,LN,1,-1.6
arroz,2000,2249,-2.3,-1.4,2361,LN,1,-1.6
arroz,2001,2319,-1.6,3.1,2468,LN,0,-0.7
arroz,2002,2446,0.8,5.5,2585,N,0,-0.3
arroz,2003,2736,7.6,11.9,2713,EN,0,1.2
arroz,2004,2678,-0.7,-2.1,2855,N,0,0.3
arroz,2005,2297,-20,-14.2,3011,EN,0,0.7
arroz,2006,2896,-5.8,26.1,3182,LN,0,-0.8
arroz,2007,3215,-3.4,11,3367,EN,0,0.9
arroz,2008,3676,1.6,14.3,3566,LN,1,-1.5
arroz,2009,3827,-2.2,4.1,3777,LN,0,-0.8
arroz,2010,4124,-2.9,7.8,4001,EN,1,1.6
