cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1602,4.5,,LN,1,-1.9
arroz,1975,1866,6.2,16.5,N,0,-0.4
arroz,1976,1506,-23.5,-19.3,LN,0,-1.1
arroz,1977,1800,-16.8,19.5,EN,0,1.1
arroz,1978,2298,-1.9,27.7,EN,0,1.1
arroz,1979,2584,3,12.4,N,0,0.2
arroz,1980,2775,4.3,7.4,EN,0,0.7
arroz,1981,2834,1.3,2.1,N,0,-0.3
arroz,1982,2981,2.1,5.2,N,0,0.4
arroz,1983,3044,0.5,2.1,EN,1,2.5
arroz,1984,3109,-0.4,2.1,LN,0,-1.1
arroz,1985,3286,2.8,5.7,LN,0,-1
arroz,1986,3296,1.2,0.3,N,0,-0.3
arroz,1987,3182,-3.9,-3.5,EN,1,1.6
arroz,1988,3224,-3.7,1.3,EN,0,1.3
arroz,1989,3474,3,7.8,LN,1,-1.9
arroz,1990,2711,-20,-22,N,0,0.3
arroz,1991,3336,-1.6,23.1,EN,0,0.6
arroz,1992,3214,-4.9,-3.7,EN,1,2.3
arroz,1993,3504,4.2,9,EN,0,0.9
arroz,1994,3503,5.5,0,N,0,0.4
arroz,1995,3399,4.4,-3,EN,0,1.4
arroz,1996,3338,4,-1.8,LN,0,-0.9
arroz,1997,3139,-0.7,-6,N,0,-0.3
arroz,1998,2672,-13.8,-14.9,EN,1,2.4
arroz,1999,2812,-8.2,5.2,LN,1,-1.6
arroz,2000,3000,-2.2,6.7,LN,1,-1.7
arroz,2001,3021,-2.1,0.7,LN,0,-0.7
arroz,2002,3073,-1.3,1.7,N,0,-0.3
arroz,2003,2949,-6.3,-4,EN,1,1.5
arroz,2004,3408,5.9,15.6,N,0,0.3
arroz,2005,3525,6.1,3.4,EN,0,0.8
arroz,2006,3436,1,-2.5,LN,0,-0.9
arroz,2007,3399,-1.8,-1.1,EN,0,0.9
arroz,2008,3437,-2.6,1.1,LN,1,-1.6
arroz,2009,3602,0.8,4.8,LN,0,-0.9
arroz,2010,3631,1.1,0.8,EN,1,1.6
arroz,2011,3671,2.1,1.1,LN,1,-1.7
arroz,2012,3590,0,-2.2,LN,0,-1
arroz,2013,3787,5.8,5.5,LN,0,-0.6
arroz,2014,3460,-2.8,-8.6,N,0,-0.5
arroz,2015,3224,-8.7,-6.8,EN,0,0.6
arroz,2016,3410,-2.1,5.8,EN,1,2.4
arroz,2017,5553,61.9,62.8,LN,0,-1.1
arroz,2018,3477,3.4,-37.4,LN,0,-1.3
arroz,2019,2580,-21.4,-25.8,EN,0,0.8
arroz,2020,3353,5.1,30,N,0,0.2
arroz,2021,2661,-13.8,-20.6,LN,1,-1.5
arroz,2022,3060,3,15,LN,0,-1.3
arroz,2023,3058,7.5,-0.1,LN,0,-1.1
arroz,2024,2466,-8.9,-19.4,EN,1,1.5
cana,1974,35209,-14.2,,LN,1,-1.9
cana,1975,45000,5.3,27.8,N,0,-0.4
cana,1976,39600,-10.5,-12,LN,0,-1.1
cana,1977,47000,3.3,18.7,EN,0,1.1
cana,1978,48382,4,2.9,EN,0,1.1
cana,1979,48567,2.7,0.4,N,0,0.2
cana,1980,48216,0.6,-0.7,EN,0,0.7
cana,1981,49956,3.5,3.6,N,0,-0.3
cana,1982,54636,12.9,9.4,N,0,0.4
cana,1983,48935,1.1,-10.4,EN,1,2.5
cana,1984,44445,-7.5,-9.2,LN,0,-1.1
cana,1985,50425,6.6,13.5,LN,0,-1
cana,1986,46295,-0.7,-8.2,N,0,-0.3
cana,1987,40309,-12.1,-12.9,EN,1,1.6
cana,1988,50091,11.8,24.3,EN,0,1.3
cana,1989,44477,1.6,-11.2,LN,1,-1.9
cana,1990,27220,-36.9,-38.8,N,0,0.3
cana,1991,41694,-2.7,53.2,EN,0,0.6
cana,1992,40517,-5.1,-2.8,EN,1,2.3
cana,1993,41261,-3.3,1.8,EN,0,0.9
cana,1994,41391,-3.3,0.3,N,0,0.4
cana,1995,45092,4.5,8.9,EN,0,1.4
cana,1996,44730,2.9,-0.8,LN,0,-0.9
cana,1997,44638,1.8,-0.2,N,0,-0.3
cana,1998,44891,1.1,0.6,EN,1,2.4
cana,1999,44632,-0.4,-0.6,LN,1,-1.6
cana,2000,44615,-0.9,0,LN,1,-1.7
cana,2001,31423,-30.4,-29.6,LN,0,-0.7
cana,2002,45036,-0.4,43.3,N,0,-0.3
cana,2003,44701,-1.5,-0.7,EN,1,1.5
cana,2004,50672,11,13.4,N,0,0.3
cana,2005,44893,-2.4,-11.4,EN,0,0.8
cana,2006,45024,-2.7,0.3,LN,0,-0.9
cana,2007,45075,-3.5,0.1,EN,0,0.9
cana,2008,47906,1.5,6.3,LN,1,-1.6
cana,2009,47967,0.9,0.1,LN,0,-0.9
cana,2010,47976,0.6,0,EN,1,1.6
cana,2011,48888,2.3,1.9,LN,1,-1.7
cana,2012,48289,1,-1.2,LN,0,-1
cana,2013,45825,-3.8,-5.1,LN,0,-0.6
cana,2014,51771,9.4,13,N,0,-0.5
cana,2015,49372,4.9,-4.6,EN,0,0.6
cana,2016,44291,-5.4,-10.3,EN,1,2.4
cana,2017,43922,-5.7,-0.8,LN,0,-1.1
cana,2018,41612,-10.2,-5.3,LN,0,-1.3
cana,2019,45918,-0.3,10.3,EN,0,0.8
cana,2020,48323,5.7,5.2,N,0,0.2
cana,2021,41597,-8.4,-13.9,LN,1,-1.5
cana,2022,45350,0.5,9,LN,0,-1.3
