cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,699,-1.5,,467,LN,0,-0.9
arroz,1975,684,1.9,-2.1,489,N,0,-0.3
arroz,1976,500,-22.3,-26.9,512,N,0,-0.3
arroz,1977,1239,97.3,147.8,536,EN,0,0.5
arroz,1978,939,49.6,-24.2,563,N,0,0.1
arroz,1979,232,-63.7,-75.3,592,N,0,0.2
arroz,1980,169,-74.3,-27.2,623,N,0,0.3
arroz,1981,596,-13.4,200,659,N,0,-0.3
arroz,1982,400,-45.2,-32.9,698,N,0,0.4
arroz,1983,266,-65.7,-33.5,741,EN,1,1.7
arroz,1984,1218,44.5,200,789,N,0,-0.3
arroz,1985,1134,21.4,-6.9,842,LN,0,-0.6
arroz,1986,1445,42.1,27.4,899,N,0,-0.2
arroz,1987,551,-49.5,-61.9,961,EN,0,1.3
arroz,1988,1519,29.7,175.7,1027,N,0,-0.2
arroz,1989,1384,11.1,-8.9,1097,LN,0,-1.1
arroz,1990,1226,-6.1,-11.4,1170,N,0,0.3
arroz,1991,1499,14.3,22.3,1248,N,0,0.4
arroz,1992,687,-46.4,-54.2,1328,EN,1,2
arroz,1993,6008,365.4,200,1411,EN,0,0.9
arroz,1994,1564,17.4,-74,1497,N,0,0.4
arroz,1995,1687,22.9,7.9,1586,EN,0,0.7
arroz,1996,1185,-17.9,-29.8,1677,LN,0,-0.6
arroz,1997,1313,-15.7,10.8,1772,N,0,0.2
arroz,1998,1937,14.2,47.5,1869,EN,0,1.3
arroz,1999,1031,-43.9,-46.8,1969,LN,0,-1.1
arroz,2000,1683,-16.3,63.2,2072,LN,0,-1.1
arroz,2001,2911,31,73,2176,LN,0,-0.5
arroz,2002,2476,1.5,-14.9,2281,N,0,0
arroz,2003,2953,12.5,19.3,2386,N,0,0.2
arroz,2004,2864,1.7,-3,2490,N,0,0.1
arroz,2005,2503,-17.3,-12.6,2591,N,0,0.3
arroz,2006,2485,-21.7,-0.7,2689,LN,0,-0.6
arroz,2007,3566,10.7,43.5,2781,N,0,-0.2
arroz,2008,3586,11.5,0.6,2867,LN,0,-1.3
arroz,2009,4035,25,12.5,2948,LN,0,-0.7
arroz,2010,4499,38.6,11.5,3022,EN,0,0.6
arroz,2011,3167,-2.1,-29.6,3090,LN,0,-0.9
arroz,2012,2535,-21.9,-20,3151,LN,0,-0.6
arroz,2013,2500,-24.1,-1.4,3208,LN,0,-0.5
arroz,2014,2326,-30.6,-7,3259,N,0,-0.3
arroz,2015,2808,-17,20.7,3306,EN,0,0.5
arroz,2016,4390,29.3,56.3,3349,EN,0,1.3
arroz,2017,4211,23.9,-4.1,3388,N,0,-0.3
arroz,2018,3545,4.3,-15.8,3423,LN,0,-0.9
arroz,2019,3538,4.4,-0.2,3454,EN,0,0.6
arroz,2020,3617,7.1,2.2,3483,N,0,0
arroz,2021,3601,7.3,-0.4,3509,LN,0,-1
arroz,2022,3269,-1.6,-9.2,3533,LN,0,-1.3
arroz,2023,2412,-26.5,-26.2,3556,N,0,-0.4
arroz,2024,3316,2.5,37.5,3579,EN,0,0.5
cana,1974,46036,-26.6,,57171,LN,1,-1.5
cana,1975,57666,-5.3,25.3,56311,N,0,-0.1
cana,1976,67233,13.5,16.6,55452,LN,0,-1
cana,1977,62490,8.4,-7.1,54581,EN,0,1
cana,1978,63404,12.7,1.5,53693,EN,0,0.9
cana,1979,46868,-14.7,-26.1,52791,N,0,0.2
cana,1980,49404,-8.1,5.4,51892,EN,0,0.6
cana,1981,38013,-27.8,-23.1,51015,N,0,0
cana,1982,56404,9.2,48.4,50180,N,0,0.1
cana,1983,46244,-8.9,-18,49398,EN,1,2.5
cana,1984,49162,-1.7,6.3,48669,LN,0,-0.5
cana,1985,49120,-0.6,-0.1,47980,LN,0,-0.8
cana,1986,49660,1.6,1.1,47308,N,0,-0.3
cana,1987,49620,2.5,-0.1,46628,EN,1,1.6
cana,1988,46843,-2.5,-5.6,45923,EN,0,0.7
cana,1989,50387,5.7,7.6,45190,LN,1,-1.7
cana,1990,43811,-7.2,-13.1,44450,N,0,0.2
cana,1991,49911,7.6,13.9,43748,EN,0,0.6
cana,1992,47206,4.3,-5.4,43151,EN,1,2.3
cana,1993,27551,-38.3,-41.6,42734,EN,0,0.5
cana,1994,43706,-1.7,58.6,42576,N,0,0.3
cana,1995,43491,-1.8,-0.5,42747,EN,0,1.3
cana,1996,43557,-2.4,0.2,43298,LN,0,-0.9
cana,1997,43488,-5.1,-0.2,44255,N,0,-0.2
cana,1998,41399,-13,-4.8,45611,EN,1,2.2
cana,1999,37403,-24,-9.7,47326,LN,1,-1.5
cana,2000,54778,7,46.5,49320,LN,1,-1.7
cana,2001,50375,-6.6,-8,51481,LN,0,-0.6
cana,2002,58110,2.6,15.4,53674,N,0,-0.1
cana,2003,64325,9.8,10.7,55758,EN,0,0.9
cana,2004,62242,3.9,-3.2,57609,N,0,0.3
cana,2005,60957,-0.2,-2.1,59138,EN,0,0.6
cana,2006,60967,-1.6,0,60300,LN,0,-0.9
cana,2007,62461,0.5,2.5,61101,EN,0,0.6
cana,2008,62302,0.7,-0.3,61583,LN,1,-1.6
cana,2009,63034,2.3,1.2,61808,LN,0,-0.9
cana,2010,60655,-1.2,-3.8,61845,EN,1,1.5
cana,2011,60238,-1,-0.7,61751,LN,0,-1.4
cana,2012,59863,-1,-0.6,61562,LN,0,-0.8
cana,2013,57570,-4.5,-3.8,61296,LN,0,-0.6
cana,2014,59182,-1.6,2.8,60953,LN,0,-0.5
cana,2015,62603,4.3,5.8,60523,EN,0,0.5
cana,2016,59846,0,-4.4,59993,EN,1,2.2
cana,2017,59369,-0.6,-0.8,59356,LN,0,-0.7
cana,2018,60010,0.6,1.1,58611,LN,0,-1.1
cana,2019,59982,0.7,0,57769,EN,0,0.6
cana,2020,59406,-0.1,-1,56846,N,0,0.1
cana,2021,61371,3.3,3.3,55867,LN,0,-1.2
cana,2022,48712,-18,-20.6,54855,LN,0,-1.2
cana,2023,44880,-24.4,-7.9,53835,LN,0,-0.8
cana,2024,59914,0.9,33.5,52822,EN,0,1.2
feijao,1974,198,-21.1,,173,LN,1,-1.9
feijao,1975,266,14.2,34.3,176,N,0,-0.2
feijao,1976,190,-12.8,-28.6,180,LN,0,-1.1
feijao,1977,366,77.7,92.6,183,EN,0,1.1
feijao,1978,287,45.3,-21.6,187,EN,0,1.1
feijao,1979,166,-13.6,-42.2,191,N,0,0.2
feijao,1980,66,-65.1,-60.2,196,EN,0,0.7
feijao,1981,94,-50,42.4,200,N,0,0.2
feijao,1982,150,-21.1,59.6,205,N,0,0
feijao,1983,96,-50.5,-36,210,EN,1,2.5
feijao,1984,448,120.8,200,215,LN,0,-1
feijao,1985,257,18.9,-42.6,221,LN,0,-1
feijao,1986,331,43.6,28.8,227,N,0,-0.2
feijao,1987,83,-66.5,-74.9,234,EN,1,1.5
feijao,1988,379,40.2,200,241,EN,0,0.9
feijao,1989,291,-0.6,-23.2,248,LN,1,-1.9
feijao,1990,180,-41.9,-38.1,255,N,0,0
feijao,1991,413,28.9,129.4,262,EN,0,0.5
feijao,1992,267,-18.6,-35.4,270,EN,1,2.1
feijao,1993,75,-77.7,-71.9,278,N,0,0.3
feijao,1994,476,38.5,200,286,N,0,0.3
feijao,1995,432,23.2,-9.2,294,EN,0,1.4
feijao,1996,383,6.8,-11.3,302,LN,0,-0.9
feijao,1997,337,-8.3,-12,311,N,0,-0.3
feijao,1998,345,-8.2,2.4,319,EN,1,2.3
feijao,1999,258,-32.7,-25.2,327,LN,1,-1.6
feijao,2000,496,26.9,92.2,334,LN,1,-1.6
feijao,2001,240,-39.7,-51.6,342,LN,0,-0.7
feijao,2002,445,10,85.4,349,N,0,-0.3
feijao,2003,476,16,7,356,EN,0,1.2
feijao,2004,469,11.9,-1.5,362,N,0,0.3
feijao,2005,371,-13.7,-20.9,368,EN,0,0.7
feijao,2006,448,2.8,20.8,373,LN,0,-0.8
feijao,2007,387,-11,-13.6,378,EN,0,0.9
feijao,2008,470,9.2,21.4,382,LN,1,-1.5
feijao,2009,414,-2.7,-11.9,386,LN,0,-0.8
feijao,2010,422,1.4,1.9,390,EN,1,1.6
feijao,2011,493,22.4,16.8,393,LN,1,-1.6
feijao,2012,293,-25.6,-40.6,395,LN,0,-1
feijao,2013,463,18,58,398,N,0,-0.4
