cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1676,2,,LN,1,-1.9
arroz,1975,1608,-1.6,-4.1,N,0,-0.4
arroz,1976,1608,-1,0,LN,0,-1.1
arroz,1977,1589,-1.7,-1.2,EN,0,1.1
arroz,1978,1549,-3.7,-2.5,EN,0,1.1
arroz,1979,1637,2.1,5.7,N,0,0.2
arroz,1980,1644,2.9,0.4,EN,0,0.7
arroz,1981,1733,8.6,5.4,N,0,-0.3
arroz,1982,1696,6.4,-2.1,N,0,0.4
arroz,1983,1342,-15.8,-20.9,EN,1,2.5
arroz,1984,1505,-5.5,12.1,LN,0,-1.1
arroz,1985,1470,-7.7,-2.3,LN,0,-1
arroz,1986,1758,10.3,19.6,N,0,-0.3
arroz,1987,1558,-2.8,-11.4,EN,1,1.6
arroz,1988,1639,1.3,5.2,EN,0,1.3
arroz,1989,1666,2.1,1.6,LN,1,-1.9
arroz,1990,1604,-2,-3.7,N,0,0.3
arroz,1991,1619,-0.7,0.9,EN,0,0.6
arroz,1992,1628,0.5,0.6,EN,1,2.3
arroz,1993,1678,4,3.1,EN,0,0.9
arroz,1994,1748,9.6,4.2,N,0,0.4
arroz,1995,1767,12.9,1.1,EN,0,1.4
arroz,1996,1278,-17.9,-27.7,LN,0,-0.9
arroz,1997,1280,-18.3,0.2,N,0,-0.3
arroz,1998,1382,-12.6,8,EN,1,2.4
arroz,1999,1562,-2.8,13,LN,1,-1.6
arroz,2000,1595,-3.2,2.1,LN,1,-1.7
arroz,2001,1767,3.9,10.8,LN,0,-0.7
arroz,2002,1829,3.8,3.5,N,0,-0.3
arroz,2003,1851,1.2,1.2,EN,1,1.5
arroz,2004,2242,17.3,21.1,N,0,0.3
arroz,2005,2248,12,0.3,EN,0,0.8
arroz,2006,1993,-5.1,-11.3,LN,0,-0.9
arroz,2007,2053,-6.3,3,EN,0,0.9
arroz,2008,2172,-5.1,5.8,LN,1,-1.6
arroz,2009,2315,-2.7,6.6,LN,0,-0.9
arroz,2010,2413,-2.3,4.2,EN,1,1.6
arroz,2011,2690,4.8,11.5,LN,1,-1.7
arroz,2012,2897,9.4,7.7,LN,0,-1
arroz,2013,2756,1.7,-4.9,LN,0,-0.6
arroz,2014,2821,2.2,2.4,N,0,-0.5
arroz,2015,2808,0,-0.5,EN,0,0.6
arroz,2016,3151,10.5,12.2,EN,1,2.4
arroz,2017,2852,-1.2,-9.5,LN,0,-1.1
arroz,2018,2807,-3.8,-1.6,LN,0,-1.3
arroz,2019,2861,-2.8,1.9,EN,0,0.8
arroz,2020,2762,-6.8,-3.5,N,0,0.2
arroz,2021,2871,-3.5,3.9,LN,1,-1.5
arroz,2022,3031,1.6,5.6,LN,0,-1.3
arroz,2023,3164,6,4.4,LN,0,-1.1
arroz,2024,3535,18.6,11.7,EN,1,1.5
cana,1974,16326,137,,LN,1,-1.9
cana,1975,15010,20.4,-8.1,N,0,-0.4
cana,1976,18000,1.8,19.9,LN,0,-1.1
cana,1977,18000,-20.4,0,EN,0,1.1
cana,1978,18000,-34,0,EN,0,1.1
cana,1979,25055,-20.7,39.2,N,0,0.2
cana,1980,31086,-12.5,24.1,EN,0,0.7
cana,1981,34505,-11.8,11,N,0,-0.3
cana,1982,38699,-8.8,12.2,N,0,0.4
cana,1983,53437,18.1,38.1,EN,1,2.5
