cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1433,-17.8,,LN,1,-1.9
arroz,1975,1668,3.3,16.4,N,0,-0.4
arroz,1976,1605,6.6,-3.8,LN,0,-1.1
arroz,1977,1704,20.2,6.2,EN,0,1.1
arroz,1978,1383,2.4,-18.8,EN,0,1.1
arroz,1979,1407,7.9,1.7,N,0,0.2
arroz,1980,1485,16.3,5.5,EN,0,0.7
arroz,1981,985,-22.5,-33.7,N,0,-0.3
arroz,1982,1181,-8,19.9,N,0,0.4
arroz,1983,700,-46.9,-40.7,EN,1,2.5
arroz,1984,1759,28.4,151.3,LN,0,-1.1
arroz,1985,1613,11.7,-8.3,LN,0,-1
arroz,1986,1190,-22.6,-26.2,N,0,-0.3
arroz,1987,1546,-8.3,29.9,EN,1,1.6
arroz,1988,1714,-8.5,10.9,EN,0,1.3
arroz,1989,2426,19.2,41.5,LN,1,-1.9
arroz,1990,1828,-15.5,-24.6,N,0,0.3
arroz,1991,2693,17.3,47.3,EN,0,0.6
arroz,1992,2619,7.6,-2.7,EN,1,2.3
arroz,1994,3339,25.5,27.5,N,0,0.4
arroz,1995,3160,13.7,-5.4,EN,0,1.4
arroz,1996,2068,-29.6,-34.6,LN,0,-0.9
arroz,1997,2772,-11.8,34,N,0,-0.3
arroz,1998,2605,-22.8,-6,EN,1,2.4
arroz,1999,3281,-8.8,26,LN,1,-1.6
arroz,2000,3281,-14.8,0,LN,1,-1.7
arroz,2001,4314,3.7,31.5,LN,0,-0.7
arroz,2002,5144,15.2,19.2,N,0,-0.3
arroz,2003,5450,15.5,5.9,EN,1,1.5
arroz,2004,5287,7.1,-3,N,0,0.3
arroz,2005,5139,-0.2,-2.8,EN,0,0.8
arroz,2006,5057,-5.2,-1.6,LN,0,-0.9
arroz,2007,5579,2.8,10.3,EN,0,0.9
arroz,2008,5718,4.8,2.5,LN,1,-1.6
arroz,2009,5505,-0.4,-3.7,LN,0,-0.9
arroz,2010,5505,-2.6,0,EN,1,1.6
arroz,2011,5354,-7.3,-2.7,LN,1,-1.7
arroz,2012,5395,-8.7,0.8,LN,0,-1
arroz,2013,5806,-4.6,7.6,LN,0,-0.6
arroz,2014,6551,4.3,12.8,N,0,-0.5
arroz,2015,6655,3.2,1.6,EN,0,0.6
arroz,2016,6839,3.8,2.8,EN,1,2.4
arroz,2017,7074,5.2,3.4,LN,0,-1.1
arroz,2018,7222,5.4,2.1,LN,0,-1.3
arroz,2019,7875,13,9,EN,0,0.8
arroz,2020,6892,-2.6,-12.5,N,0,0.2
arroz,2021,6866,-4.3,-0.4,LN,1,-1.5
arroz,2022,7217,-0.5,5.1,LN,0,-1.3
arroz,2023,7651,4.6,6,LN,0,-1.1
arroz,2024,6936,-5.9,-9.3,EN,1,1.5
cana,1974,60000,120.6,,LN,1,-1.9
cana,1975,25000,-6.4,-58.3,N,0,-0.4
cana,1976,26118,-0.1,4.5,LN,0,-1.1
cana,1977,26339,3.4,0.8,EN,0,1.1
cana,1978,25850,4.6,-1.9,EN,0,1.1
cana,1979,22917,-4.1,-11.3,N,0,0.2
cana,1980,24333,5.8,6.2,EN,0,0.7
cana,1981,32000,45.5,31.5,N,0,-0.3
cana,1982,32000,52.5,0,N,0,0.4
cana,1983,6500,-67.3,-79.7,EN,1,2.5
cana,1984,23000,22.8,200,LN,0,-1.1
cana,1985,23000,30.7,0,LN,0,-1
cana,1986,16859,2.8,-26.7,N,0,-0.3
cana,1987,10836,-28.3,-35.7,EN,1,1.6
cana,1988,10451,-24.8,-3.6,EN,0,1.3
cana,1989,9205,-27.3,-11.9,LN,1,-1.9
cana,1991,12807,29,39.1,EN,0,0.6
cana,1992,11667,33.3,-8.9,EN,1,2.3
cana,1998,2307,-44.7,-80.2,EN,1,2.4
cana,1999,2892,-21.7,25.4,LN,1,-1.6
cana,2000,2892,-12.2,0,LN,1,-1.7
cana,2001,3150,5.2,8.9,LN,0,-0.7
cana,2002,3014,7.9,-4.3,N,0,-0.3
cana,2003,3056,13.1,1.4,EN,1,1.5
cana,2004,3404,24.4,11.4,N,0,0.3
cana,2005,3440,20.4,1.1,EN,0,0.8
cana,2006,3440,17.5,0,LN,0,-0.9
cana,2007,3440,15.3,0,EN,0,0.9
