cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,3558,-0.6,,LN,1,-1.9
arroz,1975,3849,6,8.2,N,0,-0.4
arroz,1976,3603,-2.2,-6.4,LN,0,-1.1
arroz,1977,3719,-0.6,3.2,EN,0,1.1
arroz,1978,3729,-1.9,0.3,EN,0,1.1
arroz,1979,3190,-17.5,-14.5,N,0,0.2
arroz,1980,3829,-2.7,20,EN,0,0.7
arroz,1981,4006,-0.1,4.6,N,0,-0.3
arroz,1982,4149,1.5,3.6,N,0,0.4
arroz,1983,3488,-16.2,-15.9,EN,1,2.5
arroz,1984,4304,1.2,23.4,LN,0,-1.1
arroz,1985,4448,2.3,3.3,LN,0,-1
arroz,1986,4110,-7.4,-7.6,N,0,-0.3
arroz,1987,4435,-2,7.9,EN,1,1.6
arroz,1988,4786,3.8,7.9,EN,0,1.3
arroz,1989,4936,5.1,3.1,LN,1,-1.9
arroz,1990,4576,-4.1,-7.3,N,0,0.3
arroz,1991,4738,-2.2,3.5,EN,0,0.6
arroz,1992,5091,3.8,7.5,EN,1,2.3
arroz,1993,5059,1.7,-0.6,EN,0,0.9
arroz,1994,4332,-13.8,-14.4,N,0,0.4
arroz,1995,5095,0.6,17.6,EN,0,1.4
arroz,1996,5048,-1.5,-0.9,LN,0,-0.9
arroz,1997,5103,-1.6,1.1,N,0,-0.3
arroz,1998,4318,-17.6,-15.4,EN,1,2.4
arroz,1999,5689,6.9,31.8,LN,1,-1.6
arroz,2000,5275,-3.1,-7.3,LN,1,-1.7
arroz,2001,5534,-0.8,4.9,LN,0,-0.7
arroz,2002,5591,-2.5,1,N,0,-0.3
arroz,2003,4884,-17.1,-12.6,EN,1,1.5
arroz,2004,6070,-0.2,24.3,N,0,0.3
arroz,2005,6068,-3.7,0,EN,0,0.8
arroz,2006,6631,2.1,9.3,LN,0,-0.9
arroz,2007,6737,0.8,1.6,EN,0,0.9
arroz,2008,6886,0.1,2.2,LN,1,-1.6
arroz,2009,7187,1.9,4.4,LN,0,-0.9
arroz,2010,6449,-10.3,-10.3,EN,1,1.6
arroz,2011,7648,4.5,18.6,LN,1,-1.7
arroz,2012,7405,-0.5,-3.2,LN,0,-1
arroz,2013,7473,-1,0.9,LN,0,-0.6
arroz,2014,7402,-3.1,-1,N,0,-0.5
arroz,2015,7738,0,4.5,EN,0,0.6
arroz,2016,7053,-10,-8.9,EN,1,2.4
arroz,2017,7925,0,12.4,LN,0,-1.1
arroz,2018,7870,-1.7,-0.7,LN,0,-1.3
arroz,2019,7417,-8.3,-5.8,EN,0,0.8
arroz,2020,8165,0.1,10.1,N,0,0.2
arroz,2021,8736,6.2,7,LN,1,-1.5
arroz,2022,8199,-1.1,-6.1,LN,0,-1.3
arroz,2023,8616,3.2,5.1,LN,0,-1.1
arroz,2024,8265,-1.7,-4.1,EN,1,1.5
cana,1974,22551,3.5,,LN,1,-1.9
cana,1975,21466,-4.9,-4.8,N,0,-0.4
