cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,2278,6.4,,2125,LN,1,-1.9
arroz,1975,2342,7.2,2.8,2174,N,0,-0.2
arroz,1976,2039,-8.8,-12.9,2226,LN,0,-1.1
arroz,1977,2247,-2.1,10.2,2282,EN,0,1.1
arroz,1978,2093,-11.5,-6.9,2345,EN,0,1.1
arroz,1979,2209,-9.6,5.5,2418,N,0,0.2
arroz,1980,2794,10.4,26.5,2503,EN,0,0.7
arroz,1981,2770,5.4,-0.9,2600,N,0,0.2
arroz,1982,2614,-4.4,-5.6,2711,N,0,0
arroz,1983,2771,-2.6,6,2834,EN,1,2.5
arroz,1984,3253,9.5,17.4,2968,LN,0,-1
arroz,1985,3099,-0.3,-4.7,3110,LN,0,-1
arroz,1986,3208,-1.1,3.5,3258,N,0,-0.2
arroz,1987,3269,-3.1,1.9,3409,EN,1,1.5
arroz,1988,3533,1,8.1,3561,EN,0,0.9
arroz,1989,3586,-1.2,1.5,3713,LN,1,-1.9
arroz,1990,3730,-1.2,4,3866,N,0,0
arroz,1991,4587,16.9,23,4022,EN,0,0.5
arroz,1992,4599,13,0.3,4185,EN,1,2.1
arroz,1993,4097,-3.4,-10.9,4359,N,0,0.3
arroz,1994,4456,0,8.8,4548,N,0,0.3
arroz,1995,4610,-1.8,3.5,4755,EN,0,1.4
arroz,1996,4677,-5.2,1.5,4982,LN,0,-0.9
arroz,1997,4954,-4.7,5.9,5225,N,0,-0.3
arroz,1998,5356,-2.6,8.1,5482,EN,1,2.3
arroz,1999,5999,4.1,12,5744,LN,1,-1.6
arroz,2000,5921,-1.4,-1.3,6001,LN,1,-1.6
arroz,2001,6509,4,9.9,6242,LN,0,-0.7
arroz,2002,6720,3.5,3.2,6455,N,0,-0.3
arroz,2003,7201,7.9,7.2,6632,EN,0,1.2
arroz,2004,6706,-1.1,-6.9,6767,N,0,0.3
arroz,2005,6985,2,4.2,6860,EN,0,0.7
arroz,2006,6943,0.5,-0.6,6916,LN,0,-0.8
arroz,2007,6934,0,-0.1,6943,EN,0,0.9
arroz,2008,6650,-3.9,-4.1,6952,LN,1,-1.5
arroz,2009,6950,0.3,4.5,6956,LN,0,-0.8
arroz,2010,6922,-0.4,-0.4,6964,EN,1,1.6
arroz,2011,6539,-6,-5.5,6984,LN,1,-1.6
arroz,2012,7398,5.9,13.1,7023,LN,0,-1
arroz,2013,6841,-3.1,-7.5,7083,N,0,-0.4
arroz,2014,7223,1,5.6,7163,N,0,-0.3
arroz,2015,7273,0.4,0.7,7260,EN,0,0.6
arroz,2016,7128,-2.9,-2,7370,EN,1,2.4
arroz,2017,7678,3.1,7.7,7486,LN,0,-1
arroz,2018,7627,0.9,-0.7,7605,LN,0,-1.3
arroz,2019,7424,-3.3,-2.7,7720,EN,0,0.7
arroz,2020,8162,4.6,9.9,7830,N,0,0.2
arroz,2021,8092,2,-0.9,7934,LN,0,-1.4
arroz,2022,8174,1.3,1,8032,LN,0,-1.2
arroz,2023,8238,0.3,0.8,8127,LN,0,-1
arroz,2024,7898,-5.5,-4.1,8220,EN,1,1.5
cana,1974,48773,2.4,,45728,LN,1,-1.5
cana,1975,44708,-7.3,-8.3,47773,N,0,-0.1
cana,1976,49826,2.1,11.4,49655,LN,0,-1
cana,1977,48567,-1.7,-2.5,51057,EN,0,1
cana,1978,49975,0,2.9,51719,EN,0,0.9
cana,1979,53905,6.6,7.9,51581,N,0,0.2
cana,1980,51713,1.2,-4.1,50828,EN,0,0.6
cana,1981,55224,6.8,6.8,49836,N,0,0
cana,1982,52047,-0.4,-5.8,49048,N,0,0.1
cana,1983,44667,-15.4,-14.2,48849,EN,1,2.5
cana,1984,47741,-10.4,6.9,49487,LN,0,-0.5
cana,1985,47398,-11.9,-0.7,51019,LN,0,-0.8
cana,1986,49272,-9.1,4,53273,N,0,-0.3
cana,1987,59584,8.6,20.9,55823,EN,1,1.6
cana,1988,58948,5.6,-1.1,58008,EN,0,0.7
cana,1989,59133,4.6,0.3,59073,LN,1,-1.7
cana,1990,59740,5.7,1,58422,N,0,0.2
cana,1991,51939,-6.7,-13.1,55877,EN,0,0.6
cana,1992,54870,0.8,5.6,51781,EN,1,2.3
cana,1993,54855,3.5,0,46857,EN,0,0.5
cana,1994,52395,3.8,-4.5,41910,N,0,0.3
cana,1995,47542,1.2,-9.3,37580,EN,0,1.3
cana,1996,19900,-55,-58.1,34240,LN,0,-0.9
cana,1997,25795,-38.5,29.6,32024,N,0,-0.2
cana,1998,30038,-23.4,16.4,30908,EN,1,2.2
cana,1999,31549,-15.4,5,30778,LN,1,-1.5
cana,2000,31881,-12.3,1.1,31463,LN,1,-1.7
cana,2001,37487,4.5,17.6,32745,LN,0,-0.6
cana,2002,37665,5.5,0.5,34373,N,0,-0.1
cana,2003,38797,8.3,3,36086,EN,0,0.9
cana,2004,36620,-0.1,-5.6,37667,N,0,0.3
cana,2005,36010,-5.7,-1.7,38992,EN,0,0.6
cana,2006,38494,-2.6,6.9,40052,LN,0,-0.9
cana,2007,41407,1.8,7.6,40934,EN,0,0.6
cana,2008,41849,-0.1,1.1,41773,LN,1,-1.6
cana,2009,40698,-5.3,-2.8,42689,LN,0,-0.9
cana,2010,44371,0.7,9,43745,EN,1,1.5
cana,2011,47862,5.8,7.9,44923,LN,0,-1.4
cana,2012,46017,-0.4,-3.9,46123,LN,0,-0.8
cana,2013,47116,0.6,2.4,47198,LN,0,-0.6
cana,2014,49240,4.1,4.5,48004,LN,0,-0.5
cana,2015,47899,0.2,-2.7,48451,EN,0,0.5
cana,2016,49010,1.5,2.3,48547,EN,1,2.2
cana,2017,48385,-0.7,-1.3,48397,LN,0,-0.7
cana,2018,45087,-8.2,-6.8,48175,LN,0,-1.1
cana,2019,48221,-2.4,7,48066,EN,0,0.6
cana,2020,48804,-1.7,1.2,48223,N,0,0.1
cana,2021,50139,0.6,2.7,48724,LN,0,-1.2
cana,2022,48474,-3.1,-3.3,49566,LN,0,-1.2
cana,2023,51884,3.5,7,50669,LN,0,-0.8
cana,2024,51275,2.1,-1.2,51916,EN,0,1.2
feijao,1974,737,-4.8,,734,LN,1,-1.9
feijao,1975,915,21,24.2,725,N,0,-0.2
feijao,1976,626,-15.4,-31.6,716,LN,0,-1.1
feijao,1977,712,-1.9,13.7,708,EN,0,1.1
feijao,1978,631,-11.5,-11.4,700,EN,0,1.1
feijao,1979,828,18,31.2,692,N,0,0.2
feijao,1980,503,-27.4,-39.3,686,EN,0,0.7
feijao,1981,870,26.9,73,681,N,0,0.2
feijao,1982,871,28,0.1,677,N,0,0
feijao,1983,464,-31.6,-46.7,675,EN,1,2.5
feijao,1984,788,16.4,69.8,675,LN,0,-1
feijao,1985,769,13.6,-2.4,677,LN,0,-1
feijao,1986,492,-27.7,-36,682,N,0,-0.2
feijao,1987,665,-3.6,35.2,689,EN,1,1.5
feijao,1988,698,-0.9,5,699,EN,0,0.9
feijao,1989,758,5.1,8.6,712,LN,1,-1.9
feijao,1990,695,-5.9,-8.3,728,N,0,0
feijao,1991,527,-30.6,-24.2,746,EN,0,0.5
feijao,1992,960,22.3,82.2,767,EN,1,2.1
feijao,1993,831,2.4,-13.4,791,N,0,0.3
feijao,1994,974,16.2,17.2,817,N,0,0.3
feijao,1995,879,1.3,-9.8,845,EN,0,1.4
feijao,1996,867,-3.5,-1.4,875,LN,0,-0.9
feijao,1997,952,3,9.8,908,N,0,-0.3
feijao,1998,746,-21.4,-21.6,943,EN,1,2.3
feijao,1999,878,-10.4,17.7,980,LN,1,-1.6
feijao,2000,1071,5.1,22,1020,LN,1,-1.6
feijao,2001,1144,7.6,6.8,1062,LN,0,-0.7
feijao,2002,1131,1.9,-1.1,1107,N,0,-0.3
feijao,2003,1285,11.1,13.6,1154,EN,0,1.2
feijao,2004,1069,-11.5,-16.8,1202,N,0,0.3
feijao,2005,1037,-18,-3,1252,EN,0,0.7
feijao,2006,1283,-2.6,23.7,1303,LN,0,-0.8
feijao,2007,1657,21.6,29.2,1353,EN,0,0.9
feijao,2008,1686,19.8,1.8,1402,LN,1,-1.5
feijao,2009,1383,-4.8,-18,1450,LN,0,-0.8
feijao,2010,1517,0.8,9.7,1495,EN,1,1.6
feijao,2011,1509,-3.5,-0.5,1537,LN,1,-1.6
feijao,2012,1371,-14.9,-9.1,1576,LN,0,-1
feijao,2013,1695,2.8,23.6,1612,N,0,-0.4
feijao,2014,1649,-1.9,-2.7,1644,N,0,-0.3
feijao,2015,1810,6,9.8,1672,EN,0,0.6
feijao,2016,1731,0.2,-4.4,1697,EN,1,2.4
feijao,2017,1948,11.9,12.5,1718,LN,0,-1
feijao,2018,1757,0.4,-9.8,1734,LN,0,-1.3
feijao,2019,1757,0.2,0,1748,EN,0,0.7
feijao,2020,1737,-0.8,-1.1,1758,N,0,0.2
feijao,2021,1653,-5.1,-4.8,1765,LN,0,-1.4
feijao,2022,1599,-7.5,-3.3,1771,LN,0,-1.2
feijao,2023,1895,11,18.5,1775,LN,0,-1
feijao,2024,1654,-1.6,-12.7,1779,EN,1,1.5
milho,1974,2369,-0.4,,2234,LN,1,-1.9
milho,1975,2240,-3.8,-5.4,2221,N,0,-0.2
milho,1976,2440,6.7,8.9,2208,LN,0,-1.1
milho,1977,2514,11.6,3,2198,EN,0,1.1
milho,1978,1579,-29.1,-37.2,2189,EN,0,1.1
milho,1979,1762,-20.2,11.6,2185,N,0,0.2
milho,1980,2670,21.4,51.5,2185,EN,0,0.7
milho,1981,2750,25,3,2190,N,0,0.2
milho,1982,2371,7.4,-13.8,2200,N,0,0
milho,1983,1588,-28.7,-33,2216,EN,1,2.5
milho,1984,2501,11,57.5,2238,LN,0,-1
milho,1985,2316,1.3,-7.4,2267,LN,0,-1
milho,1986,2112,-9.5,-8.8,2304,N,0,-0.2
milho,1987,2404,0.3,13.8,2349,EN,1,1.5
milho,1988,2400,-3,-0.2,2403,EN,0,0.9
milho,1989,2677,4.5,11.5,2468,LN,1,-1.9
milho,1990,2644,-0.3,-1.2,2544,N,0,0
milho,1991,1583,-42.6,-40.1,2632,EN,0,0.5
milho,1992,3025,5.2,91.1,2732,EN,1,2.1
milho,1993,3139,4.8,3.8,2842,N,0,0.3
milho,1994,3216,3.1,2.5,2962,N,0,0.3
milho,1995,3457,6.3,7.5,3090,EN,0,1.4
milho,1996,3087,-8.7,-10.7,3225,LN,0,-0.9
milho,1997,3595,2.8,16.5,3364,N,0,-0.3
milho,1998,3372,-6.5,-6.2,3506,EN,1,2.3
milho,1999,3484,-6.6,3.3,3652,LN,1,-1.6
milho,2000,4122,7.1,18.3,3800,LN,1,-1.6
milho,2001,4404,11.1,6.8,3953,LN,0,-0.7
milho,2002,3876,-5.2,-12,4112,N,0,-0.3
milho,2003,5034,18.5,29.9,4280,EN,0,1.2
milho,2004,4157,-6.4,-17.4,4459,N,0,0.3
milho,2005,3689,-20.6,-11.3,4653,EN,0,0.7
milho,2006,3893,-20,5.5,4861,LN,0,-0.8
milho,2007,5463,6.7,40.3,5085,EN,0,0.9
milho,2008,5713,5.8,4.6,5324,LN,1,-1.5
milho,2009,5003,-11.8,-12.4,5573,LN,0,-0.8
milho,2010,6276,4.9,25.4,5828,EN,1,1.6
milho,2011,6735,6.3,7.3,6083,LN,1,-1.6
milho,2012,5541,-16.5,-17.7,6331,LN,0,-1
milho,2013,6868,-0.5,23.9,6563,N,0,-0.4
milho,2014,7217,0.7,5.1,6771,N,0,-0.3
milho,2015,7606,3.5,5.4,6948,EN,0,0.6
milho,2016,7022,-5.8,-7.7,7090,EN,1,2.4
milho,2017,8285,10.2,18,7193,LN,0,-1
milho,2018,7732,2.6,-6.7,7257,LN,0,-1.3
milho,2019,8041,7.3,4,7284,EN,0,0.7
milho,2020,7904,6.6,-1.7,7281,N,0,0.2
milho,2021,5983,-17.8,-24.3,7254,LN,0,-1.4
milho,2022,6364,-10.2,6.4,7209,LN,0,-1.2
milho,2023,7852,14.7,23.4,7156,LN,0,-1
milho,2024,6190,-5.6,-21.2,7098,EN,1,1.5
milho1,2003,5034,9.4,,4123,EN,0,1.2
milho1,2004,4157,-4.9,-17.4,4302,N,0,0.3
milho1,2005,3689,-15,-11.3,4493,EN,0,0.7
milho1,2006,3893,-13.4,5.5,4702,LN,0,-0.8
milho1,2007,5463,14,40.3,4935,EN,0,0.9
milho1,2008,5713,6.1,4.6,5197,LN,1,-1.5
milho1,2009,5003,-12.6,-12.4,5487,LN,0,-0.8
milho1,2010,6276,4.8,25.4,5802,EN,1,1.6
milho1,2011,6735,9.3,7.3,6132,LN,1,-1.6
milho1,2012,5541,-14.3,-17.7,6462,LN,0,-1
milho1,2013,6868,1.6,23.9,6774,N,0,-0.4
milho1,2014,7217,1.9,5.1,7049,N,0,-0.3
milho1,2015,7606,2.7,5.4,7269,EN,0,0.6
milho1,2016,7022,-8.3,-7.7,7421,EN,1,2.4
milho1,2017,8285,5,18,7499,LN,0,-1
milho1,2018,7732,-3.4,-6.7,7505,LN,0,-1.3
milho1,2019,8041,2.3,4,7447,EN,0,0.7
milho1,2020,7904,4.4,-1.7,7338,N,0,0.2
milho1,2021,5983,-17.6,-24.3,7195,LN,0,-1.4
milho1,2022,6364,-8.7,6.4,7031,LN,0,-1.2
milho1,2023,7949,19.1,24.9,6859,LN,0,-1
milho1,2024,6215,-2.4,-21.8,6687,EN,1,1.5
milho2,2023,5091,,,,N,0,-0.4
milho2,2024,5446,,7,,EN,0,0.5
soja,1974,1182,-5.7,,1152,LN,1,-1.9
soja,1975,1292,5.6,9.3,1152,N,0,-0.2
soja,1976,1208,0.7,-6.5,1153,LN,0,-1.1
soja,1977,1359,14.9,12.5,1155,EN,0,1.1
soja,1978,868,-25.8,-36.1,1159,EN,0,1.1
soja,1979,894,-23.3,3,1167,N,0,0.2
soja,1980,1381,18.4,54.5,1177,EN,0,0.7
soja,1981,1340,14.2,-3,1192,N,0,0.2
soja,1982,1200,1.1,-10.4,1210,N,0,0
soja,1983,1128,-6.7,-6,1231,EN,1,2.5
soja,1984,1370,10.8,21.5,1257,LN,0,-1
soja,1985,1342,5.8,-2,1287,LN,0,-1
soja,1986,1302,-0.6,-3,1322,N,0,-0.2
soja,1987,1259,-7.8,-3.3,1362,EN,1,1.5
soja,1988,1345,-6.1,6.8,1410,EN,0,0.9
soja,1989,1514,0.4,12.6,1466,LN,1,-1.9
soja,1990,1468,-7.6,-3,1530,N,0,0
soja,1991,953,-43.7,-35.1,1603,EN,0,0.5
soja,1992,1803,-0.9,89.2,1684,EN,1,2.1
soja,1993,1976,2.4,9.6,1771,N,0,0.3
soja,1994,1999,-1.7,1.2,1860,N,0,0.3
soja,1995,2177,1.5,8.9,1950,EN,0,1.4
soja,1996,2419,8.2,11.1,2036,LN,0,-0.9
soja,1997,2403,4.5,-0.7,2115,N,0,-0.3
soja,1998,2355,0.1,-2,2184,EN,1,2.3
soja,1999,2143,-10.7,-9,2243,LN,1,-1.6
soja,2000,2470,1.8,15.3,2292,LN,1,-1.6
soja,2001,2687,10.5,8.8,2334,LN,0,-0.7
soja,2002,2207,-9.4,-17.9,2372,N,0,-0.3
