cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,2271,2.7,,LN,1,-1.9
arroz,1975,2301,2.9,1.3,N,0,-0.4
arroz,1976,2100,-7.4,-8.7,LN,0,-1.1
arroz,1977,2100,-8.8,0,EN,0,1.1
arroz,1978,2537,8.2,20.8,EN,0,1.1
arroz,1979,2633,10,3.8,N,0,0.2
arroz,1980,2351,-3.9,-10.7,EN,0,0.7
arroz,1981,2301,-8.1,-2.1,N,0,-0.3
arroz,1982,2762,7.5,20,N,0,0.4
arroz,1983,2226,-15.6,-19.4,EN,1,2.5
arroz,1984,2897,6.8,30.1,LN,0,-1.1
arroz,1985,2878,3.1,-0.7,LN,0,-1
arroz,1986,2875,0,-0.1,N,0,-0.3
arroz,1987,2845,-4,-1,EN,1,1.6
arroz,1988,3147,2.8,10.6,EN,0,1.3
arroz,1989,3037,-3.9,-3.5,LN,1,-1.9
arroz,1990,3357,3,10.5,N,0,0.3
arroz,1991,3371,0.3,0.4,EN,0,0.6
arroz,1992,3258,-6,-3.4,EN,1,2.3
arroz,1993,3904,9.5,19.8,EN,0,0.9
arroz,1994,3800,3.9,-2.7,N,0,0.4
arroz,1995,3366,-10.4,-11.4,EN,0,1.4
arroz,1996,2989,-22.3,-11.2,LN,0,-0.9
arroz,1997,3982,1.6,33.2,N,0,-0.3
arroz,1998,4401,10.5,10.5,EN,1,2.4
arroz,1999,4320,6.6,-1.8,LN,1,-1.6
arroz,2000,3838,-6.8,-11.2,LN,1,-1.7
arroz,2001,4003,-3.9,4.3,LN,0,-0.7
arroz,2002,4320,2.4,7.9,N,0,-0.3
arroz,2003,4416,2.7,2.2,EN,1,1.5
arroz,2004,4414,0.8,0,N,0,0.3
arroz,2005,4383,-1.5,-0.7,EN,0,0.8
arroz,2006,4563,-0.1,4.1,LN,0,-0.9
arroz,2007,4628,-2.3,1.4,EN,0,0.9
arroz,2008,5090,3,10,LN,1,-1.6
arroz,2009,4979,-3.5,-2.2,LN,0,-0.9
arroz,2010,5105,-5.8,2.5,EN,1,1.6
arroz,2011,5157,-10,1,LN,1,-1.7
arroz,2012,6380,6.1,23.7,LN,0,-1
arroz,2013,6582,4.6,3.2,LN,0,-0.6
arroz,2014,7232,9.8,9.9,N,0,-0.5
arroz,2015,6157,-10,-14.9,EN,0,0.6
arroz,2016,7218,2.2,17.2,EN,1,2.4
arroz,2017,7838,7.7,8.6,LN,0,-1.1
arroz,2018,7940,6.2,1.3,LN,0,-1.3
arroz,2019,7755,1.4,-2.3,EN,0,0.8
arroz,2020,7392,-5.4,-4.7,N,0,0.2
arroz,2021,8362,5,13.1,LN,1,-1.5
arroz,2022,7870,-2.7,-5.9,LN,0,-1.3
arroz,2023,7925,-3.3,0.7,LN,0,-1.1
arroz,2024,8386,1.2,5.8,EN,1,1.5
cana,1974,55113,5.3,,LN,1,-1.9
cana,1975,53000,-0.7,-3.8,N,0,-0.4
cana,1976,46090,-15.2,-13,LN,0,-1.1
cana,1977,55000,-0.4,19.3,EN,0,1.1
cana,1978,58001,3.4,5.5,EN,0,1.1
cana,1979,56103,-1.3,-3.3,N,0,0.2
cana,1980,57350,-0.3,2.2,EN,0,0.7
cana,1981,57518,-1.1,0.3,N,0,-0.3
cana,1982,55745,-5.1,-3.1,N,0,0.4
cana,1983,47736,-19.3,-14.4,EN,1,2.5
cana,1984,56250,-5.5,17.8,LN,0,-1.1
cana,1985,60554,1.2,7.7,LN,0,-1
cana,1986,62719,4.5,3.6,N,0,-0.3
cana,1987,63490,6.2,1.2,EN,1,1.6
cana,1988,60885,2.9,-4.1,EN,0,1.3
cana,1989,62181,6.1,2.1,LN,1,-1.9
cana,1990,57269,-1.6,-7.9,N,0,0.3
cana,1991,55121,-4.4,-3.8,EN,0,0.6
cana,1992,53407,-6,-3.1,EN,1,2.3
cana,1993,53823,-4.7,0.8,EN,0,0.9
cana,1994,58507,3.2,8.7,N,0,0.4
cana,1995,57170,-0.1,-2.3,EN,0,1.4
cana,1996,54866,-5.1,-4,LN,0,-0.9
cana,1997,60101,1.9,9.5,N,0,-0.3
cana,1998,60575,0,0.8,EN,1,2.4
cana,1999,60672,-1.8,0.2,LN,1,-1.6
cana,2000,64264,2.7,5.9,LN,1,-1.7
cana,2001,64703,2.1,0.7,LN,0,-0.7
cana,2002,66275,3.5,2.4,N,0,-0.3
cana,2003,63883,-1,-3.6,EN,1,1.5
cana,2004,67316,4.1,5.4,N,0,0.3
cana,2005,66154,2.4,-1.7,EN,0,0.8
cana,2006,61391,-4.9,-7.2,LN,0,-0.9
