cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1252,20.6,,LN,1,-1.9
arroz,1975,974,-10.2,-22.2,N,0,-0.4
arroz,1976,1386,22.5,42.3,LN,0,-1.1
arroz,1977,1037,-12.1,-25.2,EN,0,1.1
arroz,1978,720,-41.5,-30.6,EN,0,1.1
arroz,1979,1025,-20.1,42.4,N,0,0.2
arroz,1980,1400,4.8,36.6,EN,0,0.7
arroz,1981,1206,-13.2,-13.9,N,0,-0.3
arroz,1982,1500,3.8,24.4,N,0,0.4
arroz,1983,1848,23.4,23.2,EN,1,2.5
arroz,1984,1170,-24.9,-36.7,LN,0,-1.1
arroz,1985,1665,2.3,42.3,LN,0,-1
arroz,1986,1735,3,4.2,N,0,-0.3
arroz,1987,1821,5.7,5,EN,1,1.6
arroz,1988,1853,6,1.8,EN,0,1.3
arroz,1989,1895,7.1,2.3,LN,1,-1.9
arroz,1990,1413,-21.4,-25.4,N,0,0.3
arroz,1991,1749,-3.9,23.8,EN,0,0.6
arroz,1992,1780,-3,1.8,EN,1,2.3
arroz,1993,1895,1.7,6.5,EN,0,0.9
arroz,1994,1945,2,2.6,N,0,0.4
arroz,1995,1948,-0.2,0.2,EN,0,1.4
arroz,1996,2045,1.6,5,LN,0,-0.9
arroz,1997,2188,4.5,7,N,0,-0.3
arroz,1998,2184,-0.2,-0.2,EN,1,2.4
arroz,1999,1776,-22.3,-18.7,LN,1,-1.6
arroz,2000,1835,-23,3.3,LN,1,-1.7
arroz,2001,2583,4.1,40.8,LN,0,-0.7
arroz,2002,2740,5.8,6.1,N,0,-0.3
arroz,2003,2904,6.9,6,EN,1,1.5
arroz,2004,2966,3.4,2.1,N,0,0.3
arroz,2005,2891,-4.7,-2.5,EN,0,0.8
arroz,2006,2865,-10.6,-0.9,LN,0,-0.9
arroz,2007,3280,-3.2,14.5,EN,0,0.9
arroz,2008,3625,1,10.5,LN,1,-1.6
arroz,2009,3718,-1.6,2.6,LN,0,-0.9
arroz,2010,4098,3.1,10.2,EN,1,1.6
arroz,2011,4230,1,3.2,LN,1,-1.7
arroz,2012,4588,4.9,8.5,LN,0,-1
arroz,2013,3858,-14.9,-15.9,LN,0,-0.6
arroz,2014,4357,-7.1,12.9,N,0,-0.5
arroz,2015,5085,5.6,16.7,EN,0,0.6
arroz,2016,5535,12.6,8.8,EN,1,2.4
arroz,2017,5516,10.2,-0.3,LN,0,-1.1
arroz,2018,4953,-2.3,-10.2,LN,0,-1.3
arroz,2019,4993,-2.5,0.8,EN,0,0.8
arroz,2020,5221,1.4,4.6,N,0,0.2
arroz,2021,5423,5.1,3.9,LN,1,-1.5
arroz,2022,4955,-3.8,-8.6,LN,0,-1.3
arroz,2023,4840,-5.5,-2.3,LN,0,-1.1
arroz,2024,5266,3.7,8.8,EN,1,1.5
cana,1974,54839,-2.8,,LN,1,-1.9
cana,1975,57327,-3,4.5,N,0,-0.4
cana,1976,63500,3.1,10.8,LN,0,-1.1
cana,1977,65495,2.6,3.1,EN,0,1.1
cana,1978,66935,1.6,2.2,EN,0,1.1
cana,1979,67075,-1,0.2,N,0,0.2
cana,1980,72448,4.4,8,EN,0,0.7
cana,1981,65645,-7.3,-9.4,N,0,-0.3
cana,1982,71978,-0.1,9.6,N,0,0.4
cana,1983,76000,4,5.6,EN,1,2.5
cana,1984,74194,0.4,-2.4,LN,0,-1.1
cana,1985,75545,1.5,1.8,LN,0,-1
cana,1986,69203,-7.6,-8.4,N,0,-0.3
cana,1987,75517,0.2,9.1,EN,1,1.6
cana,1988,75839,0.3,0.4,EN,0,1.3
cana,1989,73962,-2.5,-2.5,LN,1,-1.9
cana,1990,76069,-0.1,2.8,N,0,0.3
cana,1991,73526,-3.9,-3.3,EN,0,0.6
cana,1992,77004,0.3,4.7,EN,1,2.3
cana,1993,78411,1.7,1.8,EN,0,0.9
cana,1994,80112,3.7,2.2,N,0,0.4
cana,1995,77454,0.1,-3.3,EN,0,1.4
cana,1996,77138,-0.6,-0.4,LN,0,-0.9
cana,1997,79314,2,2.8,N,0,-0.3
cana,1998,77888,0,-1.8,EN,1,2.4
cana,1999,77160,-1.3,-0.9,LN,1,-1.6
cana,2000,76079,-3.3,-1.4,LN,1,-1.7
cana,2001,77491,-2.3,1.9,LN,0,-0.7
cana,2002,79937,-0.1,3.2,N,0,-0.3
cana,2003,80913,0.4,1.2,EN,1,1.5
cana,2004,81146,-0.3,0.3,N,0,0.3
cana,2005,82603,0.2,1.8,EN,0,0.8
cana,2006,82751,-0.4,0.2,LN,0,-0.9
cana,2007,84591,1.4,2.2,EN,0,0.9
cana,2008,85208,1.9,0.7,LN,1,-1.6
cana,2009,85424,2.1,0.3,LN,0,-0.9
cana,2010,85543,2.7,0.1,EN,1,1.6
cana,2011,82093,-0.6,-4,LN,1,-1.7
cana,2012,78829,-3.9,-4,LN,0,-1
cana,2013,80397,-1.2,2,LN,0,-0.6
cana,2014,72103,-10.5,-10.3,N,0,-0.5
cana,2015,76602,-4.1,6.2,EN,0,0.6
cana,2016,79141,-0.3,3.3,EN,1,2.4
cana,2017,79217,0.4,0.1,LN,0,-1.1
cana,2018,78033,-0.6,-1.5,LN,0,-1.3
cana,2019,77174,-1.2,-1.1,EN,0,0.8
cana,2020,78288,0.6,1.4,N,0,0.2
cana,2021,74142,-4.4,-5.3,LN,1,-1.5
cana,2022,76620,-0.9,3.3,LN,0,-1.3
cana,2023,80066,3.7,4.5,LN,0,-1.1
cana,2024,77532,0.5,-3.2,EN,1,1.5
feijao,1974,454,-7.1,,LN,1,-1.9
feijao,1975,467,-7.6,2.9,N,0,-0.4
feijao,1976,583,11.6,24.8,LN,0,-1.1
feijao,1977,577,6.9,-1,EN,0,1.1
feijao,1978,474,-15,-17.9,EN,0,1.1
feijao,1979,655,13.7,38.2,N,0,0.2
feijao,1980,616,3.5,-6,EN,0,0.7
feijao,1981,660,7.3,7.1,N,0,-0.3
feijao,1982,683,7.5,3.5,N,0,0.4
feijao,1983,585,-11,-14.3,EN,1,2.5
feijao,1984,622,-8.3,6.3,LN,0,-1.1
feijao,1985,777,11.3,24.9,LN,0,-1
feijao,1986,656,-9.1,-15.6,N,0,-0.3
feijao,1987,637,-15,-2.9,EN,1,1.6
feijao,1988,882,13,38.5,EN,0,1.3
feijao,1989,878,8,-0.5,LN,1,-1.9
feijao,1990,739,-12.5,-15.8,N,0,0.3
feijao,1991,905,3.6,22.5,EN,0,0.6
feijao,1992,933,3.3,3.1,EN,1,2.3
feijao,1993,1106,18.3,18.5,EN,0,0.9
feijao,1994,884,-8.7,-20.1,N,0,0.4
feijao,1995,1000,-0.1,13.1,EN,0,1.4
feijao,1996,955,-8.1,-4.5,LN,0,-0.9
feijao,1997,1039,-4,8.8,N,0,-0.3
feijao,1998,1220,8,17.4,EN,1,2.4
feijao,1999,1123,-4.6,-8,LN,1,-1.6
feijao,2000,1121,-8.7,-0.2,LN,1,-1.7
feijao,2001,1461,13.7,30.3,LN,0,-0.7
feijao,2002,1395,3.9,-4.5,N,0,-0.3
feijao,2003,1366,-2.4,-2.1,EN,1,1.5
feijao,2004,1484,2.2,8.6,N,0,0.3
feijao,2005,1492,-0.8,0.5,EN,0,0.8
feijao,2006,1546,-0.8,3.6,LN,0,-0.9
feijao,2007,1577,-1.9,2,EN,0,0.9
feijao,2008,1580,-4.3,0.2,LN,1,-1.6
feijao,2009,1925,12.6,21.8,LN,0,-0.9
feijao,2010,2057,15.2,6.9,EN,1,1.6
feijao,2011,1661,-11.1,-19.3,LN,1,-1.7
feijao,2012,1850,-5.3,11.4,LN,0,-1
feijao,2013,1887,-8.1,2,LN,0,-0.6
feijao,2014,2071,-4.4,9.8,N,0,-0.5
