cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,1024,-9.9,,LN,1,-1.9
arroz,1975,1143,1.8,11.6,N,0,-0.4
arroz,1976,1169,4.7,2.3,LN,0,-1.1
arroz,1977,1221,9.5,4.4,EN,0,1.1
arroz,1978,1027,-8.3,-15.9,EN,0,1.1
arroz,1979,1223,8.2,19.1,N,0,0.2
arroz,1980,1274,11,4.2,EN,0,0.7
arroz,1981,1001,-14.5,-21.4,N,0,-0.3
arroz,1982,1360,13.5,35.9,N,0,0.4
arroz,1983,1047,-15.2,-23,EN,1,2.5
arroz,1984,1148,-9.9,9.6,LN,0,-1.1
arroz,1985,1396,5.9,21.6,LN,0,-1
arroz,1986,1551,13.1,11.1,N,0,-0.3
arroz,1987,1395,-3.3,-10.1,EN,1,1.6
arroz,1988,1482,-2.9,6.2,EN,0,1.3
arroz,1989,1697,5,14.5,LN,1,-1.9
arroz,1990,1492,-12.4,-12.1,N,0,0.3
arroz,1991,1904,5.8,27.6,EN,0,0.6
arroz,1992,1805,-5.2,-5.2,EN,1,2.3
arroz,1993,1840,-8.1,1.9,EN,0,0.9
arroz,1994,2374,12.8,29,N,0,0.4
arroz,1995,2493,12.4,5,EN,0,1.4
arroz,1996,1903,-17.7,-23.7,LN,0,-0.9
arroz,1997,2301,-3.3,20.9,N,0,-0.3
arroz,1998,2450,0.4,6.5,EN,1,2.4
arroz,1999,2676,7.5,9.2,LN,1,-1.6
arroz,2000,2638,5.4,-1.4,LN,1,-1.7
arroz,2001,2653,6.9,0.6,LN,0,-0.7
arroz,2002,2230,-9.4,-15.9,N,0,-0.3
arroz,2003,2748,11,23.2,EN,1,1.5
arroz,2004,2580,3.7,-6.1,N,0,0.3
arroz,2005,2341,-5.9,-9.3,EN,0,0.8
arroz,2006,2160,-15.1,-7.7,LN,0,-0.9
arroz,2007,2512,-5.6,16.3,EN,0,0.9
arroz,2008,2688,-4.2,7,LN,1,-1.6
arroz,2009,2941,-1.2,9.4,LN,0,-0.9
arroz,2010,3243,1,10.3,EN,1,1.6
arroz,2011,3529,1,8.8,LN,1,-1.7
arroz,2012,3133,-16.4,-11.2,LN,0,-1
arroz,2013,4259,7.2,35.9,LN,0,-0.6
arroz,2014,4700,11.6,10.4,N,0,-0.5
arroz,2015,5184,17.1,10.3,EN,0,0.6
arroz,2016,4822,4.3,-7,EN,1,2.4
arroz,2017,6228,29.3,29.2,LN,0,-1.1
arroz,2018,5823,16.6,-6.5,LN,0,-1.3
arroz,2019,5177,0.4,-11.1,EN,0,0.8
arroz,2020,5367,1.1,3.7,N,0,0.2
arroz,2021,5366,-1.4,0,LN,1,-1.5
arroz,2022,4925,-11.5,-8.2,LN,0,-1.3
arroz,2023,5615,-0.9,14,LN,0,-1.1
