uf,cultura,mes_plantio,mes_centro,ano_offset,janela_label,origem
AC,arroz,out,12,-1,nov–dez–jan,conab
AL,arroz,nov,1,0,dez–jan–fev,conab
AM,arroz,jan,3,0,fev–mar–abr,conab
AP,arroz,jan,3,0,fev–mar–abr,conab
BA,arroz,out,12,-1,nov–dez–jan,moda
CE,arroz,jan,3,0,fev–mar–abr,conab
DF,arroz,out,12,-1,nov–dez–jan,moda
ES,arroz,out,12,-1,nov–dez–jan,conab
GO,arroz,out,12,-1,nov–dez–jan,conab
MA,arroz,nov,1,0,dez–jan–fev,conab
MG,arroz,out,12,-1,nov–dez–jan,conab
MS,arroz,out,12,-1,nov–dez–jan,conab
MT,arroz,nov,1,0,dez–jan–fev,conab
PA,arroz,out,12,-1,nov–dez–jan,conab
PB,arroz,jan,3,0,fev–mar–abr,conab
PE,arroz,fev,4,0,mar–abr–mai,conab
PI,arroz,dez,2,0,jan–fev–mar,conab
PR,arroz,out,12,-1,nov–dez–jan,conab
RJ,arroz,out,12,-1,nov–dez–jan,conab
RN,arroz,jan,3,0,fev–mar–abr,conab
RO,arroz,nov,1,0,dez–jan–fev,conab
RR,arroz,out,12,-1,nov–dez–jan,conab
RS,arroz,out,12,-1,nov–dez–jan,conab
SC,arroz,out,12,-1,nov–dez–jan,conab
SE,arroz,jan,3,0,fev–mar–abr,conab
SP,arroz,out,12,-1,nov–dez–jan,conab
TO,arroz,out,12,-1,nov–dez–jan,conab
AC,feijao,out,12,-1,nov–dez–jan,moda
AL,feijao,out,12,-1,nov–dez–jan,moda
AM,feijao,out,12,-1,nov–dez–jan,conab
AP,feijao,out,12,-1,nov–dez–jan,moda
BA,feijao,out,12,-1,nov–dez–jan,conab
CE,feijao,out,12,-1,nov–dez–jan,moda
DF,feijao,out,12,-1,nov–dez–jan,conab
ES,feijao,out,12,-1,nov–dez–jan,conab
GO,feijao,out,12,-1,nov–dez–jan,conab
MA,feijao,dez,2,0,jan–fev–mar,conab
MG,feijao,out,12,-1,nov–dez–jan,conab
MS,feijao,out,12,-1,nov–dez–jan,moda
MT,feijao,nov,1,0,dez–jan–fev,conab
PA,feijao,nov,1,0,dez–jan–fev,conab
PB,feijao,out,12,-1,nov–dez–jan,moda
PE,feijao,out,12,-1,nov–dez–jan,moda
PI,feijao,dez,2,0,jan–fev–mar,conab
PR,feijao,out,12,-1,nov–dez–jan,conab
RJ,feijao,out,12,-1,nov–dez–jan,conab
RN,feijao,out,12,-1,nov–dez–jan,moda
RO,feijao,out,12,-1,nov–dez–jan,moda
RR,feijao,out,12,-1,nov–dez–jan,moda
RS,feijao,out,12,-1,nov–dez–jan,conab
SC,feijao,out,12,-1,nov–dez–jan,conab
SE,feijao,out,12,-1,nov–dez–jan,moda
SP,feijao,jul,9,0,ago–set–out,conab
TO,feijao,nov,1,0,dez–jan–fev,conab
AC,milho1,out,12,-1,nov–dez–jan,conab
AL,milho1,out,12,-1,nov–dez–jan,moda
AM,milho1,out,12,-1,nov–dez–jan,conab
AP,milho1,out,12,-1,nov–dez–jan,moda
BA,milho1,out,12,-1,nov–dez–jan,conab
CE,milho1,out,12,-1,nov–dez–jan,moda
DF,milho1,out,12,-1,nov–dez–jan,conab
ES,milho1,out,12,-1,nov–dez–jan,conab
GO,milho1,out,12,-1,nov–dez–jan,conab
MA,milho1,nov,1,0,dez–jan–fev,conab
MG,milho1,out,12,-1,nov–dez–jan,conab
MS,milho1,out,12,-1,nov–dez–jan,conab
MT,milho1,out,12,-1,nov–dez–jan,conab
PA,milho1,out,12,-1,nov–dez–jan,conab
PB,milho1,out,12,-1,nov–dez–jan,moda
PE,milho1,out,12,-1,nov–dez–jan,moda
PI,milho1,nov,1,0,dez–jan–fev,conab
PR,milho1,out,12,-1,nov–dez–jan,conab
RJ,milho1,out,12,-1,nov–dez–jan,conab
RN,milho1,out,12,-1,nov–dez–jan,moda
RO,milho1,out,12,-1,nov–dez–jan,conab
RR,milho1,out,12,-1,nov–dez–jan,moda
RS,milho1,out,12,-1,nov–dez–jan,conab
SC,milho1,out,12,-1,nov–dez–jan,conab
SE,milho1,out,12,-1,nov–dez–jan,moda
SP,milho1,out,12,-1,nov–dez–jan,conab
TO,milho1,nov,1,0,dez–jan–fev,conab
AC,milho2,jan,3,0,fev–mar–abr,moda
AL,milho2,jan,3,0,fev–mar–abr,moda
AM,milho2,jan,3,0,fev–mar–abr,moda
AP,milho2,jan,3,0,fev–mar–abr,moda
BA,milho2,mar,5,0,abr–mai–jun,conab
CE,milho2,jan,3,0,fev–mar–abr,conab
DF,milho2,fev,4,0,mar–abr–mai,conab
ES,milho2,jan,3,0,fev–mar–abr,moda
GO,milho2,jan,3,0,fev–mar–abr,conab
MA,milho2,fev,4,0,mar–abr–mai,conab
MG,milho2,jan,3,0,fev–mar–abr,conab
MS,milho2,jan,3,0,fev–mar–abr,conab
MT,milho2,jan,3,0,fev–mar–abr,conab
PA,milho2,jan,3,0,fev–mar–abr,moda
PB,milho2,jan,3,0,fev–mar–abr,conab
PE,milho2,dez,2,0,jan–fev–mar,conab
PI,milho2,mar,5,0,abr–mai–jun,conab
PR,milho2,jan,3,0,fev–mar–abr,conab
RJ,milho2,jan,3,0,fev–mar–abr,moda
RN,milho2,fev,4,0,mar–abr–mai,conab
RO,milho2,jan,3,0,fev–mar–abr,conab
RR,milho2,jan,3,0,fev–mar–abr,moda
RS,milho2,jan,3,0,fev–mar–abr,moda
SC,milho2,jan,3,0,fev–mar–abr,moda
SE,milho2,jan,3,0,fev–mar–abr,moda
SP,milho2,fev,4,0,mar–abr–mai,conab
TO,milho2,jan,3,0,fev–mar–abr,conab
AC,soja,out,12,-1,nov–dez–jan,moda
AL,soja,abr,6,0,mai–jun–jul,conab
AM,soja,out,12,-1,nov–dez–jan,moda
AP,soja,fev,4,0,mar–abr–mai,conab
BA,soja,out,12,-1,nov–dez–jan,conab
CE,soja,out,12,-1,nov–dez–jan,moda
DF,soja,out,12,-1,nov–dez–jan,conab
ES,soja,out,12,-1,nov–dez–jan,moda
GO,soja,out,12,-1,nov–dez–jan,conab
MA,soja,out,12,-1,nov–dez–jan,conab
MG,soja,out,12,-1,nov–dez–jan,conab
MS,soja,out,12,-1,nov–dez–jan,conab
MT,soja,out,12,-1,nov–dez–jan,conab
PA,soja,out,12,-1,nov–dez–jan,conab
PB,soja,out,12,-1,nov–dez–jan,moda
PE,soja,out,12,-1,nov–dez–jan,moda
PI,soja,out,12,-1,nov–dez–jan,conab
PR,soja,out,12,-1,nov–dez–jan,conab
RJ,soja,out,12,-1,nov–dez–jan,moda
RN,soja,out,12,-1,nov–dez–jan,moda
RO,soja,out,12,-1,nov–dez–jan,conab
RR,soja,abr,6,0,mai–jun–jul,conab
RS,soja,out,12,-1,nov–dez–jan,conab
SC,soja,out,12,-1,nov–dez–jan,conab
SE,soja,out,12,-1,nov–dez–jan,moda
SP,soja,out,12,-1,nov–dez–jan,conab
TO,soja,out,12,-1,nov–dez–jan,conab
AC,trigo,abr,6,0,mai–jun–jul,moda
AL,trigo,abr,6,0,mai–jun–jul,moda
AM,trigo,abr,6,0,mai–jun–jul,moda
AP,trigo,abr,6,0,mai–jun–jul,moda
BA,trigo,jun,8,0,jul–ago–set,conab
CE,trigo,abr,6,0,mai–jun–jul,moda
DF,trigo,mar,5,0,abr–mai–jun,conab
ES,trigo,abr,6,0,mai–jun–jul,moda
GO,trigo,mar,5,0,abr–mai–jun,conab
MA,trigo,abr,6,0,mai–jun–jul,moda
MG,trigo,abr,6,0,mai–jun–jul,conab
MS,trigo,abr,6,0,mai–jun–jul,conab
MT,trigo,abr,6,0,mai–jun–jul,moda
PA,trigo,abr,6,0,mai–jun–jul,moda
PB,trigo,abr,6,0,mai–jun–jul,moda
PE,trigo,abr,6,0,mai–jun–jul,moda
PI,trigo,abr,6,0,mai–jun–jul,moda
PR,trigo,abr,6,0,mai–jun–jul,conab
RJ,trigo,abr,6,0,mai–jun–jul,moda
RN,trigo,abr,6,0,mai–jun–jul,moda
RO,trigo,abr,6,0,mai–jun–jul,moda
RR,trigo,abr,6,0,mai–jun–jul,moda
RS,trigo,mai,7,0,jun–jul–ago,conab
SC,trigo,mai,7,0,jun–jul–ago,conab
SE,trigo,abr,6,0,mai–jun–jul,moda
SP,trigo,abr,6,0,mai–jun–jul,conab
TO,trigo,abr,6,0,mai–jun–jul,moda
AC,milho,out,12,-1,nov–dez–jan,conab
AL,milho,jan,3,0,fev–mar–abr,moda
AM,milho,out,12,-1,nov–dez–jan,conab
AP,milho,out,12,-1,nov–dez–jan,moda
BA,milho,out,12,-1,nov–dez–jan,conab
CE,milho,out,12,-1,nov–dez–jan,moda
DF,milho,out,12,-1,nov–dez–jan,conab
ES,milho,out,12,-1,nov–dez–jan,conab
GO,milho,jan,3,0,fev–mar–abr,conab
MA,milho,nov,1,0,dez–jan–fev,conab
MG,milho,out,12,-1,nov–dez–jan,conab
MS,milho,jan,3,0,fev–mar–abr,conab
MT,milho,jan,3,0,fev–mar–abr,conab
PA,milho,out,12,-1,nov–dez–jan,conab
PB,milho,out,12,-1,nov–dez–jan,moda
PE,milho,out,12,-1,nov–dez–jan,moda
