code_muni,en,ln,n,med
1100015,145.93,154.18,171.86,156.87
1100023,196.33,142.51,178.15,170.9
1100031,151.9,171.86,185.86,169.62
1100049,174.23,195.25,175.15,182.28
1100056,147.91,172.69,181.61,167.33
1100064,153.75,173.37,188.06,171.44
1100072,140.62,172.74,180.91,164.75
1100080,134.67,139.82,124.96,133.62
1100098,165.74,203.25,174.59,182.3
1100106,131,139.34,113.74,128.83
1100114,173.77,163.28,157.32,164.88
1100122,197.24,179.96,158.96,179.21
1100130,206.43,213.25,220.27,213.16
1100148,154.48,163.25,158.31,158.89
1100155,177.01,169.19,149.25,165.67
1100189,147.38,196.82,171.36,172.95
1100205,202.98,170.81,190.33,187.24
1100254,179.07,176.54,153.93,170.48
1100262,219.33,183.35,209.41,203.02
1100288,159.77,176.67,172.48,169.88
1100296,152.99,171.52,180.36,168.17
1100304,151.66,196.2,182.09,177.38
1100320,152.99,159.55,162.89,158.43
1100338,168.28,168.78,130.19,156.87
1100346,165.03,164.28,162.61,164.02
1100379,142.07,154.94,171.21,155.7
1100403,207.33,150.48,183.15,178.96
1100452,226.69,185.82,186.14,199.24
1100502,160.9,170.43,164.25,165.44
1100601,186.18,140.54,167.64,163.67
1100700,212.09,179.91,168.59,186.95
1100809,217.11,190.2,217.71,207.35
1100908,171.57,172.22,161.55,168.76
1100924,129.16,179.41,170.11,160.19
1100940,213.28,197.1,215.47,207.97
1101005,193.71,168.15,157.71,173.31
1101104,205.17,179.25,194.65,192.39
1101203,186.88,188.58,161.76,179.86
1101302,182.01,155.45,154.86,163.93
1101401,211.49,169.95,175.98,185.33
1101435,171.66,165.51,146,161.58
1101450,138.92,181.27,173.64,165.14
1101468,138.3,157.22,180.32,158.08
1101476,159.01,193.71,174.45,176.53
1101484,151.29,193.32,175.76,174.27
1101492,127.53,125.39,155.23,135.17
1101500,139.43,150.39,159.23,149.5
1101559,168.65,168.98,141.56,160.53
1101609,214.13,183.69,180.94,192.78
1101708,170.8,171.02,148.89,164.22
1101757,200.66,206.2,193.28,200.46
1101807,189.05,171.1,155.74,172.28
1200013,171.08,184.88,157.89,172.17
1200054,154.88,159.71,137.05,151.24
1200104,143.99,149.68,119.37,138.6
1200138,155.76,170.17,152.08,159.97
1200179,150.07,183.98,153.81,163.74
1200203,181.15,167.5,153.84,167.79
1200252,140.13,150.24,117.19,136.88
1200302,186.71,190.11,209.06,194.77
1200328,191.88,186.64,171.09,183.62
1200336,184.41,156.55,169.13,169.46
1200344,173.91,180.11,187.01,180.19
1200351,170.66,174.52,167.81,171.22
1200385,162.76,192.95,169.34,175.92
1200393,177.29,168.84,163.36,169.93
1200401,152.95,170.21,154.78,159.88
1200427,181.37,153.92,164.89,166.21
1200435,179.65,184.99,208.8,190.49
1200450,169.61,190.45,165.61,176.09
1200500,158.59,172.42,174.5,168.54
1200609,200.6,193.32,180.37,191.75
1200708,146.18,165.28,127.24,147.48
1200807,168.41,189.52,164.07,174.89
1300029,170.77,174.19,133.26,160.62
1300060,174.53,165.76,171.69,170.42
1300086,113.94,154.34,147.91,139.21
1300102,134.71,159.95,153.66,149.8
1300144,210.73,250.11,255.14,238.8
1300201,232.7,194.18,185.92,204.23
1300300,109,148.32,92.13,118.4
1300409,-6.26,89.98,21.34,37.71
1300508,39.97,115,100.04,85.98
1300607,206.11,183.41,167.48,185.96
1300631,144.43,169.27,183.1,165.38
1300680,38.02,122.81,95.73,86.92
1300706,165.75,161.89,153.25,160.52
1300805,113.15,148.08,107.51,124.34
1300839,109.62,149.84,134.34,132.01
1300904,191.33,179.65,204.44,191
1301001,187.18,192.76,205.09,194.69
1301100,119.39,171.63,128.99,141.62
1301159,101.63,166.48,103.21,126.08
1301209,147.75,176.69,137.99,155.47
1301308,138.47,169.79,117.31,143.61
1301407,196.37,174.65,189.41,186.22
1301506,186.55,171.59,190.26,182.15
1301605,146.63,167.38,136.09,151.09
