code_muni,en,ln,n,med
1100015,13.25,19.25,8.5,14.83
1100023,11.12,18.8,6,13.35
1100031,16.69,20.1,15.1,17.83
1100049,13,17.4,8,13.83
1100056,17.56,20.9,15.6,18.59
1100064,8.5,13.25,7.4,10.33
1100072,13.62,17.85,11.5,15
1100080,11,16.85,6.9,12.65
1100098,8.44,12.4,4.8,9.37
1100106,9.56,16.45,5.9,11.76
1100114,10.38,16.85,6.5,12.35
1100122,11.38,17.4,7,13.04
1100130,10.31,17.35,5.6,12.35
1100148,10,14.95,5.7,11.22
1100155,10.31,16.3,6.2,12.02
1100189,15.31,20.3,12.8,16.93
1100205,12.5,21.05,7.3,15.09
1100254,11.94,17.55,7.8,13.48
1100262,10.75,18.1,5.8,12.87
1100288,12.88,18.45,8.3,14.3
1100296,7.75,12.2,4.5,8.98
1100304,10.31,15.55,8.7,12.24
1100320,10.81,16.25,7,12.35
1100338,8.25,16,4.6,10.83
1100346,9.81,14.9,5.9,11.17
1100379,14.38,19.45,11.2,15.89
1100403,10.88,18.8,5.9,13.24
1100452,8.5,16.25,4.7,11.04
1100502,11.56,17,7.4,13.02
1100601,9.88,16.45,4.9,11.65
1100700,9.31,16.5,4.9,11.48
1100809,13,21.15,7.3,15.3
1100908,13.69,18.85,9.2,14.96
1100924,10.94,16.3,9.4,12.93
1100940,11.25,19.25,6,13.59
1101005,6.94,12.15,3.7,8.5
1101104,11.31,19.95,6.5,14.02
1101203,9.06,12.85,5.4,9.91
1101302,7.94,13.15,4.5,9.46
1101401,9.38,16.25,4.8,11.37
1101435,8.75,14.1,4.9,10.24
1101450,11.81,17.05,8.3,13.33
1101468,17.62,21.4,15.8,18.87
1101476,14.12,19.55,9.6,15.5
1101484,13.25,18.95,8.8,14.76
1101492,13.06,19.25,9.8,15.04
1101500,10.94,17,7.6,12.85
1101559,11.19,17.05,7.4,12.91
1101609,9.44,15.7,4.6,11.11
1101708,10.5,16.45,6.9,12.3
1101757,11.25,17.8,5.7,12.89
1101807,10.44,16.1,6.2,11.98
1200013,8.19,14.45,6.2,10.48
1200054,2.44,6.4,1.6,3.98
1200104,3.31,8.9,3.1,5.7
1200138,8.19,13.8,6.3,10.22
1200179,7.75,13.5,6,9.87
1200203,5.56,11.6,2.3,7.48
1200252,5.25,11.15,4.7,7.7
1200302,3.44,8.7,1.7,5.35
1200328,1.94,5.35,0.2,3.04
1200336,3.5,8.55,1.3,5.22
1200344,3.94,9.05,2.2,5.78
1200351,2.62,7.3,1.6,4.43
1200385,8.5,14.45,7,10.76
1200393,4.44,9.6,1.5,6.04
1200401,8.06,13.9,6.6,10.28
1200427,4.31,9.8,1.5,6.09
1200435,3.06,7.4,1.5,4.61
1200450,8.75,14.6,6.9,10.89
1200500,4.31,9.5,3.3,6.35
1200609,2.19,7.2,0.5,4
1200708,5.44,11.1,5,7.8
1200807,9.19,14.95,7.3,11.28
1300029,5.44,9.4,4.5,6.96
1300060,3,5.45,1.5,3.74
1300086,7.44,7.85,3.7,6.8
1300102,8.19,9.1,4.7,7.83
1300144,6.81,11.55,2.6,7.96
1300201,2.94,8.85,1.1,5.11
1300300,7.12,10.25,4.4,7.89
1300409,3.69,4.35,1.7,3.54
1300508,3.5,7.75,2.6,5.15
1300607,3.62,9.6,2.8,6.04
1300631,7.56,9.6,5.4,7.98
1300680,4.44,7.4,2.8,5.37
1300706,6.69,12.7,4.3,8.78
1300805,6.5,10.55,4.8,7.89
1300839,6.5,6.95,3.1,5.96
1300904,9.38,17.15,6.2,12.07
1301001,4.06,8.75,1.9,5.63
1301100,7.38,9.95,3.4,7.63
1301159,9.12,11.8,3.9,9.15
1301209,5.88,10.3,4.7,7.54
1301308,6.5,9,4.5,7.15
1301407,4.44,11.95,3.9,7.59
1301506,5.12,12.6,4.1,8.15
1301605,2.88,5.8,1.7,3.89
1301654,5.19,11.6,2.4,7.37
1301704,9.69,16.95,6,12.04
1301803,4.31,11.65,2.3,7.07
1301852,8.44,11.15,3.6,8.57
1301902,4.69,5.75,2.7,4.72
1301951,5.81,13.2,3.4,8.5
1302009,3.19,4.75,2.1,3.63
1302108,2.19,4.65,1.2,3.04
1302207,3.38,6.45,1.7,4.35
1302306,4.19,8.4,2.2,5.59
1302405,8.19,16.3,4.8,10.98
1302504,6.19,9,3.5,6.83
1302553,7,9.55,3.6,7.37
1302603,6.31,8.3,2.4,6.33
1302702,9.69,16.25,7.4,12.04
1302801,4.38,8,3.1,5.67
1302900,3.69,6.85,1.7,4.63
1303007,1.19,3,0.8,1.89
1303106,4.81,7,2.9,5.35
1303205,3.94,5.05,1.7,3.93
1303304,9.31,15.3,6.8,11.37
