code_muni,en,ln,n,med
1100015,703.29,706.11,718.5,707.76
1100023,809.12,743.84,779.9,775.8
1100031,713.88,728.21,740.4,725.57
1100049,752.24,759.89,755.8,756.17
1100056,674.06,687.37,707.6,686.85
1100064,713.18,740.26,760.1,734.57
1100072,673.47,707.58,715.5,696.7
1100080,610.88,640.74,663.5,634.65
1100098,734.76,760.58,757.3,750.33
1100106,610.06,613.79,668.1,624.22
1100114,814.18,758.95,745.9,776.52
1100122,808.53,757.58,766.1,778.26
1100130,895.12,893.42,922.6,900.39
1100148,733.35,721.42,701.2,721.43
1100155,809.53,732.05,766.6,768.2
1100189,709.59,756.47,758.6,739.61
1100205,787.12,796.63,826.6,799.63
1100254,777.41,716.53,758,748.04
1100262,871.35,865.53,837.7,861.63
1100288,709.47,737.58,726.8,724.85
1100296,721.35,734.95,724.3,727.61
1100304,736.29,775.68,740.4,753.46
1100320,710.88,705.53,706.8,707.78
1100338,721.06,713.21,702.5,713.78
1100346,759.94,723.21,725.6,737.3
1100379,705.24,711.84,718.5,710.85
1100403,831.29,791.37,801.1,808.24
1100452,843.71,849.68,791.4,834.8
1100502,729.41,729.26,698.4,722.61
1100601,773.76,721.95,759.2,749.2
1100700,794.59,859.84,802.2,823.2
1100809,886.35,897.79,978.2,911.04
1100908,757,724.47,732.3,738.2
1100924,665.12,727.89,738,706.89
1100940,892.24,875.68,905.2,888.22
1101005,808.18,784.89,756.5,787.33
1101104,882,863.21,905.8,879.41
1101203,776.41,724.89,769.5,753.63
1101302,796.88,754.37,721.2,762.87
1101401,799.53,800.11,790.4,797.78
1101435,805.76,724.53,721.1,753.8
1101450,693.47,734.42,736.5,719.74
1101468,682.71,680.74,713.8,688.65
1101476,713.65,737.74,763.8,734.5
1101484,710.47,727.53,754.5,727.09
1101492,654.47,672.26,683.2,668.07
1101500,690.12,712.26,704.4,702.37
1101559,793.88,731.63,752,759.07
1101609,878,814.74,799.6,834.83
1101708,784.71,728.53,739,751.57
1101757,863.29,850.37,866.5,858.65
1101807,828.47,750.05,767.1,782.74
1200013,759.88,787.74,791.8,778.33
1200054,628.53,636.11,661.5,638.83
1200104,635.88,632.84,644,636.39
1200138,650.88,720.42,741.5,699.3
1200179,672.53,751.32,748.1,721.5
1200203,740.94,773.21,778.7,762.48
1200252,639.47,646.74,648.8,644.5
1200302,665.29,793.16,788.9,744.98
1200328,681.12,780.58,688.3,723.76
1200336,759.53,768.63,774.4,766.52
1200344,627.18,740.74,759.1,702.76
1200351,688.53,755.95,698.3,718.5
1200385,695.47,784.37,774.4,749.35
1200393,724.12,769.26,716.8,741.17
1200401,662.18,702.84,713.7,690.17
1200427,747.94,763.11,754.7,755.67
1200435,643.94,744.63,779.3,714.96
1200450,704.71,802.58,788.5,763.35
1200500,632.65,678.47,714.3,669.33
1200609,696.24,829.89,740.1,760.98
1200708,632.53,674.53,683.9,661.04
1200807,696.65,798.74,775.5,755.96
1300029,844.35,945.16,940.7,906.93
1300060,808.12,832.84,837.5,824.72
1300086,792.59,871.32,881.9,844.52
1300102,805.35,877.84,891.2,853.96
1300144,914.94,1049.47,979.2,984.48
1300201,779.65,841.95,821.1,814.39
1300300,811.53,866.68,891.5,851.7
1300409,649.65,690,676.1,672.07
1300508,867.29,993.58,861.5,918.2
1300607,797.94,874.84,863.6,843.98
1300631,811.65,927.16,885.7,875.46
1300680,853.59,957.11,854.3,896.5
1300706,676.29,724.68,785.2,719.96
1300805,814.41,866.58,900.7,854.72
1300839,791.82,854.26,853.4,831
1300904,866.82,918.32,921.1,899.89
1301001,847.06,895.53,874.7,873.09
1301100,803.06,932.47,918.1,881.52
1301159,836,935.32,926.2,896.63
1301209,806.29,892.95,884.9,859.17
1301308,802.41,870.11,856.3,842.09
1301407,753.76,820.79,825.8,797.11
1301506,749.12,823.89,840.5,799.87
1301605,856.94,912.84,845.7,877.59
1301654,780.59,785.42,771.4,780.59
1301704,868.94,939.74,901.7,905.3
1301803,713.12,771.16,765.5,748.48
1301852,825.12,931,909,887.09
1301902,775.29,920.42,835.8,848.39
1301951,828.41,958,835.4,883.46
1302009,806.35,980.47,854.6,888.76
1302108,812.82,864.05,957.3,865.39
1302207,848.06,920.89,909.2,891.43
1302306,876.59,928.42,920.3,907.5
1302405,786.24,878.58,759.4,818.54
1302504,773.65,848.11,843.6,819.61
1302553,807.94,900.95,894.8,865.24
1302603,861.06,979,958.6,930.98
1302702,840.06,898.42,859.8,868.46
1302801,817.76,857.05,919.8,856.17
1302900,873.59,955.63,862.7,905.11
1303007,890.53,1014.11,928.9,949.91
1303106,865.82,917.32,886.9,891.67
1303205,812.06,848.68,816,828.04
1303304,952.41,1048.95,987.7,999.96
1303403,931.41,1011.26,933.3,964.8
1303502,778.12,889.74,849,839.63
1303536,843.71,901.68,884.3,876.48
1303569,839.41,944.79,935.3,903.78
1303601,675.94,760.32,694.1,714.74
1303700,788.12,790.47,810,793.85
1303809,778.12,919.47,890.6,860.96
1303908,820.18,875.16,871.2,853.98
1303957,849.24,1014.68,827.4,912.83
1304005,785.29,987.37,841.7,881.02
1304062,775.53,805.68,803.6,794.09
1304104,944.29,985.53,996.2,972.61
1304203,851.18,973.32,956,924.41
1304237,802.88,853.53,870.2,838.43
1304260,826.41,892.89,930.1,876.41
1304302,815.94,951.63,860.7,881.72
1304401,838.53,943.47,858.4,886.2
1400027,309.71,451.21,355.1,378.02
1400050,337.65,489.16,393.9,412.46
1400100,203.24,232.79,219.8,219.04
1400159,206.76,235.53,231.4,224
1400175,242.41,300.26,268.3,271.93
1400209,374,418.68,395.6,397.15
1400233,462.12,530.16,440.8,485.59
1400282,339,458.37,375.6,396.26
1400308,265.06,396.79,294.4,325.85
1400407,161.88,166.42,181.3,167.98
1400456,195.94,273,204.7,229.67
1400472,593.76,683.53,615.2,635.5
1400506,494.88,545.26,489.3,514.48
1400605,447.76,510.58,437,471.37
1400704,177.12,201.16,190.2,189.89
1500107,1108.65,1220.53,1201.6,1175.07
1500131,816.71,1029.79,881.4,918.78
1500206,1140.94,1283.74,1173.4,1206.98
1500305,1027.06,1062.11,1117.5,1061.2
1500347,759.82,841.58,776,797.11
1500404,826.12,1039.53,889.6,928.07
1500503,781.65,870.05,838.7,830.57
1500602,821.12,945.21,877.6,884.65
1500701,1166.65,1243.16,1104.5,1184.74
1500800,1190.06,1229.32,1229,1214.74
1500859,989.18,1138.95,1067.6,1068.09
1500909,1192.53,1198.95,1217.5,1200.61
1500958,1132.59,1294.58,1094.1,1191.13
1501006,826.29,951.37,839.3,880.78
1501105,1236.06,1352.16,1231.4,1283
1501204,1135.12,1267.21,1172.3,1197.76
1501253,764.06,784.21,757.5,770.96
1501303,1148.29,1233.89,1208,1196.63
1501402,1189.53,1212.11,1190,1198.96
1501451,860.71,1033.16,897.9,940.02
1501501,1186.76,1225.95,1216.6,1209.43
1501576,802.82,1012.32,855.1,900.72
1501600,1093.24,1119.53,1141.2,1114.52
1501709,1191.41,1221.53,1179.6,1201.28
1501725,878.24,1085.21,946.9,978.65
1501758,715.76,891.47,766,799.26
1501782,1038.06,1187.84,1103.3,1114.11
1501808,1065.59,1110.58,1001.9,1070.33
1501907,1120.24,1132.21,1085.9,1117.72
1501956,1040.71,1034.53,1050.5,1040.28
1502004,1313.53,1317.32,1286,1309.11
1502103,1199.94,1335.11,1212.2,1258.43
1502152,717.59,851.21,751,780.04
1502202,1231.76,1287.68,1244.3,1257.59
1502301,1058.35,1132,1083,1094.13
1502400,1087.35,1120.37,1201.7,1125.85
1502509,1305.29,1318.37,1350.6,1320.54
1502608,1308.18,1348.68,1304.8,1324.17
1502707,742,789,779.3,769.52
1502756,1121.12,1149.37,1076.6,1123.11
1502764,694.35,718.95,771.2,721.22
1502772,745.65,899.37,742,808.35
1502806,1136.41,1220.84,1094.2,1162.11
1502855,894.94,1065.26,920.5,970.85
1502905,1369.35,1429.21,1372.9,1394.85
1502939,849.59,1030.42,907.1,936.78
1502954,782.29,921.37,776.8,838.54
1503002,901.76,1034.74,923.9,961.5
1503044,757.18,794.21,740.5,768.85
1503077,1051.88,1110.05,1076.3,1081.22
1503093,1007.82,1169,1054.6,1084.57
1503101,960.41,1002.21,942.2,973.72
1503200,1159.71,1231.21,1213.5,1200.93
1503309,1099.35,1281.11,1174.8,1190.83
1503408,1056.88,1100.84,1125.6,1089.98
1503457,1053.24,1236.47,1083.7,1135.54
1503507,1044.18,1092.37,1094.4,1075
1503606,882.76,976.47,907.9,926.93
1503705,804.06,994.84,853.2,893.54
1503754,896.53,914.53,881.2,900.63
1503804,917.41,1117.63,968.3,1011.17
1503903,937.59,1066.37,908.6,984.48
1504000,1105.29,1260.63,1153.1,1179.85
1504059,1097.94,1203.63,1070.4,1135.61
1504109,1358.94,1403.26,1365,1378.57
1504208,794.59,960.16,809.7,866.26
1504307,1471.82,1513.05,1511.5,1497.48
1504406,1344.59,1397.42,1342.2,1365.89
1504422,1190.06,1229.32,1229,1214.74
1504455,868.59,1013.79,872.8,929.48
1504505,1034.47,1093.16,952.5,1040.89
1504604,1198.53,1317,1217.1,1251.5
1504703,1175.47,1311.68,1230.8,1243.76
1504752,847.12,1034.11,889.2,933.5
1504802,803.12,954.58,857.6,877.52
1504901,1099.59,1201.89,1079.5,1137.48
1504950,1010.47,1071.68,1010.3,1035.72
1504976,843.82,1016.21,901.2,927.5
1505007,1192.88,1203.05,1206.1,1199.96
1505031,923.24,943.79,906.8,928.15
1505064,963.53,1156.37,995.8,1050.2
1505106,880.88,1054.37,954.7,968.59
1505205,1210.47,1336.26,1197.8,1259.67
1505304,880.12,1067.95,999.2,983.59
