code_muni,en,ln,n,med
1100015,12.75,18.06,25.43,18.46
1100023,15.62,16.12,23.79,18.28
1100031,9.5,22.56,25.43,18.89
1100049,9.5,19.5,23.36,17.2
1100056,8.88,20.25,25.43,17.87
1100064,8.62,23.81,25.57,19.07
1100072,9.44,19.75,24.29,17.54
1100080,17.62,28.44,28.86,24.8
1100098,10.12,22.06,24.86,18.76
1100106,20.38,28.75,31.29,26.61
1100114,13.25,20.69,24.07,19.13
1100122,20.56,16.12,21,19.15
1100130,24.94,27.94,33.64,28.63
1100148,11.38,14.06,20.93,15.22
1100155,21.62,18.81,24.57,21.54
1100189,11.12,21.94,23.57,18.67
1100205,29.5,42.69,29.36,34.04
1100254,23.69,16.12,25.14,21.5
1100262,23.75,23.94,25.14,24.24
1100288,11.88,14.19,24,16.37
1100296,10.56,14.94,23.29,15.96
1100304,19.56,20.81,23.14,21.09
1100320,14.38,20.81,28.79,21
1100338,26.62,35,30.14,30.61
1100346,20.38,19.88,24,21.3
1100379,13.38,16.44,23,17.37
1100403,21.38,22,23.43,22.22
1100452,23.19,33.62,27.5,28.13
1100502,11.44,13.75,22.21,15.52
1100601,17.25,26,23,22.04
1100700,23.12,34.81,26.57,28.24
1100809,33.25,42.44,29.93,35.43
1100908,19.19,15.88,22.14,18.93
1100924,11.12,19.25,25.93,18.46
1100940,26.5,30.19,32,29.46
1101005,18.56,31.56,24.57,24.91
1101104,28.56,36.38,27.79,31.04
1101203,23.75,16.5,23.5,21.15
1101302,22.94,28.5,24.14,25.24
1101401,21.75,33.44,23.57,26.37
1101435,21.56,20.38,25.43,22.33
1101450,10.31,13.75,21.64,14.96
1101468,12.31,19.75,23.79,18.39
1101476,10.5,15.31,23.86,16.24
1101484,11,14.06,25.43,16.46
1101492,14.69,20.81,30.21,21.54
1101500,15.5,26.44,29.86,23.67
1101559,22.44,19.25,24.36,21.91
1101609,18.44,21.25,22.36,20.61
1101708,22.38,21.44,24.07,22.57
1101757,18.25,22.38,28.79,22.89
1101807,20.81,18.69,26.14,21.7
1200013,27.75,41.06,42.5,36.87
1200054,23.88,34.25,39.79,32.33
1200104,25.12,34.06,35.36,31.35
1200138,35.12,32.88,42.79,36.67
1200179,26.75,42.75,36.14,35.17
1200203,67.19,88.75,75.71,77.28
1200252,23.69,31.69,29.64,28.28
1200302,53.69,66.25,67.36,62.22
1200328,51.44,69.56,59.14,60.09
1200336,81.25,103.25,91.64,92.07
1200344,35.88,50.12,54.07,46.37
1200351,56.75,74.06,61.64,64.26
1200385,27.69,43,39.5,36.61
1200393,59.19,79.81,66.86,68.7
1200401,31.81,34.75,38.93,35
1200427,74.06,98.06,86.43,86.17
1200435,41.5,57.5,58.43,52.22
1200450,28.25,42.81,43.07,37.83
1200500,32.44,38.06,44,37.91
1200609,68.06,68.19,71.07,69.02
1200708,26.88,31.88,32.86,30.43
1200807,35.5,46.62,48.21,43.24
1300029,191.75,190.19,201.29,194.11
1300060,174.25,178,177,176.39
1300086,146.81,167.88,149.36,154.91
1300102,140.5,166.19,146.79,151.35
1300144,46.75,65.38,59.43,57.09
1300201,129.62,164.62,156,149.83
1300300,123.5,140.19,136.43,133.24
1300409,259.94,271.69,283.36,271.15
1300508,151.5,176.06,140.86,156.8
1300607,129.38,142.69,148.64,139.87
1300631,142.06,152.12,148.07,147.39
1300680,141.62,164.19,138.36,148.48
1300706,41.06,51.06,55.36,48.89
1300805,106.06,117.5,116.43,113.2
1300839,144.62,170.81,146.93,154.43
1300904,57.5,59.81,57.79,58.39
1301001,140.81,130.06,119.57,130.61
1301100,125,132,142.21,132.67
1301159,132.31,150,132.21,138.43
1301209,144.25,145.44,134.79,141.78
1301308,156.5,172.12,131.57,154.35
1301407,87.88,88.5,97.79,91.11
1301506,72.12,72.31,88.29,77.11
1301605,248,250.88,253.36,250.63
1301654,82.31,100.75,89.07,90.78
1301704,67.44,67.12,66.86,67.15
1301803,97.75,95.44,99.64,97.52
1301852,118.56,132.19,121.86,124.3
1301902,125.81,154.81,131.29,137.57
1301951,107.12,106.56,102.14,105.41
1302009,141.25,163.25,139.07,148.24
1302108,218.94,213.06,253.07,227.28
1302207,188.88,223.25,208.21,206.72
1302306,145.31,151.12,145.5,147.39
1302405,48.19,61.5,60.93,56.7
1302504,123.25,132.69,130.07,128.61
1302553,141.88,140.38,145.36,142.41
