code_muni,en,ln,n,med
1100015,-0.28,0.02,0.42,0
1100023,0.29,-0.41,0.39,0.01
1100031,-0.16,0.19,-0.09,0.01
1100049,-0.06,0.12,-0.16,0
1100056,-0.22,0.19,0.01,0.01
1100064,-0.2,0.18,0,0.01
1100072,-0.27,0.21,0.04,0.01
1100080,-0.05,0,0.1,0
1100098,-0.13,0.22,-0.26,0
1100106,0.04,0.02,-0.05,0.01
1100114,-0.05,-0.05,0.18,0
1100122,0.07,-0.08,0.05,0
1100130,-0.18,-0.03,0.37,0
1100148,-0.05,0.04,-0.02,-0.01
1100155,-0.03,-0.05,0.13,0
1100189,-0.29,0.24,-0.03,0
1100205,0.18,-0.15,0.06,0.01
1100254,0.09,-0.01,-0.16,-0.01
1100262,0.13,-0.25,0.3,0
1100288,0.02,0.08,-0.24,-0.01
1100296,-0.06,0.04,0.02,0
1100304,-0.35,0.21,0.16,0
1100320,-0.13,-0.01,0.21,0
1100338,-0.05,0.18,-0.23,0.01
1100346,-0.02,0.02,-0.02,-0.01
1100379,-0.21,0,0.33,0
1100403,0.3,-0.35,0.28,0.01
1100452,0.28,-0.16,-0.08,0.01
1100502,0,0.08,-0.18,0
1100601,0.29,-0.4,0.37,0.01
1100700,0.12,-0.06,-0.02,0.01
1100809,0.11,-0.33,0.5,0
1100908,0.08,0.01,-0.18,-0.01
1100924,-0.33,0.18,0.17,0
1100940,0,-0.17,0.33,0
1101005,0.12,-0.09,0.02,0.01
1101104,0.23,-0.31,0.26,0
1101203,0.08,0,-0.13,0
1101302,0.09,-0.09,0.01,0
1101401,0.23,-0.27,0.2,0.01
1101435,-0.02,-0.01,0.03,0
1101450,-0.24,0.15,0.09,0
1101468,-0.18,0.03,0.28,0.01
1101476,-0.13,0.15,-0.1,0
1101484,-0.2,0.19,-0.07,0
1101492,-0.19,-0.06,0.44,0
1101500,-0.14,0.02,0.17,0
1101559,-0.05,0.03,0.01,0
1101609,0.13,-0.18,0.17,0
1101708,-0.06,0.02,0.04,0
1101757,-0.13,-0.02,0.27,0.01
1101807,0.05,-0.11,0.14,0
1200013,-0.1,0,0.14,-0.01
1200054,0.04,-0.05,0.07,0.01
1200104,0.04,-0.05,0.08,0.01
1200138,-0.17,0.04,0.2,0
1200179,-0.2,0.12,0.1,0
1200203,0.12,-0.06,-0.07,0
1200252,0.04,-0.03,0.01,0
1200302,0.11,0.06,-0.28,0
1200328,0.08,0,-0.13,0
1200336,0.13,-0.16,0.12,0
