code_muni,en,ln,n,med
1100015,32.57,32.3,31.87,32.3
1100023,32.17,32.12,31.42,31.98
1100031,33.16,32.57,32.41,32.74
1100049,32.31,32.06,31.52,32.03
1100056,33.26,32.74,32.52,32.87
1100064,31.98,31.36,31.17,31.53
1100072,32.61,32.04,31.85,32.2
1100080,32.31,32.17,31.63,32.1
1100098,31.48,31.1,30.75,31.16
1100106,32.06,32.04,31.4,31.91
1100114,32.02,32.02,31.33,31.87
1100122,32.24,32.18,31.5,32.06
1100130,32.17,32.12,31.51,32
1100148,31.91,31.75,31.17,31.68
1100155,32.01,31.96,31.32,31.84
1100189,32.81,32.31,32.05,32.43
1100205,32.38,32.4,31.74,32.25
1100254,32.27,32.13,31.55,32.06
1100262,32.11,32.07,31.38,31.93
1100288,32.38,32.14,31.65,32.12
1100296,31.43,31.18,30.68,31.16
1100304,32.13,31.53,31.3,31.69
1100320,32.14,32.04,31.43,31.94
1100338,31.85,31.86,31.29,31.73
1100346,31.9,31.82,31.19,31.71
1100379,32.7,32.3,31.92,32.36
1100403,32.06,32.07,31.36,31.92
1100452,31.8,31.8,31.13,31.66
1100502,32.23,32.08,31.46,32
1100601,31.96,31.93,31.21,31.78
1100700,31.87,31.91,31.24,31.75
1100809,32.38,32.38,31.73,32.23
1100908,32.45,32.3,31.73,32.23
1100924,32.24,31.69,31.46,31.83
1100940,32.25,32.21,31.6,32.09
1101005,31.46,31.38,30.7,31.26
1101104,32.19,32.2,31.53,32.05
1101203,31.57,31.38,30.85,31.33
1101302,31.56,31.5,30.8,31.37
1101401,31.86,31.85,31.13,31.7
1101435,31.68,31.66,30.95,31.51
1101450,32.18,31.84,31.41,31.87
1101468,33.29,32.79,32.54,32.91
1101476,32.56,32.24,31.77,32.25
1101484,32.48,32.14,31.66,32.15
1101492,32.58,32.47,31.96,32.4
1101500,32.21,32.13,31.54,32.03
1101559,32.18,32.08,31.44,31.98
1101609,31.9,31.9,31.17,31.74
1101708,32.06,31.98,31.34,31.87
1101757,32.26,32.2,31.51,32.07
1101807,32.02,31.98,31.34,31.86
1200013,32.04,32.07,31.61,31.96
1200054,31.09,31.2,30.86,31.09
1200104,31.35,31.41,31.08,31.32
1200138,31.94,31.83,31.45,31.78
1200179,31.85,31.88,31.52,31.79
1200203,31.89,32.29,31.87,32.06
1200252,31.56,31.64,31.31,31.54
1200302,31.47,31.63,31.34,31.51
1200328,31.11,31.41,31.05,31.23
1200336,31.64,31.99,31.65,31.8
1200344,31.54,31.65,31.36,31.55
1200351,31.32,31.68,31.33,31.48
1200385,32.06,32.08,31.66,31.98
1200393,31.71,32.06,31.72,31.86
1200401,31.96,31.91,31.57,31.85
1200427,31.72,32.09,31.74,31.89
1200435,31.35,31.49,31.21,31.38
1200450,32.09,32.08,31.65,31.99
1200500,31.55,31.62,31.37,31.54
1200609,31.27,31.48,31.16,31.33
1200708,31.59,31.61,31.26,31.53
1200807,32.11,32.1,31.7,32.02
1300029,32.6,32.8,32.44,32.65
1300060,32.3,32.45,32.19,32.34
1300086,32.91,32.71,32.31,32.69
1300102,32.96,32.82,32.47,32.79
1300144,32.12,31.75,31.28,31.77
1300201,31.83,32.15,31.88,31.98
1300300,33.52,32.95,32.23,32.99
1300409,33.26,32.89,32.66,32.97
1300508,34.02,33.13,32.85,33.38
1300607,31.91,32.27,32.09,32.11
1300631,32.89,32.75,32.38,32.72
1300680,33.81,32.87,32.62,33.14
1300706,31.92,31.99,31.54,31.87
1300805,33.37,32.8,32.37,32.9
1300839,32.91,32.66,32.24,32.65
1300904,32.38,32.42,31.82,32.28
1301001,32.25,32.61,32.11,32.37
1301100,33.36,32.88,32.09,32.87
1301159,33.51,33.05,32.1,33
1301209,32.76,32.76,32.37,32.68
1301308,32.94,32.76,32.43,32.75
1301407,32.19,32.52,32.14,32.33
1301506,32.16,32.34,32.06,32.22
1301605,32.34,32.57,32.08,32.39
1301654,31.94,32.33,31.89,32.1
1301704,32.54,32.47,32.09,32.41
1301803,32.01,32.24,31.92,32.09
1301852,33.44,32.98,32.11,32.95
1301902,33.54,32.54,32.34,32.84
1301951,32.29,32.59,32.17,32.39
1302009,33.42,32.46,32.16,32.73
1302108,32.52,32.58,32.17,32.47
1302207,32.43,32.63,32.15,32.45
1302306,32.19,32.47,32.2,32.32
1302405,32.24,32.27,31.67,32.13
1302504,33.17,32.74,32.16,32.77
1302553,33.24,32.82,32.16,32.82
1302603,33.14,32.69,31.77,32.65
1302702,32.74,32.73,32.42,32.67
1302801,32.71,32.82,32.41,32.69
1302900,33.44,32.68,32.21,32.84
1303007,33.49,32.73,32.37,32.92
1303106,33.58,32.69,32.37,32.93
1303205,32.97,32.62,32.21,32.65
1303304,32.79,32.6,32.2,32.58
1303403,34.25,33.42,33.17,33.65
1303502,32.01,32.21,31.74,32.04
1303536,33.27,32.75,32.2,32.81
1303569,32.98,32.48,31.71,32.48
1303601,32.84,32.75,32.3,32.68
1303700,32.31,32.44,32.23,32.35
1303809,32.61,32.56,32.09,32.47
1303908,31.82,31.99,31.97,31.93
1303957,33.13,32.34,31.9,32.52
1304005,33.46,32.45,32.21,32.75
1304062,31.89,32.02,32.03,31.98
1304104,32.44,32.48,31.99,32.36
1304203,32.56,32.69,32.27,32.56
1304237,32.26,32.36,31.92,32.23
1304260,32.46,32.64,32.24,32.49
1304302,33.29,32.66,32.18,32.78
1304401,33.96,33.07,32.74,33.31
1400027,32.87,32.77,32.15,32.67
1400050,32.31,32.22,31.61,32.12
1400100,34.56,34.46,33.75,34.34
1400159,34.29,34.22,33.47,34.08
1400175,34.21,34.12,33.39,33.99
1400209,34.07,33.85,33.36,33.82
1400233,33.48,33.19,32.55,33.15
1400282,33.27,33.12,32.56,33.05
