data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max,soma_termica,srad_mj
1980-01,241,103.3,137.7,-0.17,-0.3,,,,,,,25,15.5,0,10,5,318,570
1980-02,179,95,84,-0.02,-0.09,,,,,,,25.9,16.3,0,7,3,322,512
1980-03,104,107.1,-3.1,-1.18,-1.3,-0.7,-0.81,,,,,27.9,14.8,0,4,9,352,597
1980-04,272,70.9,201.1,2.43,2.2,0.87,0.85,,,,,24.5,13.7,0,8,14,273,425
1980-05,28,63.2,-35.2,-0.66,-0.76,0.94,0.86,,,,,24.2,10,0,1,9,219,415
1980-06,98,49.5,48.5,1.45,1.55,2.05,1.92,0.68,0.6,,,21.3,6.8,0,2,8,122,357
1980-07,1,60.8,-59.8,-1.57,-0.97,0.38,0.41,0.84,0.79,,,22.8,8.3,0,0,30,172,405
1980-08,45,75.4,-30.4,0.64,0.83,1.14,1.21,1.25,1.18,,,23.5,10.5,0,1,8,217,442
1980-09,73,83.5,-10.5,0.31,0.36,0.14,0.23,1.8,1.72,,,23.3,9.4,0,2,10,190,478
1980-10,109,111.1,-2.1,-0.13,-0.32,0.09,0.12,0.2,0.2,,,25.6,13.3,0,4,7,293,588
1980-11,169,107.2,61.8,0.48,0.3,0.08,0.05,0.54,0.56,,,25.3,14.6,0,8,6,299,572
1980-12,316,108,208,0.92,0.93,0.68,0.62,0.55,0.63,0.75,0.73,24.4,16.1,0,12,3,318,594
1981-01,406,99.9,306.1,1.37,1.46,1.42,1.42,1.26,1.24,1.3,1.25,25.9,16.2,0,12,2,344,524
1981-02,75,111.1,-36.1,-1.82,-1.59,0.66,0.53,0.58,0.47,1.07,0.99,27.3,15.5,0,2,6,320,600
1981-03,189,97.7,91.3,0.3,0.24,0.29,0.08,0.56,0.41,1.38,1.31,26,15.4,0,7,4,331,536
1981-04,34,78,-44,-0.77,-0.77,-1.21,-1.27,0.47,0.33,0.44,0.33,24,11.9,0,2,9,240,473
1981-05,20,62.4,-42.4,-1.03,-1.05,-0.61,-0.68,0.22,0.09,0.41,0.31,22.8,9.4,0,1,17,188,404
1981-06,60,48.4,11.6,0.85,1.02,-0.51,-0.48,-0.04,-0.2,0.25,0.18,20,6.9,0,3,12,103,338
1981-07,6,62.6,-56.6,-0.68,-0.76,-0.27,-0.27,-1.22,-1.23,0.27,0.18,21,5.1,0,0,21,100,404
1981-08,26,78.6,-52.6,0.03,0.14,0.29,0.32,-0.47,-0.54,0.2,0.09,24.4,6.9,0,1,13,176,460
1981-09,27,96.2,-69.2,-0.81,-0.85,-0.91,-0.93,-1.13,-1.08,0.01,-0.07,27.4,8.6,0,1,21,240,472
1981-10,265,88,177.1,1.66,1.75,1.08,1.1,0.63,0.67,0.62,0.6,24.5,9.5,0,6,4,218,483
1981-11,203,102.7,100.3,1.18,1.27,1.45,1.45,1.21,1.25,0.73,0.7,26.2,13.3,0,8,3,292,552
1981-12,341,96,245,1.15,1.25,2.19,2.06,1.51,1.48,0.81,0.83,25.2,12.6,0,11,1,276,517
1982-01,238,92.5,145.5,-0.21,-0.22,0.81,0.94,1.17,1.29,0.16,0.31,25.4,12.1,0,9,6,272,491
1982-02,177,102.2,74.8,-0.05,-0.21,0.42,0.45,1.14,1.27,0.61,0.73,27.5,12.8,0,8,10,284,555
1982-03,335,72.5,262.5,2.02,2.02,0.78,0.9,1.9,2.01,1.19,1.35,25.3,12.7,0,11,2,279,391
1982-04,48,78.8,-30.8,-0.38,-0.42,0.91,1,1.19,1.36,1.26,1.39,24.5,10.7,0,2,14,228,482
1982-05,54,60.4,-6.4,0.18,0.22,1.2,1.35,0.95,1.11,1.4,1.53,21.9,6.9,0,3,19,136,411
1982-06,92,46.2,45.8,1.36,1.52,0.45,0.53,0.79,0.91,1.48,1.57,21.9,8.2,0,4,5,152,311
1982-07,55,58.3,-3.3,1.18,1.3,1.27,1.34,1.28,1.34,1.69,1.76,22.2,7,0,2,11,143,409
1982-08,51,73.9,-22.9,0.79,1.01,1.84,1.81,1.82,1.89,1.81,1.87,23.6,9.9,0,2,6,209,454
1982-09,16,89.6,-73.6,-1.28,-0.95,0.19,0.24,0.35,0.45,1.64,1.66,25,8.4,0,1,14,202,514
1982-10,235,93,142,1.38,1.46,0.92,1.02,1.37,1.43,1.52,1.57,25.2,11.2,0,6,4,254,516
1982-11,159,101.2,57.8,0.25,0.19,0.68,0.81,1.36,1.45,1.33,1.45,27.6,13,0,7,4,308,520
1982-12,348,79.8,268.2,1.22,1.43,1.75,1.83,1.48,1.57,1.34,1.5,24.7,12.6,0,15,2,268,423
1983-01,375,93.5,281.5,1.11,1.23,1.37,1.58,1.58,1.7,1.78,1.75,25.6,13.6,0,16,1,298,501
1983-02,278,90.4,187.6,1.09,1.13,1.77,2.08,1.95,2.11,2.4,2.28,26.5,13.4,0,8,2,279,482
1983-03,233,81.6,151.4,0.89,1.04,1.53,1.76,2.19,2.28,1.99,2.15,25.6,12,0,4,3,272,458
1983-04,145,67.7,77.3,1.2,1.35,1.51,1.6,2.04,2.27,2.35,2.39,24.9,11.4,0,5,4,245,392
1983-05,165,56.9,108.2,2.11,1.99,1.97,2.03,2.43,2.47,2.75,2.7,23.6,10.2,0,6,12,214,340
1983-06,148,46.2,101.8,2.05,2.03,2.42,2.21,2.51,2.66,2.85,2.62,22.4,8.4,0,6,15,162,308
1983-07,53,63,-10.1,1.14,1.15,2.68,2.27,2.55,2.35,2.89,2.69,23.5,7.6,0,3,17,172,382
1983-08,6,81.2,-75.2,-1.19,-0.88,1.94,1.79,2.51,2.38,2.78,2.6,24.4,9.4,0,0,29,212,478
1983-09,287,64.2,222.8,2.64,2.48,2.33,2.16,3.34,2.74,3.39,2.69,21.8,12.2,0,11,4,210,349
1983-10,178,87.5,90.5,0.79,0.95,2.38,2.22,3.35,2.82,3.18,2.65,24,12.5,0,6,5,256,459
