data,rain_mm,etp_mm,bal_mm,spi1,spei1,spi3,spei3,spi6,spei6,spi12,spei12,tmax_med,tmin_med,dias_tmax34,dias_chuva10,veranico_max
1980-01,52,173.4,-121.4,-1.24,-1.37,,,,,,,31,17.9,2,2,10
1980-02,52,144.4,-92.4,-1.32,-1.4,,,,,,,31,18.8,2,2,6
1980-03,258,115.2,142.8,1.41,1.42,-0.33,-0.7,,,,,30.4,21,5,10,11
1980-04,67,89.4,-22.4,-1.03,-1.16,-0.23,-0.51,,,,,27.9,17.6,0,3,10
1980-05,133,54.2,78.8,-0.09,-0.18,0.08,-0.01,,,,,23.4,14.1,0,5,9
1980-06,135,47.4,87.6,0.05,-0.02,-0.68,-0.9,-0.77,-1.05,,,20.2,8.4,0,5,9
1980-07,169,51,118,0.49,0.45,0.05,-0.09,-0.17,-0.42,,,19.1,6.7,0,5,6
1980-08,41,65,-24,-1.17,-1.09,-0.22,-0.24,-0.1,-0.23,,,21.1,9.5,0,2,10
1980-09,62,92.6,-30.6,-1.43,-1.49,-0.98,-1.17,-1.06,-1.25,,,21.4,8,0,3,6
1980-10,246,103.8,142.2,0.71,0.81,-0.71,-0.78,-0.4,-0.53,,,24.1,14.2,1,10,6
1980-11,133,122.7,10.3,0.14,0.32,-0.2,-0.1,-0.35,-0.31,,,26.7,15.1,0,7,8
1980-12,73,152.5,-79.5,-0.42,-0.39,0.17,0.29,-0.47,-0.38,-0.88,-1.02,28.9,17.7,2,1,6
1981-01,212,146.7,65.3,0.84,0.91,0.17,0.28,-0.26,-0.11,-0.36,-0.51,29.9,19.7,0,9,4
1981-02,151,120.3,30.7,0.46,0.4,0.34,0.34,0.01,0.18,-0.12,-0.19,30.7,20.2,0,6,7
1981-03,40,116.4,-76.4,-1.65,-1.3,0,-0.06,0.07,0.2,-0.71,-0.73,28.3,16.4,0,2,16
1981-04,73,83.6,-10.6,-0.93,-1.02,-1.09,-1.06,-0.51,-0.42,-0.62,-0.58,25.7,15,0,3,10
1981-05,55,69.1,-14.1,-1.12,-1.41,-1.91,-1.89,-1.11,-1.1,-0.87,-0.87,26.7,15.2,0,2,5
1981-06,135,38.5,96.5,0.05,0.14,-1.21,-1.43,-0.92,-0.97,-0.91,-0.9,18.1,8.2,0,4,5
1981-07,77,51.8,25.2,-0.72,-0.89,-1.05,-1.23,-1.46,-1.49,-1.11,-1.14,19.5,9.8,0,1,10
1981-08,21,77.5,-56.5,-1.95,-1.77,-1.23,-1.54,-1.98,-1.95,-1.16,-1.2,22.8,11.1,0,0,13
1981-09,184,74.6,109.4,0.27,0.31,-0.9,-1.04,-1.36,-1.49,-0.9,-0.88,21,12.1,0,7,6
1981-10,35,121.7,-86.7,-1.97,-1.81,-1.68,-1.72,-1.69,-1.74,-1.56,-1.47,24.8,12.7,0,1,18
1981-11,103,142.6,-39.6,-0.19,-0.25,-0.93,-1.03,-1.47,-1.7,-1.81,-1.57,28,16.7,0,2,12
1981-12,135,155,-20,0.36,0.37,-0.76,-0.84,-1.23,-1.39,-1.52,-1.43,29.2,17.3,0,3,7
1982-01,37,168.1,-131.1,-1.63,-1.52,-0.63,-0.72,-1.3,-1.47,-1.96,-1.72,30.9,17.3,4,1,12
1982-02,218,115.7,102.3,1.24,1.29,0.05,-0.07,-0.59,-0.6,-1.8,-1.68,29,19.2,0,8,5
1982-03,78,122.9,-44.9,-0.75,-0.93,-0.58,-0.71,-0.88,-0.95,-1.68,-1.69,29.4,17.7,0,3,12
1982-04,27,86.5,-59.5,-2.02,-1.62,-0.61,-0.7,-0.87,-0.93,-1.67,-1.89,26.7,14.7,0,1,11
1982-05,209,61.1,147.9,0.55,0.52,-0.74,-0.95,-0.63,-0.73,-1.25,-1.48,23.5,11.3,0,6,12
1982-06,262,35.7,226.3,1.57,1.59,0.26,0.22,-0.16,-0.3,-0.93,-1.07,19.2,10,0,7,9
1982-07,227,44.9,182.1,1.03,1.12,1.26,1.31,0.58,0.54,-0.47,-0.53,20.4,10.3,0,9,4
1982-08,278,68.8,209.2,2.18,2.08,2.3,1.96,0.84,0.79,0.14,0.14,22.4,12.4,0,7,10
1982-09,208,80.7,127.3,0.5,0.5,1.68,1.6,1.12,1.1,0.19,0.13,24.4,13.5,0,5,5
1982-10,240,113.7,126.3,0.66,0.69,1.58,1.52,1.68,1.63,0.68,0.57,24.4,12.9,0,5,4
1982-11,362,114.6,247.4,1.73,1.72,1.46,1.46,2.34,1.98,1.34,1.29,25.3,15.2,0,7,6
1982-12,98,155.8,-57.8,-0.06,-0.09,1.11,1.17,1.76,1.62,1.23,1.16,29.6,17.5,4,4,5
1983-01,157,152.7,4.3,0.31,0.33,1.03,1.08,1.45,1.41,1.42,1.38,31.7,20.4,4,7,4
1983-02,198,112.4,85.6,1.02,1.1,0.44,0.43,1.18,1.22,1.41,1.37,29.4,18.7,0,8,6
1983-03,173,102.9,70.1,0.59,0.59,0.89,0.92,1.18,1.22,1.64,1.56,26.2,15.6,0,4,9
1983-04,234,65.3,168.7,0.83,0.92,1.08,1.19,1.27,1.31,1.88,1.68,24.6,14.2,0,7,7
1983-05,296,38.3,257.7,1.12,1.27,1.15,1.28,1.12,1.19,2.08,1.76,19.2,12.4,0,11,2
1983-06,75,36.9,38.1,-1.05,-1.09,0.77,0.96,1.01,1.15,1.76,1.62,16.8,6.6,0,3,7
1983-07,208,32.7,175.3,0.87,1.06,0.75,0.94,1.11,1.29,1.65,1.56,16.6,7.9,0,9,7
1983-08,76,65.9,10.1,-0.31,-0.38,-0.11,0.13,0.79,0.97,1.25,1.31,20.7,9.8,0,2,11
1983-09,75,77.9,-2.9,-1.17,-1.11,-0.3,-0.14,0.34,0.53,1.03,1.16,21.6,9.4,0,3,7
1983-10,199,110.2,88.8,0.33,0.37,-0.7,-0.71,0.14,0.26,0.97,1.11,26,13.9,0,5,7
1983-11,63,124.7,-61.7,-0.75,-0.56,-0.83,-0.73,-0.76,-0.59,0.29,0.39,27.8,16.4,0,2,10
1983-12,52,167.7,-115.7,-0.79,-0.95,-0.51,-0.51,-0.68,-0.57,0.18,0.27,32.1,18.9,7,2,6
1984-01,192,137.9,54.1,0.66,0.82,-0.43,-0.34,-0.68,-0.56,0.28,0.41,31.1,21.6,2,6,5
1984-02,141,132,9,0.33,0.08,0.01,-0.09,-0.55,-0.45,0.14,0.25,32.8,21.8,6,5,3
1984-03,111,109.7,1.3,-0.2,-0.33,0.31,0.26,-0.28,-0.21,0,0.14,29.3,19,0,3,9
1984-04,294,71.2,222.8,1.27,1.33,0.78,0.75,0.13,0.18,0.15,0.36,24.8,15.1,0,6,12
1984-05,495,56.2,438.8,2.1,2,1.84,1.74,1.53,1.39,0.59,0.76,23.5,13.5,0,8,6
1984-06,280,37.4,242.6,1.74,1.7,2.49,2.17,2.22,1.99,1.04,1.09,19.9,10.1,0,8,6
1984-07,208,52.3,155.7,0.87,0.87,2.29,2.18,2.09,1.92,1,1.04,19.6,8.5,0,7,10
1984-08,95,55.4,39.6,0.04,0.18,1.35,1.39,1.96,1.85,1.02,1.05,19.3,9.9,0,3,10
1984-09,198,80.4,117.6,0.41,0.4,0.6,0.73,2.08,1.92,1.31,1.27,23.2,12.8,0,5,12
1984-10,130,124.7,5.3,-0.34,-0.54,-0.16,-0.2,1.63,1.58,1.2,1.16,28.6,16.9,2,6,7
1984-11,138,126.9,11.1,0.19,0.33,-0.06,-0.03,0.69,0.79,1.46,1.45,26.4,17.4,0,3,19
1984-12,101,155.3,-54.3,-0.03,-0.05,-0.22,-0.24,0.09,0.2,1.53,1.52,27.2,17.1,0,4,12
1985-01,34,160.3,-126.3,-1.72,-1.45,-0.64,-0.6,-0.53,-0.48,1.13,1.08,30.7,19.2,1,2,7
1985-02,131,102.1,28.9,0.19,0.37,-0.87,-0.73,-0.51,-0.4,1.14,1.15,29.3,17.1,0,5,5
1985-03,237,100.9,136.1,1.22,1.35,0,0.08,-0.23,-0.12,1.43,1.41,28.1,15.7,0,7,7
1985-04,261,69,192,1.04,1.11,1.2,1.33,0.3,0.44,1.26,1.26,24.1,12.9,0,4,9
1985-05,170,52.5,117.5,0.24,0.23,1.02,1.11,0.33,0.5,0.59,0.77,21,9.4,0,6,8
1985-06,144,40.1,103.9,0.18,0.26,0.64,0.74,0.44,0.57,0.28,0.46,18.7,8.8,0,3,12
1985-07,260,52.2,207.8,1.3,1.34,0.73,0.74,1.17,1.27,0.39,0.58,19.3,8.3,0,7,9
1985-08,159,53.3,105.7,0.96,1.16,1.24,1.31,1.29,1.35,0.52,0.67,19,10.1,0,4,6
1985-09,218,77.9,140.1,0.6,0.63,1.32,1.37,1.12,1.19,0.57,0.7,22.6,11.4,0,9,8
1985-10,58,120.8,-62.8,-1.41,-1.46,-0.08,-0.05,0.42,0.43,0.42,0.51,26.2,12.8,1,2,11
1985-11,55,159.4,-104.4,-0.89,-1.24,-0.87,-1.1,0.1,0.1,0.23,0.13,30.6,16.7,8,1,7
1985-12,24,165,-141,-1.53,-1.37,-1.82,-1.8,-0.27,-0.34,0.04,-0.05,31.5,19.7,3,0,9
1986-01,74,139.8,-65.8,-0.8,-0.55,-1.59,-1.43,-0.97,-1.01,0.16,0.14,31,21.5,0,4,9
1986-02,155,109.4,45.6,0.51,0.6,-0.98,-0.79,-1.12,-1.15,0.22,0.21,31.1,21.8,0,4,7
1986-03,277,105.3,171.7,1.57,1.7,0.75,0.87,-0.72,-0.71,0.33,0.36,27.7,19.5,0,8,9
1986-04,249,86,163,0.95,0.87,1.45,1.42,0.06,0.04,0.29,0.37,29.3,19.8,1,7,8
1986-05,262,51.4,210.6,0.91,0.99,1.46,1.43,0.73,0.79,0.49,0.6,22.6,14.8,0,7,9
1986-06,125,44.7,80.3,-0.11,-0.16,0.91,0.92,1.05,1.09,0.44,0.51,22,13.3,0,4,8
1986-07,87,45.5,41.5,-0.55,-0.63,0.24,0.2,1.02,1.06,0.04,0.15,20.9,11.9,0,2,14
1986-08,183,50.6,132.4,1.25,1.45,0.16,0.38,1.15,1.19,0.08,0.17,16.7,9.5,0,5,6
1986-09,189,82.9,106.1,0.32,0.28,0.35,0.53,0.77,0.81,0,0.04,23.5,15,0,7,9
1986-10,110,110.7,-0.7,-0.59,-0.62,0.23,0.33,0.24,0.27,0.13,0.12,25.2,16.2,0,5,9
1986-11,392,117.2,274.8,1.88,1.81,0.99,1.09,0.82,0.98,0.98,1.04,27.8,19.1,0,12,9
1986-12,14,116.4,-102.4,-1.96,-0.74,0.44,0.7,0.46,0.78,0.94,1.12,29.2,20.5,0,0,13
1987-01,185,137.9,47.1,0.6,0.76,0.93,1.17,0.72,1.01,1.14,1.3,31.9,21.2,2,7,13
1987-02,150,101.5,48.5,0.45,0.64,-0.23,0.2,0.54,0.87,1.16,1.33,29.5,19.8,1,6,5
1987-03,233,122,111,1.19,1.08,1.15,1.22,0.78,1,1.08,1.22,31.2,18.2,6,5,5
1987-04,247,72.6,174.4,0.93,0.97,1.21,1.23,1.26,1.38,1,1.17,27.9,18,0,7,7
1987-05,130,48,82,-0.12,-0.14,0.78,0.81,0.43,0.72,0.73,0.99,20.5,10.9,0,5,9
1987-06,114,46.5,67.5,-0.29,-0.42,0.22,0.28,0.75,0.85,0.71,0.95,21.3,9.9,0,6,16
1987-07,449,61.8,387.2,2.54,2.35,1.24,1.23,1.53,1.48,1.41,1.42,25.1,16.5,0,13,5
1987-08,178,66.5,111.5,1.19,1.22,2.17,1.83,1.62,1.52,1.37,1.38,22.4,11.8,0,5,7
1987-09,150,78.5,71.5,-0.09,-0.13,1.96,1.76,1.28,1.26,1.36,1.39,23.8,12.1,0,5,10
