ano,mes,oni,fase
1950,1,-1.53,LN
1950,2,-1.34,LN
1950,3,-1.16,LN
1950,4,-1.18,LN
1950,5,-1.07,LN
1950,6,-0.85,LN
1950,7,-0.54,LN
1950,8,-0.42,N
1950,9,-0.39,N
1950,10,-0.44,N
1950,11,-0.6,LN
1950,12,-0.8,LN
1951,1,-0.82,LN
1951,2,-0.54,LN
1951,3,-0.17,N
1951,4,0.18,N
1951,5,0.36,N
1951,6,0.58,EN
1951,7,0.7,EN
1951,8,0.89,EN
1951,9,0.99,EN
1951,10,1.15,EN
1951,11,1.04,EN
1951,12,0.81,EN
1952,1,0.53,EN
1952,2,0.37,N
1952,3,0.34,N
1952,4,0.29,N
1952,5,0.2,N
1952,6,0,N
1952,7,-0.08,N
1952,8,0,N
1952,9,0.15,N
1952,10,0.1,N
1952,11,0.04,N
1952,12,0.15,N
1953,1,0.4,N
1953,2,0.6,EN
1953,3,0.63,EN
1953,4,0.66,EN
1953,5,0.75,EN
1953,6,0.77,EN
1953,7,0.75,EN
1953,8,0.73,EN
1953,9,0.78,EN
1953,10,0.84,EN
1953,11,0.84,EN
1953,12,0.81,EN
1954,1,0.76,EN
1954,2,0.47,N
1954,3,-0.05,N
1954,4,-0.41,N
1954,5,-0.54,LN
1954,6,-0.5,LN
1954,7,-0.64,LN
1954,8,-0.84,LN
1954,9,-0.9,LN
1954,10,-0.77,LN
1954,11,-0.73,LN
1954,12,-0.66,LN
1955,1,-0.68,LN
1955,2,-0.62,LN
1955,3,-0.69,LN
1955,4,-0.8,LN
1955,5,-0.79,LN
1955,6,-0.72,LN
1955,7,-0.68,LN
1955,8,-0.75,LN
1955,9,-1.09,LN
1955,10,-1.42,LN
1955,11,-1.67,LN
1955,12,-1.47,LN
1956,1,-1.11,LN
1956,2,-0.76,LN
1956,3,-0.63,LN
1956,4,-0.54,LN
1956,5,-0.52,LN
1956,6,-0.51,LN
1956,7,-0.57,LN
1956,8,-0.55,LN
1956,9,-0.46,N
1956,10,-0.42,N
1956,11,-0.43,N
1956,12,-0.43,N
1957,1,-0.25,N
1957,2,0.06,N
1957,3,0.41,N
1957,4,0.72,EN
1957,5,0.92,EN
1957,6,1.11,EN
1957,7,1.25,EN
1957,8,1.32,EN
1957,9,1.33,EN
1957,10,1.39,EN
1957,11,1.53,EN
1957,12,1.74,EN
1958,1,1.81,EN
1958,2,1.66,EN
1958,3,1.27,EN
1958,4,0.93,EN
1958,5,0.74,EN
1958,6,0.64,EN
1958,7,0.57,EN
1958,8,0.43,N
1958,9,0.39,N
1958,10,0.44,N
1958,11,0.5,EN
1958,12,0.61,EN
1959,1,0.61,EN
1959,2,0.62,EN
1959,3,0.52,EN
1959,4,0.33,N
1959,5,0.2,N
1959,6,-0.07,N
1959,7,-0.18,N
1959,8,-0.28,N
1959,9,-0.09,N
1959,10,-0.03,N
1959,11,0.05,N
1959,12,-0.04,N
1960,1,-0.1,N
1960,2,-0.1,N
1960,3,-0.07,N
1960,4,0.03,N
1960,5,0.02,N
1960,6,0.03,N
1960,7,0.13,N
1960,8,0.24,N
1960,9,0.27,N
1960,10,0.2,N
1960,11,0.12,N
1960,12,0.05,N
1961,1,0.04,N
1961,2,0.03,N
1961,3,0.04,N
1961,4,0.09,N
1961,5,0.23,N
1961,6,0.27,N
1961,7,0.14,N
1961,8,-0.13,N
1961,9,-0.3,N
1961,10,-0.26,N
1961,11,-0.19,N
1961,12,-0.16,N
1962,1,-0.24,N
1962,2,-0.22,N
1962,3,-0.2,N
1962,4,-0.26,N
1962,5,-0.28,N
1962,6,-0.2,N
1962,7,-0.04,N
1962,8,-0.07,N
1962,9,-0.11,N
1962,10,-0.22,N
1962,11,-0.31,N
1962,12,-0.43,N
1963,1,-0.4,N
1963,2,-0.15,N
1963,3,0.15,N
1963,4,0.27,N
1963,5,0.31,N
1963,6,0.52,EN
1963,7,0.86,EN
1963,8,1.14,EN
1963,9,1.22,EN
1963,10,1.29,EN
1963,11,1.37,EN
1963,12,1.31,EN
1964,1,1.07,EN
1964,2,0.62,EN
1964,3,0.12,N
1964,4,-0.33,N
1964,5,-0.58,LN
1964,6,-0.58,LN
1964,7,-0.6,LN
1964,8,-0.66,LN
1964,9,-0.76,LN
1964,10,-0.8,LN
1964,11,-0.82,LN
1964,12,-0.78,LN
1965,1,-0.59,LN
1965,2,-0.28,N
1965,3,-0.07,N
1965,4,0.18,N
1965,5,0.46,N
1965,6,0.83,EN
1965,7,1.22,EN
1965,8,1.54,EN
1965,9,1.85,EN
1965,10,1.98,EN
1965,11,1.97,EN
1965,12,1.72,EN
1966,1,1.37,EN
1966,2,1.17,EN
1966,3,0.98,EN
1966,4,0.66,EN
1966,5,0.35,N
1966,6,0.24,N
1966,7,0.24,N
1966,8,0.12,N
1966,9,-0.05,N
1966,10,-0.1,N
1966,11,-0.18,N
1966,12,-0.3,N
1967,1,-0.41,N
1967,2,-0.48,N
1967,3,-0.53,LN
1967,4,-0.45,N
1967,5,-0.24,N
1967,6,0,N
1967,7,0.05,N
1967,8,-0.16,N
1967,9,-0.3,N
1967,10,-0.38,N
1967,11,-0.34,N
1967,12,-0.44,N
1968,1,-0.64,LN
1968,2,-0.74,LN
1968,3,-0.62,LN
1968,4,-0.44,N
1968,5,-0.04,N
1968,6,0.28,N
1968,7,0.58,EN
1968,8,0.53,EN
1968,9,0.45,N
1968,10,0.55,EN
1968,11,0.73,EN
1968,12,0.98,EN
1969,1,1.13,EN
1969,2,1.09,EN
1969,3,0.95,EN
1969,4,0.77,EN
1969,5,0.61,EN
1969,6,0.43,N
1969,7,0.36,N
1969,8,0.51,EN
1969,9,0.79,EN
1969,10,0.86,EN
1969,11,0.81,EN
1969,12,0.63,EN
1970,1,0.51,EN
1970,2,0.34,N
1970,3,0.29,N
1970,4,0.19,N
1970,5,0.04,N
1970,6,-0.3,N
1970,7,-0.63,LN
1970,8,-0.76,LN
1970,9,-0.77,LN
1970,10,-0.74,LN
1970,11,-0.86,LN
1970,12,-1.15,LN
1971,1,-1.36,LN
1971,2,-1.38,LN
1971,3,-1.12,LN
1971,4,-0.85,LN
1971,5,-0.73,LN
1971,6,-0.74,LN
1971,7,-0.8,LN
1971,8,-0.77,LN
1971,9,-0.82,LN
1971,10,-0.85,LN
1971,11,-0.96,LN
1971,12,-0.9,LN
1972,1,-0.71,LN
1972,2,-0.35,N
1972,3,0.06,N
1972,4,0.41,N
1972,5,0.67,EN
1972,6,0.92,EN
1972,7,1.13,EN
1972,8,1.37,EN
1972,9,1.58,EN
1972,10,1.84,EN
1972,11,2.09,EN
1972,12,2.12,EN
1973,1,1.84,EN
1973,2,1.25,EN
1973,3,0.54,EN
1973,4,-0.1,N
1973,5,-0.54,LN
1973,6,-0.87,LN
1973,7,-1.11,LN
1973,8,-1.28,LN
1973,9,-1.45,LN
1973,10,-1.71,LN
1973,11,-1.95,LN
1973,12,-2.03,LN
1974,1,-1.84,LN
1974,2,-1.55,LN
1974,3,-1.23,LN
1974,4,-1.03,LN
1974,5,-0.91,LN
1974,6,-0.77,LN
1974,7,-0.53,LN
1974,8,-0.37,N
1974,9,-0.41,N
1974,10,-0.61,LN
1974,11,-0.75,LN
1974,12,-0.64,LN
1975,1,-0.54,LN
1975,2,-0.57,LN
1975,3,-0.65,LN
1975,4,-0.73,LN
1975,5,-0.83,LN
1975,6,-0.98,LN
1975,7,-1.13,LN
1975,8,-1.2,LN
1975,9,-1.37,LN
1975,10,-1.43,LN
1975,11,-1.55,LN
1975,12,-1.65,LN
1976,1,-1.56,LN
1976,2,-1.17,LN
1976,3,-0.73,LN
1976,4,-0.47,N
1976,5,-0.28,N
1976,6,-0.05,N
1976,7,0.18,N
1976,8,0.35,N
1976,9,0.62,EN
1976,10,0.81,EN
1976,11,0.86,EN
1976,12,0.85,EN
1977,1,0.71,EN
1977,2,0.64,EN
1977,3,0.34,N
1977,4,0.23,N
1977,5,0.21,N
1977,6,0.34,N
1977,7,0.35,N
1977,8,0.42,N
1977,9,0.57,EN
1977,10,0.73,EN
1977,11,0.81,EN
1977,12,0.79,EN
1978,1,0.69,EN
