code_muni,cod_rgi,nome,uf,lon,lat,nome_rgi,anom_rend_en_soja_rgi,anom_rend_en_milho_rgi,anom_chuva_en_pct,anom_chuva_ln_pct,spei3_med_en,spei3_med_ln,spei6_med_en,spei6_med_ln,dif_veranico_en,dif_dias_tmax34_en,dif_onset_en_dias,anom_rend_en_soja,anom_rend_en_milho
1100015,1102,Alta Floresta D'oeste,RO,-62.2747,-12.4698,Ji-Paraná,2.7,,-2.4,-1,-0.06,-0.21,-0.16,-0.14,0,3,-1.2,,
1100023,1101,Ariquemes,RO,-62.9583,-9.9517,Porto Velho,16.1,,1.5,-5.8,0.09,-0.36,0.08,-0.43,0,2.7,-0.1,0.4,
1100031,1102,Cabixi,RO,-60.6402,-13.4751,Ji-Paraná,2.7,,-0.2,-1.1,-0.04,-0.11,-0.05,-0.05,0.4,3.4,-1.7,-2,
1100049,1102,Cacoal,RO,-61.3246,-11.3015,Ji-Paraná,2.7,,-1,0.5,0.03,-0.11,-0.08,0.01,0.1,2.4,-3.9,,
1100056,1102,Cerejeiras,RO,-61.2588,-13.2034,Ji-Paraná,2.7,,-0.6,-1.9,-0.13,-0.12,-0.08,-0.07,0.3,4.5,-1.9,-2.8,
1100064,1102,Colorado Do Oeste,RO,-60.5503,-13.1582,Ji-Paraná,2.7,,-1.8,-0.8,-0.12,-0.1,-0.14,-0.04,0.5,2.1,1.1,2.6,
1100072,1102,Corumbiara,RO,-61.0916,-12.9259,Ji-Paraná,2.7,,-1.7,-1.1,-0.18,-0.06,-0.12,-0.04,0.1,3.4,-3.7,2.6,
1100080,1102,Costa Marques,RO,-64.0596,-12.1479,Ji-Paraná,2.7,,-1.9,-1.1,-0.16,-0.05,-0.13,-0.11,0,2.1,-1.5,,
1100098,1102,Espigão D'oeste,RO,-60.7844,-11.3517,Ji-Paraná,2.7,,-2.6,1.9,-0.18,0.04,-0.2,0.12,0.2,1.6,-4.3,0,
1100106,1101,Guajará-Mirim,RO,-64.5377,-11.3054,Porto Velho,16.1,,-1.1,-2.7,-0.09,-0.21,-0.06,-0.21,0.9,1.5,-3.2,,
1100114,1101,Jaru,RO,-62.5833,-10.5913,Porto Velho,16.1,,-0.5,-1.3,0.05,-0.22,-0.11,-0.13,0.1,1.9,-1.1,,
1100122,1102,Ji-Paraná,RO,-61.757,-10.4588,Ji-Paraná,2.7,,2.4,-3.1,0.23,-0.26,0.15,-0.25,0.2,2.4,-2.3,,
1100130,1101,Machadinho D'oeste,RO,-62.0109,-9.2033,Porto Velho,16.1,,-4.5,-2.5,-0.21,-0.17,-0.39,-0.21,0.4,2.5,-1.5,-0.3,
1100148,1102,Nova Brasilândia D'oeste,RO,-62.2805,-11.6436,Ji-Paraná,2.7,,1.1,-1.2,0.16,-0.2,0.06,-0.09,-0.1,1.6,0.4,,
1100155,1102,Ouro Preto Do Oeste,RO,-62.1711,-10.6089,Ji-Paraná,2.7,,2.5,-3.6,0.25,-0.35,0.16,-0.29,0,2,-1.9,,
1100189,1102,Pimenta Bueno,RO,-60.8316,-11.8937,Ji-Paraná,2.7,,-4.8,2.6,-0.3,0.09,-0.32,0.16,-0.1,3.1,-2.3,,
1100205,1101,Porto Velho,RO,-64.3038,-9.1534,Porto Velho,16.1,,-1.3,-1.7,-0.11,-0.09,-0.12,-0.2,0.7,3.1,-0.6,1.1,
1100254,1102,Presidente Médici,RO,-61.8786,-11.1659,Ji-Paraná,2.7,,3.5,-3.9,0.36,-0.43,0.22,-0.29,0.4,2.4,-0.9,,
1100262,1101,Rio Crespo,RO,-62.7918,-9.6452,Porto Velho,16.1,,-1.1,-2.8,-0.1,-0.1,-0.09,-0.25,0.5,2.6,-0.5,-0.2,
1100288,1102,Rolim De Moura,RO,-61.772,-11.7311,Ji-Paraná,2.7,,-0.9,-0.2,-0.02,-0.11,-0.04,-0.06,-0.1,2.6,-2.2,1.2,
1100296,1102,Santa Luzia D'oeste,RO,-61.7017,-12.0278,Ji-Paraná,2.7,,-1,-0.9,0.01,-0.13,-0.05,-0.12,-0.4,1.1,3,,
1100304,1102,Vilhena,RO,-60.253,-12.089,Ji-Paraná,2.7,,-4.3,1.9,-0.25,0.09,-0.29,0.1,0,2.2,-4.5,2.8,
1100320,1102,São Miguel Do Guaporé,RO,-62.9834,-11.6152,Ji-Paraná,2.7,,-2,0.1,-0.04,-0.13,-0.16,-0.07,0.2,2.4,-4.3,,
1100338,1101,Nova Mamoré,RO,-64.6287,-10.3826,Porto Velho,16.1,,1.4,-0.3,0.16,-0.12,0.09,-0.06,1,1.6,-0.4,,
1100346,1102,Alvorada D'oeste,RO,-62.5455,-11.3116,Ji-Paraná,2.7,,-0.4,-0.6,0.09,-0.24,-0.05,-0.1,0.1,1.6,-1.8,,
1100379,1102,Alto Alegre Dos Parecis,RO,-61.8819,-12.595,Ji-Paraná,2.7,,-3.4,-0.5,-0.15,-0.21,-0.22,-0.12,0,2.4,-0.1,,
1100403,1101,Alto Paraíso,RO,-63.3941,-9.65,Porto Velho,16.1,,0.7,-4.1,0.02,-0.16,0.02,-0.27,0.3,2.5,-1.1,-0.8,
1100452,1101,Buritis,RO,-63.9412,-10.052,Porto Velho,16.1,,0,-0.7,-0.14,0.08,0.01,-0.12,0.1,2.1,-0.4,,
1100502,1102,Novo Horizonte Do Oeste,RO,-62.0839,-11.6834,Ji-Paraná,2.7,,1.2,-1,0.21,-0.19,0.08,-0.1,0,2.1,2.2,,
1100601,1101,Cacaulândia,RO,-62.9864,-10.3315,Porto Velho,16.1,,0.5,-4.9,-0.06,-0.27,0.01,-0.33,0.5,2.4,-2.4,,
1100700,1101,Campo Novo De Rondônia,RO,-63.8006,-10.4846,Porto Velho,16.1,,-2.2,0.9,-0.41,0.24,-0.17,0.01,0,1.8,-0.5,,
1100809,1101,Candeias Do Jamari,RO,-63.3258,-8.8872,Porto Velho,16.1,,-3.2,-2.8,-0.43,-0.01,-0.29,-0.31,0.5,3.3,1,,
1100908,1102,Castanheiras,RO,-61.88,-11.4697,Ji-Paraná,2.7,,2.2,-2.5,0.3,-0.33,0.16,-0.23,0.6,2.4,-1,,
1100924,1102,Chupinguaia,RO,-60.8984,-12.5367,Ji-Paraná,2.7,,-5,1,-0.32,0.05,-0.29,0.03,0.1,2,-4.7,-1.4,
1100940,1101,Cujubim,RO,-62.565,-9.1718,Porto Velho,16.1,,-2.8,-2.8,-0.14,-0.18,-0.23,-0.26,0.8,2.7,0.4,,
1101005,1101,Governador Jorge Teixeira,RO,-63.1841,-10.7488,Porto Velho,16.1,,-0.4,-0.9,-0.14,-0.03,-0.04,-0.12,0.3,1,-2.8,,
1101104,1101,Itapuã Do Oeste,RO,-63.0437,-9.1692,Porto Velho,16.1,,-1.3,-3.8,-0.2,-0.1,-0.12,-0.27,0.2,2.8,-0.1,4.7,
1101203,1102,Ministro Andreazza,RO,-61.5689,-11.1603,Ji-Paraná,2.7,,3.1,-3.4,0.29,-0.36,0.19,-0.24,0.2,1.3,-1.3,,
1101302,1102,Mirante Da Serra,RO,-62.8499,-11.0777,Ji-Paraná,2.7,,0.6,-0.3,0.12,-0.18,0.06,-0.12,0.5,1,-3.2,,
1101401,1101,Monte Negro,RO,-63.3724,-10.2111,Porto Velho,16.1,,0,-3.1,-0.17,-0.1,-0.01,-0.23,0.2,2.1,-0.8,,
1101435,1102,Nova União,RO,-62.5347,-10.8897,Ji-Paraná,2.7,,1.9,-1.6,0.26,-0.32,0.19,-0.24,0.1,1.1,-1.4,,
1101450,1102,Parecis,RO,-61.4147,-12.2613,Ji-Paraná,2.7,,-4.4,1.1,-0.25,-0.06,-0.3,0.03,-0.5,1.3,-0.8,,
1101468,1102,Pimenteiras Do Oeste,RO,-61.5442,-13.1747,Ji-Paraná,2.7,,-1.8,-2.3,-0.17,-0.17,-0.16,-0.09,0.4,5.2,-2.5,-1.7,
1101476,1102,Primavera De Rondônia,RO,-61.3149,-11.8778,Ji-Paraná,2.7,,-2.3,0,-0.1,-0.09,-0.17,-0.02,-0.1,2.4,-1.4,,
1101484,1102,São Felipe D'oeste,RO,-61.4675,-11.9008,Ji-Paraná,2.7,,-1.9,0.1,-0.06,-0.1,-0.15,-0.02,-0.4,2.2,-1.7,,
1101492,1102,São Francisco Do Guaporé,RO,-63.123,-12.3685,Ji-Paraná,2.7,,-4,0,-0.23,-0.01,-0.29,-0.06,0.3,2.3,-5.3,,
1101500,1102,Seringueiras,RO,-63.2311,-11.8075,Ji-Paraná,2.7,,-3.8,1.4,-0.24,0.02,-0.3,0.04,0.4,2.4,-2.7,-6.1,
1101559,1102,Teixeirópolis,RO,-62.286,-10.9444,Ji-Paraná,2.7,,1.5,-2,0.18,-0.24,0.09,-0.17,0,2.4,-1.1,,
1101609,1101,Theobroma,RO,-62.3436,-10.1221,Porto Velho,16.1,,1.5,-4.1,0.16,-0.26,0.02,-0.23,0.4,2,-1.5,,
1101708,1102,Urupá,RO,-62.4273,-11.1049,Ji-Paraná,2.7,,0.6,-1.4,0.17,-0.29,0.02,-0.19,0,2.4,-0.9,,
1101757,1101,Vale Do Anari,RO,-61.9378,-9.7309,Porto Velho,16.1,,-2.6,-2.7,-0.06,-0.22,-0.23,-0.17,0.5,2.3,-3.3,,
