cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,fase,forte,roni_pico
arroz,1974,855,-5.6,,LN,1,-1.9
arroz,1975,904,3.3,5.7,N,0,-0.2
arroz,1976,845,-0.5,-6.5,LN,0,-1.1
arroz,1977,847,2.5,0.2,EN,0,1.1
arroz,1978,797,-1.4,-5.9,EN,0,1.1
arroz,1979,858,8.1,7.7,N,0,0.2
arroz,1980,888,13.4,3.5,EN,0,0.7
arroz,1981,452,-41.8,-49.1,N,0,0.2
arroz,1982,913,18,102,N,0,0
arroz,1983,601,-22.5,-34.2,EN,1,2.5
arroz,1984,793,1.6,31.9,LN,0,-1
arroz,1985,784,-0.6,-1.1,LN,0,-1
arroz,1986,914,14,16.6,N,0,-0.2
arroz,1987,783,-4.3,-14.3,EN,1,1.5
arroz,1988,753,-9.9,-3.8,EN,0,0.9
arroz,1989,1003,16.7,33.2,LN,1,-1.9
arroz,1990,910,1.9,-9.3,N,0,0
arroz,1991,895,-3.2,-1.6,EN,0,0.5
arroz,1992,970,1.5,8.4,EN,1,2.1
arroz,1993,1128,11.7,16.3,N,0,0.3
arroz,1994,1065,-2.4,-5.6,N,0,0.3
arroz,1995,1048,-11.6,-1.6,EN,0,1.4
arroz,1996,1191,-7.9,13.6,LN,0,-0.9
arroz,1997,1039,-27.9,-12.8,N,0,-0.3
arroz,1998,1592,-1.7,53.2,EN,1,2.3
arroz,1999,1715,-3.3,7.7,LN,1,-1.6
arroz,2000,1916,0.1,11.7,LN,1,-1.6
arroz,2001,2216,6.9,15.7,LN,0,-0.7
arroz,2002,2594,16.7,17.1,N,0,-0.3
arroz,2003,2414,3.1,-6.9,EN,0,1.2
arroz,2004,2670,10.4,10.6,N,0,0.3
arroz,2005,2695,8.8,0.9,EN,0,0.7
arroz,2006,2386,-5.7,-11.5,LN,0,-0.8
arroz,2007,2480,-3.2,3.9,EN,0,0.9
arroz,2008,2375,-7.6,-4.2,LN,1,-1.5
arroz,2009,2476,-4.4,4.3,LN,0,-0.8
arroz,2010,2572,-1.8,3.9,EN,1,1.6
arroz,2011,2761,4.3,7.3,LN,1,-1.6
arroz,2012,2809,5.2,1.7,LN,0,-1
arroz,2013,2599,-3.7,-7.5,N,0,-0.4
arroz,2014,2662,-2.3,2.4,N,0,-0.3
arroz,2015,2836,3.4,6.5,EN,0,0.6
arroz,2016,2962,7.5,4.4,EN,1,2.4
arroz,2017,3400,23,14.8,LN,0,-1
arroz,2018,3302,19.3,-2.9,LN,0,-1.3
arroz,2019,2546,-7.9,-22.9,EN,0,0.7
arroz,2020,2287,-17.1,-10.2,N,0,0.2
arroz,2021,2944,7.3,28.7,LN,0,-1.4
arroz,2022,2755,1.1,-6.4,LN,0,-1.2
arroz,2023,2679,-0.7,-2.8,LN,0,-1
arroz,2024,2622,-1.7,-2.1,EN,1,1.5
cana,1974,16869,145.3,,LN,1,-1.5
cana,1975,13774,10,-18.3,N,0,-0.1
cana,1976,16281,-8.9,18.2,LN,0,-1
cana,1977,17669,-23,8.5,EN,0,1
cana,1978,29297,5.8,65.8,EN,0,0.9
cana,1979,29068,-9.6,-0.8,N,0,0.2
cana,1980,62599,72.4,115.4,EN,0,0.6
cana,1981,62479,55.5,-0.2,N,0,0
cana,1982,59952,37.1,-4,N,0,0.1
cana,1983,34315,-27,-42.8,EN,1,2.5
cana,1984,57842,15.6,68.6,LN,0,-0.5
cana,1985,79416,50.5,37.3,LN,0,-0.8
cana,1986,62974,14.1,-20.7,N,0,-0.3
cana,1987,56341,-1.2,-10.5,EN,1,1.6
cana,1988,52396,-10,-7,EN,0,0.7
cana,1989,51350,-13.3,-2,LN,1,-1.7
cana,1990,62562,3.7,21.8,N,0,0.2
