cultura,ano,rend_kg_ha,anom_rend_pct,delta_rend_pct,tend_gam_log,fase,forte,roni_pico
arroz,1974,4363,5.1,,4114,LN,1,-1.9
arroz,1975,4453,7.8,2.1,4084,N,0,-0.2
arroz,1976,3925,-4.7,-11.9,4059,LN,0,-1.1
arroz,1977,3894,-5.5,-0.8,4042,EN,0,1.1
arroz,1978,4001,-3.3,2.7,4040,EN,0,1.1
arroz,1979,3412,-18,-14.7,4054,N,0,0.2
arroz,1980,4102,-2.3,20.2,4089,EN,0,0.7
arroz,1981,4302,1.3,4.9,4143,N,0,0.2
arroz,1982,4745,10.1,10.3,4215,N,0,0
arroz,1983,3660,-16.4,-22.9,4302,EN,1,2.5
arroz,1984,4298,-3.7,17.4,4400,LN,0,-1
arroz,1985,4739,3.5,10.3,4502,LN,0,-1
arroz,1986,4743,1.4,0.1,4604,N,0,-0.2
arroz,1987,4490,-5.6,-5.3,4700,EN,1,1.5
arroz,1988,4982,3.1,11,4789,EN,0,0.9
arroz,1989,5578,13.7,12,4866,LN,1,-1.9
arroz,1990,4797,-3.5,-14,4933,N,0,0
arroz,1991,4894,-2.6,2,4988,EN,0,0.5
arroz,1992,5282,4.2,7.9,5033,EN,1,2.1
arroz,1993,5220,2,-1.2,5071,N,0,0.3
arroz,1994,4636,-10.1,-11.2,5103,N,0,0.3
arroz,1995,5186,0,11.9,5133,EN,0,1.4
arroz,1996,5381,2.9,3.8,5164,LN,0,-0.9
arroz,1997,5366,2,-0.3,5199,N,0,-0.3
arroz,1998,4539,-14,-15.4,5244,EN,1,2.3
arroz,1999,5710,7,25.8,5303,LN,1,-1.6
arroz,2000,5466,0.8,-4.3,5379,LN,1,-1.6
arroz,2001,5863,6.2,7.3,5475,LN,0,-0.7
arroz,2002,5145,-8.7,-12.2,5596,N,0,-0.3
arroz,2003,5035,-12.8,-2.1,5741,EN,0,1.2
arroz,2004,5934,-0.3,17.9,5910,N,0,0.3
arroz,2005,5815,-5.6,-2,6099,EN,0,0.7
arroz,2006,6426,1.1,10.5,6306,LN,0,-0.8
arroz,2007,6951,5.8,8.2,6523,EN,0,0.9
arroz,2008,6838,0.4,-1.6,6744,LN,1,-1.5
arroz,2009,7290,3.8,6.6,6961,LN,0,-0.8
arroz,2010,6931,-3.9,-4.9,7169,EN,1,1.6
arroz,2011,8142,9.9,17.5,7361,LN,1,-1.6
arroz,2012,7387,-2.6,-9.3,7537,LN,0,-1
arroz,2013,7764,0.5,5.1,7696,N,0,-0.4
arroz,2014,7594,-3.2,-2.2,7840,N,0,-0.3
arroz,2015,8450,5.9,11.3,7973,EN,0,0.6
arroz,2016,7665,-5.6,-9.3,8099,EN,1,2.4
arroz,2017,8493,2.8,10.8,8222,LN,0,-1
arroz,2018,8143,-3,-4.1,8348,LN,0,-1.3
arroz,2019,7950,-6.8,-2.4,8479,EN,0,0.7
arroz,2020,8722,0.7,9.7,8618,N,0,0.2
arroz,2021,8934,1.6,2.4,8764,LN,0,-1.4
arroz,2022,8772,-1.7,-1.8,8917,LN,0,-1.2
arroz,2023,9445,4.3,7.7,9077,LN,0,-1
arroz,2024,9079,-1.1,-3.9,9241,EN,1,1.5
cana,1974,10000,-4.2,,10010,LN,1,-1.5
cana,1975,10000,0.4,0,9921,N,0,-0.1
cana,1976,10000,4.1,0,9848,LN,0,-1
cana,1977,10000,5.7,0,9816,EN,0,1
cana,1978,10000,5.7,0,9863,EN,0,0.9
cana,1979,10000,3,0,10040,N,0,0.2
cana,1980,10000,-0.2,0,10413,EN,0,0.6
cana,1981,10341,-6.8,3.4,11062,N,0,0
cana,1982,10833,-13.2,4.8,12080,N,0,0.1
cana,1983,16534,18.6,52.6,13567,EN,1,2.5
cana,1984,17258,9.8,4.4,15607,LN,0,-0.5
cana,1985,17397,-0.9,0.8,18232,LN,0,-0.8
cana,1986,16809,-15.8,-3.4,21353,N,0,-0.3
cana,1987,20286,-11.8,20.7,24683,EN,1,1.6
cana,1988,29667,13.9,46.2,27713,EN,0,0.7
cana,1989,35400,29.6,19.3,29805,LN,1,-1.7
cana,1990,43400,60.1,22.6,30423,N,0,0.2
cana,1991,35400,35.8,-18.4,29391,EN,0,0.6
cana,1992,21000,-10.2,-40.7,26986,EN,1,2.3
cana,1993,21000,3.3,0,23795,EN,0,0.5
cana,1994,17000,-6,-19,20447,N,0,0.3
cana,1996,14727,8.5,-13.4,14871,LN,0,-0.9
cana,1997,18500,56.9,25.6,12940,N,0,-0.2
cana,1998,9700,-8.5,-47.6,11543,EN,1,2.2
cana,1999,9700,-1.4,0,10551,LN,1,-1.5
cana,2000,9700,2.1,0,9817,LN,1,-1.7
cana,2001,9700,1,0,9212,LN,0,-0.6
feijao,1974,758,12.2,,565,LN,1,-1.9
feijao,1975,737,12.8,-2.8,567,N,0,-0.2
feijao,1976,649,2.3,-11.9,569,LN,0,-1.1
feijao,1977,489,-20.9,-24.7,571,EN,0,1.1
feijao,1978,489,-19.3,0,573,EN,0,1.1
feijao,1979,491,-17.7,0.4,575,N,0,0.2
feijao,1980,445,-24.5,-9.4,577,EN,0,0.7
feijao,1981,699,19.2,57.1,579,N,0,0.2
feijao,1982,728,24.2,4.1,582,N,0,0
feijao,1983,488,-17,-33,584,EN,1,2.5
feijao,1984,715,19.9,46.5,587,LN,0,-1
feijao,1985,681,11.4,-4.8,590,LN,0,-1
feijao,1986,414,-33.6,-39.2,593,N,0,-0.2
feijao,1987,726,15.7,75.4,597,EN,1,1.5
feijao,1988,769,22.1,5.9,600,EN,0,0.9
feijao,1989,351,-44.4,-54.4,604,LN,1,-1.9
feijao,1990,717,13.7,104.3,608,N,0,0
feijao,1991,439,-29.7,-38.8,613,EN,0,0.5
feijao,1992,635,3.6,44.6,618,EN,1,2.1
feijao,1993,845,38.5,33.1,623,N,0,0.3
feijao,1994,811,32.4,-4,628,N,0,0.3
feijao,1995,616,0.1,-24,634,EN,0,1.4
feijao,1996,330,-47.3,-46.4,640,LN,0,-0.9
feijao,1997,572,-12.3,73.3,647,N,0,-0.3
feijao,1998,549,-19.9,-4,654,EN,1,2.3
feijao,1999,844,18.3,53.7,661,LN,1,-1.6
feijao,2000,487,-34.2,-42.3,669,LN,1,-1.6
feijao,2001,873,12.7,79.3,677,LN,0,-0.7
feijao,2002,935,15.9,7.1,686,N,0,-0.3
feijao,2003,986,19,5.5,695,EN,0,1.2
feijao,2004,1149,37.6,16.5,704,N,0,0.3
feijao,2005,411,-50.8,-64.2,714,EN,0,0.7
feijao,2006,283,-66,-31.1,724,LN,0,-0.8
feijao,2007,1192,46.9,200,734,EN,0,0.9
feijao,2008,539,-30.1,-54.8,746,LN,1,-1.5
feijao,2009,922,22.8,71.1,757,LN,0,-0.8
feijao,2010,748,-1.1,-18.9,769,EN,1,1.6
feijao,2011,730,-4.9,-2.4,782,LN,1,-1.6
feijao,2012,795,1.6,8.9,795,LN,0,-1
feijao,2013,582,-28.1,-26.8,809,N,0,-0.4
feijao,2014,765,-9.4,31.4,822,N,0,-0.3
